name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_510_length_6495_cov_9.612628_g291_i0.p1,ABCA,1772,2,Present,Present,Present,__ABCA__NODE_510_length_6495_cov_9.612628_g291_i0.p1,__ABCA__NODE_510_length_6495_cov_9.612628_g291_i0.p1
__ABCBF__NODE_1830_length_4857_cov_4.868344_g964_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_1830_length_4857_cov_4.868344_g964_i0.p1,__ABCBF__NODE_1830_length_4857_cov_4.868344_g964_i0.p1
__ABCBH__NODE_16151_length_2079_cov_8.629064_g7709_i0.p1,ABCBH,532,1,Present,Present,Present,__ABCBH__NODE_16151_length_2079_cov_8.629064_g7709_i0.p1,__ABCBH__NODE_16151_length_2079_cov_8.629064_g7709_i0.p1
__ABCBH__NODE_17190_length_2002_cov_7.823861_g8178_i0.p1,ABCBH,655,1,Present,Present,Present,__ABCBH__NODE_17190_length_2002_cov_7.823861_g8178_i0.p1,__ABCBH__NODE_17190_length_2002_cov_7.823861_g8178_i0.p1
__ABCBH__NODE_28150_length_1402_cov_3.131559_g13351_i0.p1,ABCBH,371,1,Present,Present,Present,__ABCBH__NODE_28150_length_1402_cov_3.131559_g13351_i0.p1,__ABCBH__NODE_28150_length_1402_cov_3.131559_g13351_i0.p1
__ABCC__NODE_10967_length_2545_cov_3.666667_g5400_i0.p1,ABCC,848,2,Present,Present,Present,__ABCC__NODE_10967_length_2545_cov_3.666667_g5400_i0.p1,__ABCC__NODE_10967_length_2545_cov_3.666667_g5400_i0.p1
__ABCC__NODE_1638_length_4997_cov_27.132983_g867_i0.p1,ABCC,1511,2,Present,Present,Present,__ABCC__NODE_1638_length_4997_cov_27.132983_g867_i0.p1,__ABCC__NODE_1638_length_4997_cov_27.132983_g867_i0.p1
__ABCC__NODE_20954_length_1758_cov_1.988882_g9937_i0.p1,ABCC,401,1,Present,Present,Absent,__ABCC__NODE_20954_length_1758_cov_1.988882_g9937_i0.p1,__ABCC__NODE_20954_length_1758_cov_1.988882_g9937_i0.p1
__ABCC__NODE_24693_length_1558_cov_6.171637_g1190_i7.p1,ABCC,517,1,Present,Present,Absent,__ABCC__NODE_24693_length_1558_cov_6.171637_g1190_i7.p1,__ABCC__NODE_24693_length_1558_cov_6.171637_g1190_i7.p1
__ABCC__NODE_26207_length_1486_cov_2.764092_g12423_i0.p1,ABCC,495,1,Present,Absent,Present,__ABCC__NODE_26207_length_1486_cov_2.764092_g12423_i0.p1,__ABCC__NODE_26207_length_1486_cov_2.764092_g12423_i0.p1
__ABCC__NODE_2947_length_4228_cov_6.147164_g1557_i0.p1,ABCC,1333,2,Present,Present,Present,__ABCC__NODE_2947_length_4228_cov_6.147164_g1557_i0.p1,__ABCC__NODE_2947_length_4228_cov_6.147164_g1557_i0.p1
__ABCC__NODE_4883_length_3568_cov_6.010514_g1190_i2.p1,ABCC,1044,2,Present,Present,Present,__ABCC__NODE_4883_length_3568_cov_6.010514_g1190_i2.p1,__ABCC__NODE_4883_length_3568_cov_6.010514_g1190_i2.p1
__ABCD__NODE_17682_length_1967_cov_3.271637_g8404_i0.p1,ABCD,642,1,Absent,Present,Present,__ABCD__NODE_17682_length_1967_cov_3.271637_g8404_i0.p1,__ABCD__NODE_17682_length_1967_cov_3.271637_g8404_i0.p1
__ABCE__NODE_9323_length_2744_cov_56.699443_g4642_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_9323_length_2744_cov_56.699443_g4642_i0.p1,__ABCE__NODE_9323_length_2744_cov_56.699443_g4642_i0.p1
__ABCF__NODE_13160_length_2330_cov_21.004822_g6374_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_13160_length_2330_cov_21.004822_g6374_i0.p1,__ABCF__NODE_13160_length_2330_cov_21.004822_g6374_i0.p1
__ABCF__NODE_3885_length_3872_cov_415.951086_g2019_i0.p1,ABCF,632,2,Present,Present,Present,__ABCF__NODE_3885_length_3872_cov_415.951086_g2019_i0.p1,__ABCF__NODE_3885_length_3872_cov_415.951086_g2019_i0.p1
__ABCF__NODE_6185_length_3256_cov_46.071718_g3130_i0.p1,ABCF,973,2,Present,Present,Present,__ABCF__NODE_6185_length_3256_cov_46.071718_g3130_i0.p1,__ABCF__NODE_6185_length_3256_cov_46.071718_g3130_i0.p1
__ABCG__NODE_10426_length_2608_cov_62.831575_g4881_i1.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_10426_length_2608_cov_62.831575_g4881_i1.p1,__ABCG__NODE_10426_length_2608_cov_62.831575_g4881_i1.p1
__ABCG__NODE_15596_length_2121_cov_9.045367_g6751_i2.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_15596_length_2121_cov_9.045367_g6751_i2.p1,__ABCG__NODE_15596_length_2121_cov_9.045367_g6751_i2.p1
__ABCG__NODE_2082_length_4678_cov_40.120976_g1097_i0.p1,ABCG,703,1,Present,Present,Present,__ABCG__NODE_2082_length_4678_cov_40.120976_g1097_i0.p1,__ABCG__NODE_2082_length_4678_cov_40.120976_g1097_i0.p1
__ABCG__NODE_4631_length_3631_cov_10.086265_g1316_i2.p1,ABCG,898,1,Present,Absent,Absent,__ABCG__NODE_4631_length_3631_cov_10.086265_g1316_i2.p1,__ABCG__NODE_4631_length_3631_cov_10.086265_g1316_i2.p1
