name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_263_length_9024_cov_5.838774_g167_i0.p1,ABCA,1875,3,Present,Present,Present,__ABCA__NODE_263_length_9024_cov_5.838774_g167_i0.p1,__ABCA__NODE_263_length_9024_cov_5.838774_g167_i0.p1
__ABCA__NODE_526_length_7483_cov_6.834275_g370_i0.p1,ABCA,1798,2,Present,Present,Present,__ABCA__NODE_526_length_7483_cov_6.834275_g370_i0.p1,__ABCA__NODE_526_length_7483_cov_6.834275_g370_i0.p1
__ABCBF__NODE_714_length_6904_cov_6.877024_g492_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_714_length_6904_cov_6.877024_g492_i0.p1,__ABCBF__NODE_714_length_6904_cov_6.877024_g492_i0.p1
__ABCBH__NODE_3206_length_3952_cov_3.467077_g2296_i0.p1,ABCBH,442,1,Present,Present,Present,__ABCBH__NODE_3206_length_3952_cov_3.467077_g2296_i0.p1,__ABCBH__NODE_3206_length_3952_cov_3.467077_g2296_i0.p1
__ABCBH__NODE_3842_length_3589_cov_7.470621_g2770_i0.p1,ABCBH,682,1,Present,Present,Present,__ABCBH__NODE_3842_length_3589_cov_7.470621_g2770_i0.p1,__ABCBH__NODE_3842_length_3589_cov_7.470621_g2770_i0.p1
__ABCBH__NODE_6344_length_2711_cov_4.679564_g4693_i0.p1,ABCBH,733,1,Present,Present,Present,__ABCBH__NODE_6344_length_2711_cov_4.679564_g4693_i0.p1,__ABCBH__NODE_6344_length_2711_cov_4.679564_g4693_i0.p1
__ABCBH__NODE_8444_length_2234_cov_4.239359_g6337_i0.p1,ABCBH,720,1,Present,Present,Present,__ABCBH__NODE_8444_length_2234_cov_4.239359_g6337_i0.p1,__ABCBH__NODE_8444_length_2234_cov_4.239359_g6337_i0.p1
__ABCC__NODE_10704_length_1854_cov_4.977285_g8131_i0.p1,ABCC,503,1,Present,Present,Absent,__ABCC__NODE_10704_length_1854_cov_4.977285_g8131_i0.p1,__ABCC__NODE_10704_length_1854_cov_4.977285_g8131_i0.p1
__ABCC__NODE_13919_length_1468_cov_3.904863_g10678_i0.p1,ABCC,447,1,Present,Present,Present,__ABCC__NODE_13919_length_1468_cov_3.904863_g10678_i0.p1,__ABCC__NODE_13919_length_1468_cov_3.904863_g10678_i0.p1
__ABCC__NODE_2003_length_4833_cov_5.857232_g1404_i0.p1,ABCC,1494,2,Present,Present,Present,__ABCC__NODE_2003_length_4833_cov_5.857232_g1404_i0.p1,__ABCC__NODE_2003_length_4833_cov_5.857232_g1404_i0.p1
__ABCC__NODE_3970_length_3532_cov_6.391042_g2869_i0.p1,ABCC,609,1,Present,Present,Absent,__ABCC__NODE_3970_length_3532_cov_6.391042_g2869_i0.p1,__ABCC__NODE_3970_length_3532_cov_6.391042_g2869_i0.p1
__ABCD__NODE_2012_length_4823_cov_5.807499_g1412_i0.p1,ABCD,791,1,Present,Present,Present,__ABCD__NODE_2012_length_4823_cov_5.807499_g1412_i0.p1,__ABCD__NODE_2012_length_4823_cov_5.807499_g1412_i0.p1
__ABCD__NODE_450_length_7807_cov_9.724929_g315_i0.p1,ABCD,656,1,Present,Present,Present,__ABCD__NODE_450_length_7807_cov_9.724929_g315_i0.p1,__ABCD__NODE_450_length_7807_cov_9.724929_g315_i0.p1
__ABCD__NODE_8952_length_2141_cov_6.719407_g6748_i0.p1,ABCD,643,1,Absent,Present,Absent,__ABCD__NODE_8952_length_2141_cov_6.719407_g6748_i0.p1,__ABCD__NODE_8952_length_2141_cov_6.719407_g6748_i0.p1
