name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_10166_length_2095_cov_3.000000_g4227_i1.p1,ABCA,253,1,Present,Present,Present,__ABCA__NODE_10166_length_2095_cov_3.000000_g4227_i1.p1,__ABCA__NODE_10166_length_2095_cov_3.000000_g4227_i1.p1
__ABCA__NODE_12029_length_1838_cov_1.951369_g7572_i0.p1,ABCA,264,1,Present,Present,Present,__ABCA__NODE_12029_length_1838_cov_1.951369_g7572_i0.p1,__ABCA__NODE_12029_length_1838_cov_1.951369_g7572_i0.p1
__ABCA__NODE_12687_length_1759_cov_5.976023_g7987_i0.p1,ABCA,275,1,Present,Present,Present,__ABCA__NODE_12687_length_1759_cov_5.976023_g7987_i0.p1,__ABCA__NODE_12687_length_1759_cov_5.976023_g7987_i0.p1
__ABCA__NODE_3290_length_4046_cov_5.588191_g2054_i0.p2,ABCA,298,1,Absent,Absent,Absent,__ABCA__NODE_3290_length_4046_cov_5.588191_g2054_i0.p2,__ABCA__NODE_3290_length_4046_cov_5.588191_g2054_i0.p2
__ABCA__NODE_3709_length_3838_cov_3.462391_g2312_i0.p1,ABCA,512,2,Absent,Absent,Absent,__ABCA__NODE_3709_length_3838_cov_3.462391_g2312_i0.p1,__ABCA__NODE_3709_length_3838_cov_3.462391_g2312_i0.p1
__ABCA__NODE_4535_length_3473_cov_7.650117_g2822_i0.p1,ABCA,280,1,Absent,Absent,Absent,__ABCA__NODE_4535_length_3473_cov_7.650117_g2822_i0.p1,__ABCA__NODE_4535_length_3473_cov_7.650117_g2822_i0.p1
__ABCA__NODE_5243_length_3220_cov_3.156102_g3248_i0.p1,ABCA,337,1,Absent,Absent,Absent,__ABCA__NODE_5243_length_3220_cov_3.156102_g3248_i0.p1,__ABCA__NODE_5243_length_3220_cov_3.156102_g3248_i0.p1
__ABCA__NODE_658_length_7101_cov_9.558707_g430_i0.p1,ABCA,311,1,Absent,Absent,Absent,__ABCA__NODE_658_length_7101_cov_9.558707_g430_i0.p1,__ABCA__NODE_658_length_7101_cov_9.558707_g430_i0.p1
__ABCA__NODE_6696_length_2782_cov_5.193926_g3832_i1.p1,ABCA,377,1,Absent,Absent,Absent,__ABCA__NODE_6696_length_2782_cov_5.193926_g3832_i1.p1,__ABCA__NODE_6696_length_2782_cov_5.193926_g3832_i1.p1
__ABCA__NODE_8783_length_2338_cov_2.371341_g5466_i1.p1,ABCA,314,2,Absent,Absent,Absent,__ABCA__NODE_8783_length_2338_cov_2.371341_g5466_i1.p1,__ABCA__NODE_8783_length_2338_cov_2.371341_g5466_i1.p1
__ABCA__NODE_9447_length_2217_cov_2.802583_g5914_i0.p1,ABCA,739,1,Absent,Absent,Absent,__ABCA__NODE_9447_length_2217_cov_2.802583_g5914_i0.p1,__ABCA__NODE_9447_length_2217_cov_2.802583_g5914_i0.p1
__ABCBH__NODE_10018_length_2118_cov_4.781054_g164_i3.p1,ABCBH,356,1,Present,Present,Present,__ABCBAMG__NODE_10018_length_2118_cov_4.781054_g164_i3.p1,__ABCBAMG__NODE_10018_length_2118_cov_4.781054_g164_i3.p1
__ABCBH__NODE_11164_length_1953_cov_3.429097_g2776_i1.p1,ABCBH,388,1,Present,Present,Present,__ABCBAMG__NODE_11164_length_1953_cov_3.429097_g2776_i1.p1,__ABCBAMG__NODE_11164_length_1953_cov_3.429097_g2776_i1.p1
