name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_861_length_5190_cov_7.333982_g652_i0.p1,ABCA,1271,2,Present,Present,Present,__ABCA__NODE_861_length_5190_cov_7.333982_g652_i0.p1,__ABCA__NODE_861_length_5190_cov_7.333982_g652_i0.p1
__ABCBF__NODE_13632_length_947_cov_2.534521_g11112_i0.p1,ABCBF,315,2,Present,Absent,Absent,__ABCBF__NODE_13632_length_947_cov_2.534521_g11112_i0.p1,__ABCBF__NODE_13632_length_947_cov_2.534521_g11112_i0.p1
__ABCBF__NODE_15743_length_812_cov_2.836173_g13053_i0.p1,ABCBF,270,1,Absent,Present,Absent,__ABCBF__NODE_15743_length_812_cov_2.836173_g13053_i0.p1,__ABCBF__NODE_15743_length_812_cov_2.836173_g13053_i0.p1
__ABCBF__NODE_4010_length_2632_cov_4.602787_g3056_i0.p1,ABCBF,788,2,Present,Present,Present,__ABCBF__NODE_4010_length_2632_cov_4.602787_g3056_i0.p1,__ABCBF__NODE_4010_length_2632_cov_4.602787_g3056_i0.p1
__ABCC__NODE_12417_length_1041_cov_2.750000_g10015_i0.p1,ABCC,346,2,Absent,Present,Absent,__ABCC__NODE_12417_length_1041_cov_2.750000_g10015_i0.p1,__ABCC__NODE_12417_length_1041_cov_2.750000_g10015_i0.p1
__ABCC__NODE_2541_length_3412_cov_9.175141_g1937_i0.p1,ABCC,456,1,Present,Present,Absent,__ABCC__NODE_2541_length_3412_cov_9.175141_g1937_i0.p1,__ABCC__NODE_2541_length_3412_cov_9.175141_g1937_i0.p1
__ABCC__NODE_4257_length_2529_cov_4.515726_g3254_i0.p1,ABCC,789,1,Present,Present,Present,__ABCC__NODE_4257_length_2529_cov_4.515726_g3254_i0.p1,__ABCC__NODE_4257_length_2529_cov_4.515726_g3254_i0.p1
__ABCC__NODE_535_length_5903_cov_8.419201_g408_i0.p1,ABCC,645,1,Present,Present,Absent,__ABCC__NODE_535_length_5903_cov_8.419201_g408_i0.p1,__ABCC__NODE_535_length_5903_cov_8.419201_g408_i0.p1
__ABCE__NODE_2761_length_3269_cov_15.406832_g2102_i0.p1,ABCE,630,2,Present,Present,Present,__ABCE__NODE_2761_length_3269_cov_15.406832_g2102_i0.p1,__ABCE__NODE_2761_length_3269_cov_15.406832_g2102_i0.p1
__ABCF__NODE_2701_length_3307_cov_96.437078_g2056_i0.p1,ABCF,589,2,Present,Present,Present,__ABCF__NODE_2701_length_3307_cov_96.437078_g2056_i0.p1,__ABCF__NODE_2701_length_3307_cov_96.437078_g2056_i0.p1
__ABCF__NODE_4968_length_2281_cov_17.282706_g3800_i0.p1,ABCF,712,3,Present,Present,Present,__ABCF__NODE_4968_length_2281_cov_17.282706_g3800_i0.p1,__ABCF__NODE_4968_length_2281_cov_17.282706_g3800_i0.p1
__ABCF__NODE_900_length_5106_cov_20.567135_g682_i0.p1,ABCF,623,3,Present,Present,Present,__ABCF__NODE_900_length_5106_cov_20.567135_g682_i0.p1,__ABCF__NODE_900_length_5106_cov_20.567135_g682_i0.p1
__ABCG__NODE_10126_length_1272_cov_2.181521_g7980_i0.p1,ABCG,424,1,Present,Absent,Absent,__ABCG__NODE_10126_length_1272_cov_2.181521_g7980_i0.p1,__ABCG__NODE_10126_length_1272_cov_2.181521_g7980_i0.p1
__ABCG__NODE_3023_length_3111_cov_6.453625_g2302_i0.p1,ABCG,646,2,Present,Present,Absent,__ABCG__NODE_3023_length_3111_cov_6.453625_g2302_i0.p1,__ABCG__NODE_3023_length_3111_cov_6.453625_g2302_i0.p1
__ABCG__NODE_5913_length_2001_cov_4.423668_g4544_i0.p1,ABCG,562,1,Present,Present,Present,__ABCG__NODE_5913_length_2001_cov_4.423668_g4544_i0.p1,__ABCG__NODE_5913_length_2001_cov_4.423668_g4544_i0.p1
__ABCG__NODE_7280_length_1713_cov_3.097356_g5639_i0.p1,ABCG,489,1,Present,Absent,Present,__ABCG__NODE_7280_length_1713_cov_3.097356_g5639_i0.p1,__ABCG__NODE_7280_length_1713_cov_3.097356_g5639_i0.p1
__ABCG__NODE_9822_length_1310_cov_3.911182_g7717_i0.p1,ABCG,436,2,Present,Absent,Present,__ABCG__NODE_9822_length_1310_cov_3.911182_g7717_i0.p1,__ABCG__NODE_9822_length_1310_cov_3.911182_g7717_i0.p1
