name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCBF__NODE_293_length_7100_cov_14.133314_g194_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_293_length_7100_cov_14.133314_g194_i0.p1,__ABCBF__NODE_293_length_7100_cov_14.133314_g194_i0.p1
__ABCBH__NODE_2157_length_4026_cov_18.774705_g1520_i0.p1,ABCBH,725,1,Present,Present,Present,__ABCBH__NODE_2157_length_4026_cov_18.774705_g1520_i0.p1,__ABCBH__NODE_2157_length_4026_cov_18.774705_g1520_i0.p1
__ABCBH__NODE_3902_length_3118_cov_5.822092_g2794_i0.p1,ABCBH,900,1,Present,Present,Present,__ABCBH__NODE_3902_length_3118_cov_5.822092_g2794_i0.p1,__ABCBH__NODE_3902_length_3118_cov_5.822092_g2794_i0.p1
__ABCBH__NODE_5787_length_2514_cov_10.836511_g4142_i0.p1,ABCBH,511,1,Present,Present,Present,__ABCBH__NODE_5787_length_2514_cov_10.836511_g4142_i0.p1,__ABCBH__NODE_5787_length_2514_cov_10.836511_g4142_i0.p1
__ABCC__NODE_10362_length_1735_cov_4.438909_g7606_i0.p1,ABCC,511,1,Present,Present,Absent,__ABCC__NODE_10362_length_1735_cov_4.438909_g7606_i0.p1,__ABCC__NODE_10362_length_1735_cov_4.438909_g7606_i0.p1
__ABCC__NODE_1117_length_5055_cov_11.672593_g782_i0.p1,ABCC,1384,2,Present,Present,Present,__ABCC__NODE_1117_length_5055_cov_11.672593_g782_i0.p1,__ABCC__NODE_1117_length_5055_cov_11.672593_g782_i0.p1
__ABCC__NODE_14245_length_1354_cov_3.137931_g10631_i0.p1,ABCC,451,1,Present,Present,Present,__ABCC__NODE_14245_length_1354_cov_3.137931_g10631_i0.p1,__ABCC__NODE_14245_length_1354_cov_3.137931_g10631_i0.p1
__ABCC__NODE_20820_length_954_cov_3.261878_g16137_i0.p1,ABCC,261,2,Present,Absent,Present,__ABCC__NODE_20820_length_954_cov_3.261878_g16137_i0.p1,__ABCC__NODE_20820_length_954_cov_3.261878_g16137_i0.p1
__ABCC__NODE_3595_length_3244_cov_5.228482_g2560_i0.p1,ABCC,821,1,Present,Present,Present,__ABCC__NODE_3595_length_3244_cov_5.228482_g2560_i0.p1,__ABCC__NODE_3595_length_3244_cov_5.228482_g2560_i0.p1
__ABCC__NODE_558_length_6229_cov_14.020227_g385_i0.p1,ABCC,1568,2,Present,Present,Present,__ABCC__NODE_558_length_6229_cov_14.020227_g385_i0.p1,__ABCC__NODE_558_length_6229_cov_14.020227_g385_i0.p1
__ABCC__NODE_9232_length_1888_cov_4.935835_g6759_i0.p1,ABCC,606,1,Present,Present,Absent,__ABCC__NODE_9232_length_1888_cov_4.935835_g6759_i0.p1,__ABCC__NODE_9232_length_1888_cov_4.935835_g6759_i0.p1
__ABCD__NODE_11445_length_1609_cov_5.289103_g8438_i0.p1,ABCD,536,1,Absent,Present,Absent,__ABCD__NODE_11445_length_1609_cov_5.289103_g8438_i0.p1,__ABCD__NODE_11445_length_1609_cov_5.289103_g8438_i0.p1
__ABCE__NODE_4895_length_2752_cov_43.020718_g3499_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4895_length_2752_cov_43.020718_g3499_i0.p1,__ABCE__NODE_4895_length_2752_cov_43.020718_g3499_i0.p1
__ABCF__NODE_2187_length_3992_cov_288.438499_g1543_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2187_length_3992_cov_288.438499_g1543_i0.p1,__ABCF__NODE_2187_length_3992_cov_288.438499_g1543_i0.p1
__ABCF__NODE_3497_length_3285_cov_24.429234_g2482_i0.p1,ABCF,980,2,Present,Present,Present,__ABCF__NODE_3497_length_3285_cov_24.429234_g2482_i0.p1,__ABCF__NODE_3497_length_3285_cov_24.429234_g2482_i0.p1
__ABCF__NODE_6533_length_2347_cov_16.996954_g4706_i0.p1,ABCF,692,2,Present,Present,Present,__ABCF__NODE_6533_length_2347_cov_16.996954_g4706_i0.p1,__ABCF__NODE_6533_length_2347_cov_16.996954_g4706_i0.p1
__ABCG__NODE_14589_length_1324_cov_3.154510_g10891_i0.p1,ABCG,440,1,Present,Absent,Absent,__ABCG__NODE_14589_length_1324_cov_3.154510_g10891_i0.p1,__ABCG__NODE_14589_length_1324_cov_3.154510_g10891_i0.p1
__ABCG__NODE_24798_length_802_cov_2.373174_g19690_i0.p1,ABCG,266,1,Present,Absent,Present,__ABCG__NODE_24798_length_802_cov_2.373174_g19690_i0.p1,__ABCG__NODE_24798_length_802_cov_2.373174_g19690_i0.p1
__ABCG__NODE_2596_length_3742_cov_26.102627_g1838_i0.p1,ABCG,680,1,Present,Present,Present,__ABCG__NODE_2596_length_3742_cov_26.102627_g1838_i0.p1,__ABCG__NODE_2596_length_3742_cov_26.102627_g1838_i0.p1
__ABCG__NODE_5900_length_2486_cov_28.543291_g4235_i0.p1,ABCG,661,1,Present,Present,Present,__ABCG__NODE_5900_length_2486_cov_28.543291_g4235_i0.p1,__ABCG__NODE_5900_length_2486_cov_28.543291_g4235_i0.p1
__ABCG__NODE_774_length_5705_cov_6.455269_g527_i0.p1,ABCG,508,1,Present,Absent,Present,__ABCG__NODE_774_length_5705_cov_6.455269_g527_i0.p1,__ABCG__NODE_774_length_5705_cov_6.455269_g527_i0.p1
__ABCH__NODE_2731_length_3666_cov_11.208737_g1939_i0.p1,ABCH,744,1,Present,Present,Present,__ABCH__NODE_2731_length_3666_cov_11.208737_g1939_i0.p1,__ABCH__NODE_2731_length_3666_cov_11.208737_g1939_i0.p1
