name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_8953_length_1144_cov_4.457534_g6454_i0.p1,ABCA,380,1,Present,Present,Present,__ABCA__NODE_8953_length_1144_cov_4.457534_g6454_i0.p1,__ABCA__NODE_8953_length_1144_cov_4.457534_g6454_i0.p1
__ABCBH__NODE_9344_length_1101_cov_4.560837_g6761_i0.p1,ABCBH,360,1,Present,Present,Present,__ABCBH__NODE_9344_length_1101_cov_4.560837_g6761_i0.p1,__ABCBH__NODE_9344_length_1101_cov_4.560837_g6761_i0.p1
__ABCC__NODE_1499_length_2845_cov_16.504292_g1014_i0.p1,ABCC,716,1,Present,Present,Absent,__ABCC__NODE_1499_length_2845_cov_16.504292_g1014_i0.p1,__ABCC__NODE_1499_length_2845_cov_16.504292_g1014_i0.p1
__ABCC__NODE_5866_length_1542_cov_3.721366_g4148_i0.p1,ABCC,513,1,Present,Present,Present,__ABCC__NODE_5866_length_1542_cov_3.721366_g4148_i0.p1,__ABCC__NODE_5866_length_1542_cov_3.721366_g4148_i0.p1
__ABCC__NODE_862_length_3380_cov_8.010507_g536_i0.p1,ABCC,1072,2,Present,Present,Present,__ABCC__NODE_862_length_3380_cov_8.010507_g536_i0.p1,__ABCC__NODE_862_length_3380_cov_8.010507_g536_i0.p1
__ABCE__NODE_1626_length_2772_cov_35.782960_g1111_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_1626_length_2772_cov_35.782960_g1111_i0.p1,__ABCE__NODE_1626_length_2772_cov_35.782960_g1111_i0.p1
__ABCF__NODE_11118_length_951_cov_5.491131_g8175_i0.p1,ABCF,316,2,Absent,Present,Absent,__ABCF__NODE_11118_length_951_cov_5.491131_g8175_i0.p1,__ABCF__NODE_11118_length_951_cov_5.491131_g8175_i0.p1
__ABCF__NODE_535_length_3897_cov_123.334979_g284_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_535_length_3897_cov_123.334979_g284_i0.p1,__ABCF__NODE_535_length_3897_cov_123.334979_g284_i0.p1
__ABCF__NODE_7456_length_1313_cov_10.484177_g5335_i0.p1,ABCF,394,3,Present,Present,Present,__ABCF__NODE_7456_length_1313_cov_10.484177_g5335_i0.p1,__ABCF__NODE_7456_length_1313_cov_10.484177_g5335_i0.p1
__ABCF__NODE_975_length_3269_cov_11.886335_g627_i0.p1,ABCF,601,3,Present,Present,Present,__ABCF__NODE_975_length_3269_cov_11.886335_g627_i0.p1,__ABCF__NODE_975_length_3269_cov_11.886335_g627_i0.p1
__ABCG__NODE_13007_length_825_cov_2.969072_g9771_i0.p1,ABCG,259,1,Present,Present,Present,__ABCG__NODE_13007_length_825_cov_2.969072_g9771_i0.p1,__ABCG__NODE_13007_length_825_cov_2.969072_g9771_i0.p1
__ABCG__NODE_3063_length_2167_cov_9.566572_g2139_i0.p1,ABCG,662,1,Present,Present,Present,__ABCG__NODE_3063_length_2167_cov_9.566572_g2139_i0.p1,__ABCG__NODE_3063_length_2167_cov_9.566572_g2139_i0.p1
