name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1006_length_5968_cov_24.314073_g635_i0.p1,ABCA,1807,2,Present,Present,Present,__ABCA__NODE_1006_length_5968_cov_24.314073_g635_i0.p1,__ABCA__NODE_1006_length_5968_cov_24.314073_g635_i0.p1
__ABCA__NODE_9177_length_2264_cov_4.974266_g5688_i0.p1,ABCA,550,2,Present,Present,Present,__ABCA__NODE_9177_length_2264_cov_4.974266_g5688_i0.p1,__ABCA__NODE_9177_length_2264_cov_4.974266_g5688_i0.p1
__ABCBF__NODE_600_length_6842_cov_31.257177_g381_i0.p1,ABCBF,1410,2,Present,Present,Present,__ABCBF__NODE_600_length_6842_cov_31.257177_g381_i0.p1,__ABCBF__NODE_600_length_6842_cov_31.257177_g381_i0.p1
__ABCBH__NODE_1415_length_5414_cov_6.107922_g884_i0.p1,ABCBH,932,1,Present,Present,Present,__ABCBH__NODE_1415_length_5414_cov_6.107922_g884_i0.p1,__ABCBH__NODE_1415_length_5414_cov_6.107922_g884_i0.p1
__ABCBH__NODE_2627_length_4305_cov_9.724624_g1682_i0.p1,ABCBH,734,1,Present,Present,Present,__ABCBH__NODE_2627_length_4305_cov_9.724624_g1682_i0.p1,__ABCBH__NODE_2627_length_4305_cov_9.724624_g1682_i0.p1
__ABCBH__NODE_27204_length_787_cov_4.010840_g18976_i0.p1,ABCBH,262,1,Absent,Present,Present,__ABCBH__NODE_27204_length_787_cov_4.010840_g18976_i0.p1,__ABCBH__NODE_27204_length_787_cov_4.010840_g18976_i0.p1
__ABCC__NODE_1468_length_5356_cov_20.910119_g922_i0.p1,ABCC,1044,2,Present,Present,Present,__ABCC__NODE_1468_length_5356_cov_20.910119_g922_i0.p1,__ABCC__NODE_1468_length_5356_cov_20.910119_g922_i0.p1
__ABCC__NODE_1825_length_4965_cov_10.849064_g1154_i0.p1,ABCC,1091,2,Present,Present,Present,__ABCC__NODE_1825_length_4965_cov_10.849064_g1154_i0.p1,__ABCC__NODE_1825_length_4965_cov_10.849064_g1154_i0.p1
__ABCC__NODE_575_length_6892_cov_12.098933_g364_i0.p1,ABCC,1627,2,Present,Present,Present,__ABCC__NODE_575_length_6892_cov_12.098933_g364_i0.p1,__ABCC__NODE_575_length_6892_cov_12.098933_g364_i0.p1
__ABCE__NODE_6882_length_2716_cov_95.494938_g4284_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_6882_length_2716_cov_95.494938_g4284_i0.p1,__ABCE__NODE_6882_length_2716_cov_95.494938_g4284_i0.p1
__ABCF__NODE_3369_length_3891_cov_159.895888_g2147_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_3369_length_3891_cov_159.895888_g2147_i0.p1,__ABCF__NODE_3369_length_3891_cov_159.895888_g2147_i0.p1
__ABCF__NODE_4576_length_3366_cov_19.088031_g2878_i0.p1,ABCF,979,2,Present,Present,Present,__ABCF__NODE_4576_length_3366_cov_19.088031_g2878_i0.p1,__ABCF__NODE_4576_length_3366_cov_19.088031_g2878_i0.p1
__ABCF__NODE_8867_length_2320_cov_11.401145_g5492_i0.p1,ABCF,709,2,Present,Present,Present,__ABCF__NODE_8867_length_2320_cov_11.401145_g5492_i0.p1,__ABCF__NODE_8867_length_2320_cov_11.401145_g5492_i0.p1
__ABCG__NODE_23483_length_942_cov_4.031355_g15823_i0.p1,ABCG,313,1,Present,Present,Present,__ABCG__NODE_23483_length_942_cov_4.031355_g15823_i0.p1,__ABCG__NODE_23483_length_942_cov_4.031355_g15823_i0.p1
__ABCG__NODE_3446_length_3854_cov_30.997109_g2185_i0.p1,ABCG,701,1,Present,Present,Present,__ABCG__NODE_3446_length_3854_cov_30.997109_g2185_i0.p1,__ABCG__NODE_3446_length_3854_cov_30.997109_g2185_i0.p1
__ABCG__NODE_8241_length_2422_cov_11.887906_g5109_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_8241_length_2422_cov_11.887906_g5109_i0.p1,__ABCG__NODE_8241_length_2422_cov_11.887906_g5109_i0.p1
__ABCG__NODE_9093_length_2277_cov_33.551616_g5632_i0.p1,ABCG,661,1,Present,Present,Present,__ABCG__NODE_9093_length_2277_cov_33.551616_g5632_i0.p1,__ABCG__NODE_9093_length_2277_cov_33.551616_g5632_i0.p1
