name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_25172_length_888_cov_2.331347_g17507_i0.p1,ABCA,296,1,Present,Present,Present,__ABCA__NODE_25172_length_888_cov_2.331347_g17507_i0.p1,__ABCA__NODE_25172_length_888_cov_2.331347_g17507_i0.p1
__ABCBF__NODE_426_length_6816_cov_17.373578_g296_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_426_length_6816_cov_17.373578_g296_i0.p1,__ABCBF__NODE_426_length_6816_cov_17.373578_g296_i0.p1
__ABCBH__NODE_1583_length_5034_cov_42.698094_g1076_i0.p1,ABCBH,687,1,Present,Present,Present,__ABCBH__NODE_1583_length_5034_cov_42.698094_g1076_i0.p1,__ABCBH__NODE_1583_length_5034_cov_42.698094_g1076_i0.p1
__ABCBH__NODE_24184_length_933_cov_2.576923_g16702_i0.p1,ABCBH,310,1,Absent,Present,Absent,__ABCBH__NODE_24184_length_933_cov_2.576923_g16702_i0.p1,__ABCBH__NODE_24184_length_933_cov_2.576923_g16702_i0.p1
__ABCBH__NODE_6348_length_2881_cov_200.555791_g4151_i0.p1,ABCBH,447,1,Present,Present,Present,__ABCBH__NODE_6348_length_2881_cov_200.555791_g4151_i0.p1,__ABCBH__NODE_6348_length_2881_cov_200.555791_g4151_i0.p1
__ABCBH__NODE_7820_length_2551_cov_5.612710_g5103_i0.p1,ABCBH,718,1,Present,Present,Present,__ABCBH__NODE_7820_length_2551_cov_5.612710_g5103_i0.p1,__ABCBH__NODE_7820_length_2551_cov_5.612710_g5103_i0.p1
__ABCC__NODE_1565_length_5048_cov_12.847570_g1065_i0.p1,ABCC,1521,2,Present,Present,Present,__ABCC__NODE_1565_length_5048_cov_12.847570_g1065_i0.p1,__ABCC__NODE_1565_length_5048_cov_12.847570_g1065_i0.p1
__ABCC__NODE_21048_length_1102_cov_2.609687_g14188_i0.p1,ABCC,367,1,Present,Absent,Present,__ABCC__NODE_21048_length_1102_cov_2.609687_g14188_i0.p1,__ABCC__NODE_21048_length_1102_cov_2.609687_g14188_i0.p1
__ABCC__NODE_3754_length_3730_cov_40.591959_g2492_i0.p1,ABCC,595,1,Present,Present,Absent,__ABCC__NODE_3754_length_3730_cov_40.591959_g2492_i0.p1,__ABCC__NODE_3754_length_3730_cov_40.591959_g2492_i0.p1
__ABCC__NODE_3915_length_3662_cov_7.168004_g2603_i0.p1,ABCC,787,1,Present,Present,Absent,__ABCC__NODE_3915_length_3662_cov_7.168004_g2603_i0.p1,__ABCC__NODE_3915_length_3662_cov_7.168004_g2603_i0.p1
__ABCD__NODE_4957_length_3295_cov_8.030191_g753_i1.p1,ABCD,339,1,Present,Present,Present,__ABCD__NODE_4957_length_3295_cov_8.030191_g753_i1.p1,__ABCD__NODE_4957_length_3295_cov_8.030191_g753_i1.p1
__ABCD__NODE_5945_length_2992_cov_3.836222_g3925_i0.p1,ABCD,553,1,Present,Present,Present,__ABCD__NODE_5945_length_2992_cov_3.836222_g3925_i0.p1,__ABCD__NODE_5945_length_2992_cov_3.836222_g3925_i0.p1
__ABCE__NODE_6945_length_2736_cov_46.002605_g4531_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_6945_length_2736_cov_46.002605_g4531_i0.p1,__ABCE__NODE_6945_length_2736_cov_46.002605_g4531_i0.p1
__ABCF__NODE_3486_length_3850_cov_305.826888_g2323_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_3486_length_3850_cov_305.826888_g2323_i0.p1,__ABCF__NODE_3486_length_3850_cov_305.826888_g2323_i0.p1
__ABCF__NODE_4911_length_3307_cov_35.032228_g3236_i0.p1,ABCF,975,3,Present,Present,Present,__ABCF__NODE_4911_length_3307_cov_35.032228_g3236_i0.p1,__ABCF__NODE_4911_length_3307_cov_35.032228_g3236_i0.p1
__ABCF__NODE_9041_length_2327_cov_18.196225_g5890_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_9041_length_2327_cov_18.196225_g5890_i0.p1,__ABCF__NODE_9041_length_2327_cov_18.196225_g5890_i0.p1
__ABCG__NODE_12252_length_1865_cov_2.156388_g7954_i0.p1,ABCG,621,1,Present,Absent,Absent,__ABCG__NODE_12252_length_1865_cov_2.156388_g7954_i0.p1,__ABCG__NODE_12252_length_1865_cov_2.156388_g7954_i0.p1
__ABCG__NODE_2007_length_4696_cov_14.209598_g1352_i0.p1,ABCG,684,1,Present,Present,Present,__ABCG__NODE_2007_length_4696_cov_14.209598_g1352_i0.p1,__ABCG__NODE_2007_length_4696_cov_14.209598_g1352_i0.p1
__ABCG__NODE_8516_length_2415_cov_11.370668_g5552_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_8516_length_2415_cov_11.370668_g5552_i0.p1,__ABCG__NODE_8516_length_2415_cov_11.370668_g5552_i0.p1
__ABCG__NODE_9091_length_2318_cov_9.724108_g5916_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_9091_length_2318_cov_9.724108_g5916_i0.p1,__ABCG__NODE_9091_length_2318_cov_9.724108_g5916_i0.p1
__ABCG__NODE_9924_length_2184_cov_25.933958_g6452_i0.p1,ABCG,660,1,Present,Present,Present,__ABCG__NODE_9924_length_2184_cov_25.933958_g6452_i0.p1,__ABCG__NODE_9924_length_2184_cov_25.933958_g6452_i0.p1
__ABCH__NODE_24301_length_928_cov_2.788396_g16793_i0.p1,ABCH,250,1,Present,Present,Present,__ABCH__NODE_24301_length_928_cov_2.788396_g16793_i0.p1,__ABCH__NODE_24301_length_928_cov_2.788396_g16793_i0.p1
