name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_13572_length_2058_cov_2.207033_g10365_i0.p1,ABCA,438,1,Present,Absent,Present,__ABCA__NODE_13572_length_2058_cov_2.207033_g10365_i0.p1,__ABCA__NODE_13572_length_2058_cov_2.207033_g10365_i0.p1
__ABCA__NODE_1379_length_7895_cov_12.979252_g1105_i0.p1,ABCA,1775,2,Present,Present,Present,__ABCA__NODE_1379_length_7895_cov_12.979252_g1105_i0.p1,__ABCA__NODE_1379_length_7895_cov_12.979252_g1105_i0.p1
__ABCA__NODE_2261_length_6696_cov_8.992339_g1754_i0.p1,ABCA,1871,2,Present,Present,Present,__ABCA__NODE_2261_length_6696_cov_8.992339_g1754_i0.p1,__ABCA__NODE_2261_length_6696_cov_8.992339_g1754_i0.p1
__ABCA__NODE_2290_length_6675_cov_4.305304_g1780_i0.p1,ABCA,1781,2,Present,Present,Present,__ABCA__NODE_2290_length_6675_cov_4.305304_g1780_i0.p1,__ABCA__NODE_2290_length_6675_cov_4.305304_g1780_i0.p1
__ABCBF__NODE_2351_length_6615_cov_29.720043_g1821_i0.p1,ABCBF,1404,2,Present,Present,Present,__ABCBF__NODE_2351_length_6615_cov_29.720043_g1821_i0.p1,__ABCBF__NODE_2351_length_6615_cov_29.720043_g1821_i0.p1
__ABCBH__NODE_4342_length_4949_cov_5.282077_g3341_i0.p1,ABCBH,914,1,Present,Present,Present,__ABCBH__NODE_4342_length_4949_cov_5.282077_g3341_i0.p1,__ABCBH__NODE_4342_length_4949_cov_5.282077_g3341_i0.p1
__ABCBH__NODE_6593_length_3849_cov_8.966929_g5041_i0.p1,ABCBH,613,1,Present,Present,Present,__ABCBH__NODE_6593_length_3849_cov_8.966929_g5041_i0.p1,__ABCBH__NODE_6593_length_3849_cov_8.966929_g5041_i0.p1
__ABCBH__NODE_7793_length_3427_cov_7.979044_g5965_i0.p1,ABCBH,733,1,Present,Present,Present,__ABCBH__NODE_7793_length_3427_cov_7.979044_g5965_i0.p1,__ABCBH__NODE_7793_length_3427_cov_7.979044_g5965_i0.p1
__ABCBH__NODE_9826_length_2832_cov_10.394916_g7523_i0.p1,ABCBH,719,1,Present,Present,Present,__ABCBH__NODE_9826_length_2832_cov_10.394916_g7523_i0.p1,__ABCBH__NODE_9826_length_2832_cov_10.394916_g7523_i0.p1
__ABCC__NODE_12311_length_2290_cov_12.054642_g1180_i3.p1,ABCC,690,1,Present,Present,Present,__ABCC__NODE_12311_length_2290_cov_12.054642_g1180_i3.p1,__ABCC__NODE_12311_length_2290_cov_12.054642_g1180_i3.p1
__ABCC__NODE_13836_length_2013_cov_2.137791_g10559_i0.p1,ABCC,448,1,Absent,Absent,Present,__ABCC__NODE_13836_length_2013_cov_2.137791_g10559_i0.p1,__ABCC__NODE_13836_length_2013_cov_2.137791_g10559_i0.p1
__ABCC__NODE_1478_length_7736_cov_40.080681_g1180_i0.p1,ABCC,941,2,Present,Present,Present,__ABCC__NODE_1478_length_7736_cov_40.080681_g1180_i0.p1,__ABCC__NODE_1478_length_7736_cov_40.080681_g1180_i0.p1
__ABCC__NODE_2062_length_6923_cov_3.992882_g1599_i0.p1,ABCC,354,1,Present,Present,Absent,__ABCC__NODE_2062_length_6923_cov_3.992882_g1599_i0.p1,__ABCC__NODE_2062_length_6923_cov_3.992882_g1599_i0.p1
__ABCC__NODE_2870_length_6037_cov_22.881961_g2216_i0.p1,ABCC,1513,2,Present,Present,Present,__ABCC__NODE_2870_length_6037_cov_22.881961_g2216_i0.p1,__ABCC__NODE_2870_length_6037_cov_22.881961_g2216_i0.p1
__ABCC__NODE_3247_length_5715_cov_10.977273_g2518_i0.p1,ABCC,1616,2,Present,Present,Present,__ABCC__NODE_3247_length_5715_cov_10.977273_g2518_i0.p1,__ABCC__NODE_3247_length_5715_cov_10.977273_g2518_i0.p1
__ABCC__NODE_486_length_10330_cov_3.286075_g409_i0.p1,ABCC,1036,2,Present,Present,Present,__ABCC__NODE_486_length_10330_cov_3.286075_g409_i0.p1,__ABCC__NODE_486_length_10330_cov_3.286075_g409_i0.p1
__ABCC__NODE_9394_length_2944_cov_3.201721_g7198_i0.p1,ABCC,900,1,Absent,Present,Absent,__ABCC__NODE_9394_length_2944_cov_3.201721_g7198_i0.p1,__ABCC__NODE_9394_length_2944_cov_3.201721_g7198_i0.p1
__ABCC__NODE_9856_length_2826_cov_2.154288_g7546_i0.p1,ABCC,453,2,Present,Present,Present,__ABCC__NODE_9856_length_2826_cov_2.154288_g7546_i0.p1,__ABCC__NODE_9856_length_2826_cov_2.154288_g7546_i0.p1
__ABCD__NODE_12067_length_2334_cov_3.947277_g9222_i0.p1,ABCD,641,1,Present,Present,Present,__ABCD__NODE_12067_length_2334_cov_3.947277_g9222_i0.p1,__ABCD__NODE_12067_length_2334_cov_3.947277_g9222_i0.p1
__ABCD__NODE_1984_length_7012_cov_2.824036_g1546_i0.p1,ABCD,794,1,Present,Present,Present,__ABCD__NODE_1984_length_7012_cov_2.824036_g1546_i0.p1,__ABCD__NODE_1984_length_7012_cov_2.824036_g1546_i0.p1
__ABCD__NODE_2883_length_6025_cov_11.746408_g2225_i0.p1,ABCD,796,1,Present,Present,Present,__ABCD__NODE_2883_length_6025_cov_11.746408_g2225_i0.p1,__ABCD__NODE_2883_length_6025_cov_11.746408_g2225_i0.p1
__ABCE__NODE_9902_length_2810_cov_30.393721_g7580_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_9902_length_2810_cov_30.393721_g7580_i0.p1,__ABCE__NODE_9902_length_2810_cov_30.393721_g7580_i0.p1
__ABCF__NODE_12078_length_2332_cov_26.234191_g9230_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_12078_length_2332_cov_26.234191_g9230_i0.p1,__ABCF__NODE_12078_length_2332_cov_26.234191_g9230_i0.p1
__ABCF__NODE_5388_length_4377_cov_170.337713_g4142_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_5388_length_4377_cov_170.337713_g4142_i0.p1,__ABCF__NODE_5388_length_4377_cov_170.337713_g4142_i0.p1
__ABCF__NODE_8474_length_3202_cov_13.745179_g6485_i0.p1,ABCF,980,2,Present,Present,Present,__ABCF__NODE_8474_length_3202_cov_13.745179_g6485_i0.p1,__ABCF__NODE_8474_length_3202_cov_13.745179_g6485_i0.p1
__ABCG__NODE_11095_length_2533_cov_34.192061_g8482_i0.p1,ABCG,590,1,Present,Present,Present,__ABCG__NODE_11095_length_2533_cov_34.192061_g8482_i0.p1,__ABCG__NODE_11095_length_2533_cov_34.192061_g8482_i0.p1
__ABCG__NODE_11942_length_2355_cov_7.189119_g9126_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_11942_length_2355_cov_7.189119_g9126_i0.p1,__ABCG__NODE_11942_length_2355_cov_7.189119_g9126_i0.p1
__ABCG__NODE_1912_length_7109_cov_17.078642_g1491_i0.p1,ABCG,696,1,Present,Present,Present,__ABCG__NODE_1912_length_7109_cov_17.078642_g1491_i0.p1,__ABCG__NODE_1912_length_7109_cov_17.078642_g1491_i0.p1
__ABCG__NODE_4419_length_4902_cov_5.073823_g3398_i0.p1,ABCG,898,1,Present,Absent,Absent,__ABCG__NODE_4419_length_4902_cov_5.073823_g3398_i0.p1,__ABCG__NODE_4419_length_4902_cov_5.073823_g3398_i0.p1
__ABCG__NODE_4777_length_4690_cov_14.308106_g3666_i0.p1,ABCG,667,1,Present,Present,Absent,__ABCG__NODE_4777_length_4690_cov_14.308106_g3666_i0.p1,__ABCG__NODE_4777_length_4690_cov_14.308106_g3666_i0.p1
__ABCG__NODE_5482_length_4328_cov_15.186990_g4214_i0.p1,ABCG,665,1,Present,Present,Present,__ABCG__NODE_5482_length_4328_cov_15.186990_g4214_i0.p1,__ABCG__NODE_5482_length_4328_cov_15.186990_g4214_i0.p1
__ABCG__NODE_6947_length_3724_cov_18.037449_g5307_i0.p1,ABCG,655,1,Present,Present,Present,__ABCG__NODE_6947_length_3724_cov_18.037449_g5307_i0.p1,__ABCG__NODE_6947_length_3724_cov_18.037449_g5307_i0.p1
