name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__gi|0|gb|GFVL01012884.1|.p1,ABCA,292,1,Absent,Present,Present,__ABCA__gi|0|gb|GFVL01012884.1|.p1,__ABCA__gi|0|gb|GFVL01012884.1|.p1
__ABCA__gi|0|gb|GFVL01026118.1|.p1,ABCA,266,1,Present,Absent,Present,__ABCA__gi|0|gb|GFVL01026118.1|.p1,__ABCA__gi|0|gb|GFVL01026118.1|.p1
__ABCA__gi|0|gb|GFVL01031864.1|.p2,ABCA,262,2,Present,Present,Absent,__ABCA__gi|0|gb|GFVL01031864.1|.p2,__ABCA__gi|0|gb|GFVL01031864.1|.p2
__ABCA__gi|0|gb|GFVL01035407.1|.p1,ABCA,273,1,Present,Absent,Present,__ABCA__gi|0|gb|GFVL01035407.1|.p1,__ABCA__gi|0|gb|GFVL01035407.1|.p1
__ABCA__gi|0|gb|GFVL01038640.1|.p1,ABCA,1610,2,Present,Present,Present,__ABCA__gi|0|gb|GFVL01038640.1|.p1,__ABCA__gi|0|gb|GFVL01038640.1|.p1
__ABCA__gi|0|gb|GFVL01045414.1|.p1,ABCA,422,1,Present,Present,Present,__ABCA__gi|0|gb|GFVL01045414.1|.p1,__ABCA__gi|0|gb|GFVL01045414.1|.p1
__ABCA__gi|0|gb|GFVL01074135.1|.p1,ABCA,569,1,Absent,Present,Absent,__ABCA__gi|0|gb|GFVL01074135.1|.p1,__ABCA__gi|0|gb|GFVL01074135.1|.p1
__ABCBH__gi|0|gb|GFVL01029750.1|.p1,ABCBH,398,1,Absent,Absent,Absent,__ABCBAMG__gi|0|gb|GFVL01029750.1|.p1,__ABCBAMG__gi|0|gb|GFVL01029750.1|.p1
__ABCBF__gi|0|gb|GFVL01028114.1|.p1,ABCBF,317,2,Present,Present,Present,__ABCBF__gi|0|gb|GFVL01028114.1|.p1,__ABCBF__gi|0|gb|GFVL01028114.1|.p1
__ABCBF__gi|0|gb|GFVL01051505.1|.p1,ABCBF,1396,2,Present,Present,Present,__ABCBF__gi|0|gb|GFVL01051505.1|.p1,__ABCBF__gi|0|gb|GFVL01051505.1|.p1
__ABCBH__gi|0|gb|GFVL01005525.1|.p1,ABCBH,731,1,Present,Present,Present,__ABCBH__gi|0|gb|GFVL01005525.1|.p1,__ABCBH__gi|0|gb|GFVL01005525.1|.p1
__ABCBH__gi|0|gb|GFVL01018588.1|.p1,ABCBH,341,1,Present,Present,Present,__ABCBH__gi|0|gb|GFVL01018588.1|.p1,__ABCBH__gi|0|gb|GFVL01018588.1|.p1
__ABCBH__gi|0|gb|GFVL01047575.1|.p1,ABCBH,865,1,Present,Present,Present,__ABCBH__gi|0|gb|GFVL01047575.1|.p1,__ABCBH__gi|0|gb|GFVL01047575.1|.p1
__ABCBH__gi|0|gb|GFVL01071695.1|.p1,ABCBH,658,1,Present,Present,Present,__ABCBH__gi|0|gb|GFVL01071695.1|.p1,__ABCBH__gi|0|gb|GFVL01071695.1|.p1
__ABCC__gi|0|gb|GFVL01000692.1|.p1,ABCC,315,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01000692.1|.p1,__ABCC__gi|0|gb|GFVL01000692.1|.p1
__ABCC__gi|0|gb|GFVL01001000.1|.p1,ABCC,768,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01001000.1|.p1,__ABCC__gi|0|gb|GFVL01001000.1|.p1
__ABCC__gi|0|gb|GFVL01005801.1|.p1,ABCC,1537,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01005801.1|.p1,__ABCC__gi|0|gb|GFVL01005801.1|.p1
__ABCC__gi|0|gb|GFVL01006491.1|.p1,ABCC,1409,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01006491.1|.p1,__ABCC__gi|0|gb|GFVL01006491.1|.p1
__ABCC__gi|0|gb|GFVL01009780.1|.p1,ABCC,435,1,Present,Present,Present,__ABCC__gi|0|gb|GFVL01009780.1|.p1,__ABCC__gi|0|gb|GFVL01009780.1|.p1
__ABCC__gi|0|gb|GFVL01010280.1|.p1,ABCC,344,1,Absent,Present,Absent,__ABCC__gi|0|gb|GFVL01010280.1|.p1,__ABCC__gi|0|gb|GFVL01010280.1|.p1
__ABCC__gi|0|gb|GFVL01019877.1|.p1,ABCC,367,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01019877.1|.p1,__ABCC__gi|0|gb|GFVL01019877.1|.p1
__ABCC__gi|0|gb|GFVL01020763.1|.p1,ABCC,414,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01020763.1|.p1,__ABCC__gi|0|gb|GFVL01020763.1|.p1
__ABCC__gi|0|gb|GFVL01023394.1|.p1,ABCC,806,3,Present,Present,Present,__ABCC__gi|0|gb|GFVL01023394.1|.p1,__ABCC__gi|0|gb|GFVL01023394.1|.p1
__ABCC__gi|0|gb|GFVL01023637.1|.p1,ABCC,926,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01023637.1|.p1,__ABCC__gi|0|gb|GFVL01023637.1|.p1
__ABCC__gi|0|gb|GFVL01023638.1|.p1,ABCC,1205,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01023638.1|.p1,__ABCC__gi|0|gb|GFVL01023638.1|.p1
__ABCC__gi|0|gb|GFVL01033199.1|.p1,ABCC,269,1,Present,Present,Present,__ABCC__gi|0|gb|GFVL01033199.1|.p1,__ABCC__gi|0|gb|GFVL01033199.1|.p1
__ABCC__gi|0|gb|GFVL01034092.1|.p1,ABCC,459,1,Present,Present,Present,__ABCC__gi|0|gb|GFVL01034092.1|.p1,__ABCC__gi|0|gb|GFVL01034092.1|.p1
__ABCC__gi|0|gb|GFVL01038803.1|.p1,ABCC,888,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01038803.1|.p1,__ABCC__gi|0|gb|GFVL01038803.1|.p1
__ABCC__gi|0|gb|GFVL01041767.1|.p1,ABCC,899,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01041767.1|.p1,__ABCC__gi|0|gb|GFVL01041767.1|.p1
