name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_5426_length_3076_cov_5.398414_g3092_i0.p1,ABCA,915,1,Present,Present,Present,__ABCA__NODE_5426_length_3076_cov_5.398414_g3092_i0.p1,__ABCA__NODE_5426_length_3076_cov_5.398414_g3092_i0.p1
__ABCBH__NODE_12411_length_2020_cov_4.581938_g7100_i0.p1,ABCBH,601,1,Present,Present,Present,__ABCBH__NODE_12411_length_2020_cov_4.581938_g7100_i0.p1,__ABCBH__NODE_12411_length_2020_cov_4.581938_g7100_i0.p1
__ABCBH__NODE_6230_length_2913_cov_8.749302_g3550_i0.p1,ABCBH,732,1,Present,Present,Present,__ABCBH__NODE_6230_length_2913_cov_8.749302_g3550_i0.p1,__ABCBH__NODE_6230_length_2913_cov_8.749302_g3550_i0.p1
__ABCBH__NODE_9285_length_2398_cov_5.485313_g5281_i0.p1,ABCBH,721,1,Present,Present,Present,__ABCBH__NODE_9285_length_2398_cov_5.485313_g5281_i0.p1,__ABCBH__NODE_9285_length_2398_cov_5.485313_g5281_i0.p1
__ABCC__NODE_15372_length_1742_cov_4.840520_g8843_i0.p1,ABCC,510,1,Present,Present,Absent,__ABCC__NODE_15372_length_1742_cov_4.840520_g8843_i0.p1,__ABCC__NODE_15372_length_1742_cov_4.840520_g8843_i0.p1
__ABCC__NODE_2051_length_4276_cov_20.063639_g1183_i0.p1,ABCC,1383,2,Present,Present,Present,__ABCC__NODE_2051_length_4276_cov_20.063639_g1183_i0.p1,__ABCC__NODE_2051_length_4276_cov_20.063639_g1183_i0.p1
__ABCC__NODE_31351_length_909_cov_2.290698_g19305_i0.p1,ABCC,278,1,Present,Present,Absent,__ABCC__NODE_31351_length_909_cov_2.290698_g19305_i0.p1,__ABCC__NODE_31351_length_909_cov_2.290698_g19305_i0.p1
__ABCE__NODE_7395_length_2698_cov_62.101170_g4187_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_7395_length_2698_cov_62.101170_g4187_i0.p1,__ABCE__NODE_7395_length_2698_cov_62.101170_g4187_i0.p1
__ABCF__NODE_2714_length_3930_cov_182.228292_g1560_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2714_length_3930_cov_182.228292_g1560_i0.p1,__ABCF__NODE_2714_length_3930_cov_182.228292_g1560_i0.p1
__ABCF__NODE_4635_length_3263_cov_46.114499_g2642_i0.p1,ABCF,973,2,Present,Present,Present,__ABCF__NODE_4635_length_3263_cov_46.114499_g2642_i0.p1,__ABCF__NODE_4635_length_3263_cov_46.114499_g2642_i0.p1
__ABCF__NODE_9782_length_2328_cov_28.173760_g5581_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_9782_length_2328_cov_28.173760_g5581_i0.p1,__ABCF__NODE_9782_length_2328_cov_28.173760_g5581_i0.p1
__ABCG__NODE_11237_length_2149_cov_15.531905_g6420_i0.p1,ABCG,634,1,Present,Present,Present,__ABCG__NODE_11237_length_2149_cov_15.531905_g6420_i0.p1,__ABCG__NODE_11237_length_2149_cov_15.531905_g6420_i0.p1
__ABCG__NODE_28710_length_1001_cov_2.286765_g17376_i0.p1,ABCG,333,1,Present,Absent,Absent,__ABCG__NODE_28710_length_1001_cov_2.286765_g17376_i0.p1,__ABCG__NODE_28710_length_1001_cov_2.286765_g17376_i0.p1
__ABCG__NODE_2881_length_3865_cov_15.047432_g1652_i0.p1,ABCG,671,1,Present,Present,Present,__ABCG__NODE_2881_length_3865_cov_15.047432_g1652_i0.p1,__ABCG__NODE_2881_length_3865_cov_15.047432_g1652_i0.p1
__ABCG__NODE_5173_length_3139_cov_22.256958_g2941_i0.p1,ABCG,705,1,Present,Present,Present,__ABCG__NODE_5173_length_3139_cov_22.256958_g2941_i0.p1,__ABCG__NODE_5173_length_3139_cov_22.256958_g2941_i0.p1
__ABCG__NODE_7866_length_2611_cov_25.366901_g4470_i0.p1,ABCG,664,1,Present,Present,Absent,__ABCG__NODE_7866_length_2611_cov_25.366901_g4470_i0.p1,__ABCG__NODE_7866_length_2611_cov_25.366901_g4470_i0.p1
__ABCG__NODE_8956_length_2443_cov_4.022974_g5085_i0.p1,ABCG,657,1,Present,Present,Present,__ABCG__NODE_8956_length_2443_cov_4.022974_g5085_i0.p1,__ABCG__NODE_8956_length_2443_cov_4.022974_g5085_i0.p1
__ABCH__NODE_5642_length_3027_cov_7.473472_g3221_i0.p1,ABCH,745,1,Present,Present,Present,__ABCH__NODE_5642_length_3027_cov_7.473472_g3221_i0.p1,__ABCH__NODE_5642_length_3027_cov_7.473472_g3221_i0.p1
