name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1835_length_4933_cov_5.688984_g1271_i0.p1,ABCA,526,1,Present,Present,Present,__ABCA__NODE_1835_length_4933_cov_5.688984_g1271_i0.p1,__ABCA__NODE_1835_length_4933_cov_5.688984_g1271_i0.p1
__ABCA__NODE_21747_length_933_cov_3.449095_g16071_i0.p1,ABCA,311,3,Present,Absent,Present,__ABCA__NODE_21747_length_933_cov_3.449095_g16071_i0.p1,__ABCA__NODE_21747_length_933_cov_3.449095_g16071_i0.p1
__ABCA__NODE_7273_length_2554_cov_7.626747_g2742_i1.p1,ABCA,729,1,Present,Present,Present,__ABCA__NODE_7273_length_2554_cov_7.626747_g2742_i1.p1,__ABCA__NODE_7273_length_2554_cov_7.626747_g2742_i1.p1
__ABCBF__NODE_3555_length_3773_cov_10.852309_g2466_i0.p1,ABCBF,465,1,Present,Present,Present,__ABCBF__NODE_3555_length_3773_cov_10.852309_g2466_i0.p1,__ABCBF__NODE_3555_length_3773_cov_10.852309_g2466_i0.p1
__ABCBF__NODE_5246_length_3116_cov_4.114770_g3602_i0.p1,ABCBF,938,1,Present,Present,Present,__ABCBF__NODE_5246_length_3116_cov_4.114770_g3602_i0.p1,__ABCBF__NODE_5246_length_3116_cov_4.114770_g3602_i0.p1
__ABCBH__NODE_12040_length_1737_cov_4.014218_g8452_i0.p1,ABCBH,343,1,Present,Present,Present,__ABCBH__NODE_12040_length_1737_cov_4.014218_g8452_i0.p1,__ABCBH__NODE_12040_length_1737_cov_4.014218_g8452_i0.p1
__ABCBH__NODE_18416_length_1135_cov_2.679558_g13297_i0.p1,ABCBH,378,1,Present,Present,Present,__ABCBH__NODE_18416_length_1135_cov_2.679558_g13297_i0.p1,__ABCBH__NODE_18416_length_1135_cov_2.679558_g13297_i0.p1
__ABCBH__NODE_9595_length_2101_cov_7.369883_g6680_i0.p1,ABCBH,543,1,Present,Present,Present,__ABCBH__NODE_9595_length_2101_cov_7.369883_g6680_i0.p1,__ABCBH__NODE_9595_length_2101_cov_7.369883_g6680_i0.p1
__ABCC__NODE_12770_length_1646_cov_2.412023_g9001_i0.p1,ABCC,311,1,Present,Present,Absent,__ABCC__NODE_12770_length_1646_cov_2.412023_g9001_i0.p1,__ABCC__NODE_12770_length_1646_cov_2.412023_g9001_i0.p1
__ABCC__NODE_4231_length_3477_cov_4.341890_g2911_i0.p1,ABCC,778,1,Present,Present,Absent,__ABCC__NODE_4231_length_3477_cov_4.341890_g2911_i0.p1,__ABCC__NODE_4231_length_3477_cov_4.341890_g2911_i0.p1
__ABCC__NODE_4877_length_3241_cov_7.577381_g3356_i0.p1,ABCC,1027,2,Present,Present,Present,__ABCC__NODE_4877_length_3241_cov_7.577381_g3356_i0.p1,__ABCC__NODE_4877_length_3241_cov_7.577381_g3356_i0.p1
__ABCD__NODE_20953_length_976_cov_3.723840_g15395_i0.p1,ABCD,325,2,Absent,Present,Absent,__ABCD__NODE_20953_length_976_cov_3.723840_g15395_i0.p1,__ABCD__NODE_20953_length_976_cov_3.723840_g15395_i0.p1
__ABCD__NODE_5611_length_3003_cov_22.231212_g3859_i0.p1,ABCD,656,1,Present,Present,Present,__ABCD__NODE_5611_length_3003_cov_22.231212_g3859_i0.p1,__ABCD__NODE_5611_length_3003_cov_22.231212_g3859_i0.p1
__ABCE__NODE_6453_length_2758_cov_93.524548_g4466_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_6453_length_2758_cov_93.524548_g4466_i0.p1,__ABCE__NODE_6453_length_2758_cov_93.524548_g4466_i0.p1
__ABCF__NODE_2633_length_4307_cov_39.062705_g1814_i0.p1,ABCF,980,2,Present,Present,Present,__ABCF__NODE_2633_length_4307_cov_39.062705_g1814_i0.p1,__ABCF__NODE_2633_length_4307_cov_39.062705_g1814_i0.p1
__ABCF__NODE_3285_length_3901_cov_199.363707_g2275_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_3285_length_3901_cov_199.363707_g2275_i0.p1,__ABCF__NODE_3285_length_3901_cov_199.363707_g2275_i0.p1
__ABCF__NODE_8230_length_2345_cov_18.590592_g5704_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_8230_length_2345_cov_18.590592_g5704_i0.p1,__ABCF__NODE_8230_length_2345_cov_18.590592_g5704_i0.p1
__ABCG__NODE_17924_length_1169_cov_4.293750_g12905_i0.p1,ABCG,325,1,Present,Present,Present,__ABCG__NODE_17924_length_1169_cov_4.293750_g12905_i0.p1,__ABCG__NODE_17924_length_1169_cov_4.293750_g12905_i0.p1
__ABCG__NODE_2037_length_4756_cov_6.184194_g1405_i0.p1,ABCG,622,1,Present,Absent,Absent,__ABCG__NODE_2037_length_4756_cov_6.184194_g1405_i0.p1,__ABCG__NODE_2037_length_4756_cov_6.184194_g1405_i0.p1
__ABCG__NODE_23394_length_854_cov_1.730435_g17502_i0.p1,ABCG,284,1,Present,Absent,Absent,__ABCG__NODE_23394_length_854_cov_1.730435_g17502_i0.p1,__ABCG__NODE_23394_length_854_cov_1.730435_g17502_i0.p1
__ABCG__NODE_244_length_8107_cov_29.479896_g160_i0.p1,ABCG,661,1,Present,Present,Present,__ABCG__NODE_244_length_8107_cov_29.479896_g160_i0.p1,__ABCG__NODE_244_length_8107_cov_29.479896_g160_i0.p1
__ABCG__NODE_8279_length_2336_cov_6.863139_g5739_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_8279_length_2336_cov_6.863139_g5739_i0.p1,__ABCG__NODE_8279_length_2336_cov_6.863139_g5739_i0.p1
