name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_7080_length_1518_cov_2.690946_g5340_i0.p1,ABCA,506,1,Present,Present,Present,__ABCA__NODE_7080_length_1518_cov_2.690946_g5340_i0.p1,__ABCA__NODE_7080_length_1518_cov_2.690946_g5340_i0.p1
__ABCBH__NODE_7871_length_1398_cov_2.710156_g5974_i0.p1,ABCBH,389,1,Present,Present,Present,__ABCBH__NODE_7871_length_1398_cov_2.710156_g5974_i0.p1,__ABCBH__NODE_7871_length_1398_cov_2.710156_g5974_i0.p1
__ABCC__NODE_2888_length_2582_cov_4.504540_g2128_i0.p1,ABCC,347,1,Present,Present,Absent,__ABCC__NODE_2888_length_2582_cov_4.504540_g2128_i0.p1,__ABCC__NODE_2888_length_2582_cov_4.504540_g2128_i0.p1
__ABCC__NODE_2946_length_2556_cov_5.018748_g2170_i0.p1,ABCC,512,1,Present,Present,Absent,__ABCC__NODE_2946_length_2556_cov_5.018748_g2170_i0.p1,__ABCC__NODE_2946_length_2556_cov_5.018748_g2170_i0.p1
__ABCD__NODE_10161_length_1120_cov_3.252101_g7840_i0.p1,ABCD,373,1,Absent,Present,Absent,__ABCD__NODE_10161_length_1120_cov_3.252101_g7840_i0.p1,__ABCD__NODE_10161_length_1120_cov_3.252101_g7840_i0.p1
__ABCE__NODE_2102_length_2968_cov_12.070915_g1545_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_2102_length_2968_cov_12.070915_g1545_i0.p1,__ABCE__NODE_2102_length_2968_cov_12.070915_g1545_i0.p1
__ABCF__NODE_12255_length_926_cov_1.979475_g9636_i0.p1,ABCF,308,2,Absent,Present,Absent,__ABCF__NODE_12255_length_926_cov_1.979475_g9636_i0.p1,__ABCF__NODE_12255_length_926_cov_1.979475_g9636_i0.p1
__ABCF__NODE_1671_length_3243_cov_9.943331_g1230_i0.p1,ABCF,993,2,Present,Present,Present,__ABCF__NODE_1671_length_3243_cov_9.943331_g1230_i0.p1,__ABCF__NODE_1671_length_3243_cov_9.943331_g1230_i0.p1
__ABCF__NODE_8421_length_1322_cov_5.364493_g6408_i0.p1,ABCF,429,3,Present,Present,Present,__ABCF__NODE_8421_length_1322_cov_5.364493_g6408_i0.p1,__ABCF__NODE_8421_length_1322_cov_5.364493_g6408_i0.p1
__ABCF__NODE_912_length_4003_cov_61.550582_g644_i0.p1,ABCF,634,2,Present,Present,Present,__ABCF__NODE_912_length_4003_cov_61.550582_g644_i0.p1,__ABCF__NODE_912_length_4003_cov_61.550582_g644_i0.p1
__ABCG__NODE_1768_length_3183_cov_7.364391_g1303_i0.p1,ABCG,593,1,Present,Present,Present,__ABCG__NODE_1768_length_3183_cov_7.364391_g1303_i0.p1,__ABCG__NODE_1768_length_3183_cov_7.364391_g1303_i0.p1
__ABCG__NODE_3380_length_2390_cov_4.325502_g2493_i0.p1,ABCG,664,1,Present,Present,Present,__ABCG__NODE_3380_length_2390_cov_4.325502_g2493_i0.p1,__ABCG__NODE_3380_length_2390_cov_4.325502_g2493_i0.p1
__ABCG__NODE_5205_length_1890_cov_3.950027_g3907_i0.p1,ABCG,526,1,Present,Absent,Present,__ABCG__NODE_5205_length_1890_cov_3.950027_g3907_i0.p1,__ABCG__NODE_5205_length_1890_cov_3.950027_g3907_i0.p1
