name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__GFNP01000903.1.p1,ABCA,756,1,Present,Present,Present,__ABCA__GFNP01000903.1.p1,__ABCA__GFNP01000903.1.p1
__ABCA__GFNP01003769.1.p1,ABCA,393,1,Present,Present,Present,__ABCA__GFNP01003769.1.p1,__ABCA__GFNP01003769.1.p1
__ABCA__GFNP01004573.1.p1,ABCA,277,1,Present,Present,Present,__ABCA__GFNP01004573.1.p1,__ABCA__GFNP01004573.1.p1
__ABCA__GFNP01009450.1.p2,ABCA,327,1,Absent,Present,Present,__ABCA__GFNP01009450.1.p2,__ABCA__GFNP01009450.1.p2
__ABCA__GFNP01013697.1.p2,ABCA,268,1,Present,Present,Present,__ABCA__GFNP01013697.1.p2,__ABCA__GFNP01013697.1.p2
__ABCBH__GFNP01001768.1.p1,ABCBH,484,1,Present,Present,Present,__ABCBAMG__GFNP01001768.1.p1,__ABCBAMG__GFNP01001768.1.p1
__ABCBF__GFNP01001841.1.p1,ABCBF,566,3,Present,Present,Present,__ABCBAMG__GFNP01001841.1.p1,__ABCBAMG__GFNP01001841.1.p1
__ABCBH__GFNP01003371.1.p1,ABCBH,277,1,Present,Present,Present,__ABCBAMG__GFNP01003371.1.p1,__ABCBAMG__GFNP01003371.1.p1
__ABCBH__GFNP01004000.1.p1,ABCBH,414,1,Absent,Present,Absent,__ABCBAMG__GFNP01004000.1.p1,__ABCBAMG__GFNP01004000.1.p1
__ABCBH__GFNP01004327.1.p1,ABCBH,261,1,Present,Present,Present,__ABCBAMG__GFNP01004327.1.p1,__ABCBAMG__GFNP01004327.1.p1
__ABCBH__GFNP01004546.1.p1,ABCBH,554,1,Present,Present,Present,__ABCBAMG__GFNP01004546.1.p1,__ABCBAMG__GFNP01004546.1.p1
__ABCBH__GFNP01005728.1.p1,ABCBH,258,1,Present,Present,Present,__ABCBAMG__GFNP01005728.1.p1,__ABCBAMG__GFNP01005728.1.p1
__ABCBH__GFNP01006881.1.p1,ABCBH,303,1,Present,Present,Present,__ABCBAMG__GFNP01006881.1.p1,__ABCBAMG__GFNP01006881.1.p1
__ABCBH__GFNP01011508.1.p1,ABCBH,335,1,Present,Present,Present,__ABCBAMG__GFNP01011508.1.p1,__ABCBAMG__GFNP01011508.1.p1
__ABCBF__GFNP01000317.1.p1,ABCBF,1267,2,Present,Present,Present,__ABCBF__GFNP01000317.1.p1,__ABCBF__GFNP01000317.1.p1
__ABCBF__GFNP01001527.1.p1,ABCBF,718,1,Present,Present,Present,__ABCBF__GFNP01001527.1.p1,__ABCBF__GFNP01001527.1.p1
__ABCBF__GFNP01001535.1.p1,ABCBF,744,1,Present,Present,Present,__ABCBF__GFNP01001535.1.p1,__ABCBF__GFNP01001535.1.p1
__ABCBF__GFNP01001927.1.p2,ABCBF,277,1,Present,Present,Present,__ABCBF__GFNP01001927.1.p2,__ABCBF__GFNP01001927.1.p2
__ABCBF__GFNP01003449.1.p1,ABCBF,555,2,Present,Present,Present,__ABCBF__GFNP01003449.1.p1,__ABCBF__GFNP01003449.1.p1
