name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCBF__NODE_15334_length_1263_cov_1.573311_g11095_i0.p1,ABCBF,420,1,Present,Present,Present,__ABCBF__NODE_15334_length_1263_cov_1.573311_g11095_i0.p1,__ABCBF__NODE_15334_length_1263_cov_1.573311_g11095_i0.p1
__ABCBF__NODE_20910_length_907_cov_2.574592_g15731_i0.p2,ABCBF,284,1,Absent,Present,Absent,__ABCBF__NODE_20910_length_907_cov_2.574592_g15731_i0.p2,__ABCBF__NODE_20910_length_907_cov_2.574592_g15731_i0.p2
__ABCBF__NODE_4522_length_3181_cov_3.829821_g3128_i0.p1,ABCBF,346,1,Present,Present,Present,__ABCBF__NODE_4522_length_3181_cov_3.829821_g3128_i0.p1,__ABCBF__NODE_4522_length_3181_cov_3.829821_g3128_i0.p1
__ABCC__NODE_11636_length_1639_cov_3.063522_g8218_i0.p1,ABCC,546,1,Absent,Present,Absent,__ABCC__NODE_11636_length_1639_cov_3.063522_g8218_i0.p1,__ABCC__NODE_11636_length_1639_cov_3.063522_g8218_i0.p1
__ABCC__NODE_1994_length_4621_cov_7.540682_g835_i1.p1,ABCC,1309,2,Present,Present,Present,__ABCC__NODE_1994_length_4621_cov_7.540682_g835_i1.p1,__ABCC__NODE_1994_length_4621_cov_7.540682_g835_i1.p1
__ABCE__NODE_5863_length_2738_cov_31.642990_g4077_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5863_length_2738_cov_31.642990_g4077_i0.p1,__ABCE__NODE_5863_length_2738_cov_31.642990_g4077_i0.p1
__ABCF__NODE_3069_length_3896_cov_148.503249_g2115_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_3069_length_3896_cov_148.503249_g2115_i0.p1,__ABCF__NODE_3069_length_3896_cov_148.503249_g2115_i0.p1
__ABCF__NODE_4183_length_3320_cov_19.848059_g2895_i0.p1,ABCF,981,2,Present,Present,Present,__ABCF__NODE_4183_length_3320_cov_19.848059_g2895_i0.p1,__ABCF__NODE_4183_length_3320_cov_19.848059_g2895_i0.p1
__ABCF__NODE_7445_length_2343_cov_12.668701_g5172_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_7445_length_2343_cov_12.668701_g5172_i0.p1,__ABCF__NODE_7445_length_2343_cov_12.668701_g5172_i0.p1
__ABCG__NODE_22364_length_840_cov_2.577750_g17000_i0.p1,ABCG,279,1,Present,Present,Present,__ABCG__NODE_22364_length_840_cov_2.577750_g17000_i0.p1,__ABCG__NODE_22364_length_840_cov_2.577750_g17000_i0.p1
__ABCG__NODE_4365_length_3241_cov_7.223684_g3018_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_4365_length_3241_cov_7.223684_g3018_i0.p1,__ABCG__NODE_4365_length_3241_cov_7.223684_g3018_i0.p1
