name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_5974_length_2528_cov_5.387656_g4120_i0.p1,ABCA,621,1,Present,Present,Present,__ABCA__NODE_5974_length_2528_cov_5.387656_g4120_i0.p1,__ABCA__NODE_5974_length_2528_cov_5.387656_g4120_i0.p1
__ABCBF__NODE_14899_length_1184_cov_5.117181_g10833_i0.p1,ABCBF,371,1,Present,Present,Present,__ABCBF__NODE_14899_length_1184_cov_5.117181_g10833_i0.p1,__ABCBF__NODE_14899_length_1184_cov_5.117181_g10833_i0.p1
__ABCBF__NODE_1784_length_4544_cov_11.727920_g1186_i0.p1,ABCBF,694,1,Present,Present,Present,__ABCBF__NODE_1784_length_4544_cov_11.727920_g1186_i0.p1,__ABCBF__NODE_1784_length_4544_cov_11.727920_g1186_i0.p1
__ABCBH__NODE_1344_length_4973_cov_162.399269_g885_i0.p1,ABCBH,684,1,Present,Present,Present,__ABCBH__NODE_1344_length_4973_cov_162.399269_g885_i0.p1,__ABCBH__NODE_1344_length_4973_cov_162.399269_g885_i0.p1
__ABCBH__NODE_4506_length_3004_cov_28.938748_g649_i1.p1,ABCBH,548,1,Present,Present,Present,__ABCBH__NODE_4506_length_3004_cov_28.938748_g649_i1.p1,__ABCBH__NODE_4506_length_3004_cov_28.938748_g649_i1.p1
__ABCC__NODE_20116_length_847_cov_3.040100_g15256_i0.p1,ABCC,282,2,Present,Present,Present,__ABCC__NODE_20116_length_847_cov_3.040100_g15256_i0.p1,__ABCC__NODE_20116_length_847_cov_3.040100_g15256_i0.p1
__ABCC__NODE_77_length_9693_cov_19.487039_g48_i0.p1,ABCC,981,1,Present,Present,Absent,__ABCC__NODE_77_length_9693_cov_19.487039_g48_i0.p1,__ABCC__NODE_77_length_9693_cov_19.487039_g48_i0.p1
__ABCC__NODE_8864_length_1917_cov_5.699143_g6190_i0.p1,ABCC,542,1,Present,Present,Absent,__ABCC__NODE_8864_length_1917_cov_5.699143_g6190_i0.p1,__ABCC__NODE_8864_length_1917_cov_5.699143_g6190_i0.p1
__ABCE__NODE_5161_length_2781_cov_162.512811_g3541_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5161_length_2781_cov_162.512811_g3541_i0.p1,__ABCE__NODE_5161_length_2781_cov_162.512811_g3541_i0.p1
__ABCF__NODE_2674_length_3885_cov_311.152763_g1798_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2674_length_3885_cov_311.152763_g1798_i0.p1,__ABCF__NODE_2674_length_3885_cov_311.152763_g1798_i0.p1
__ABCF__NODE_3712_length_3330_cov_24.371838_g2518_i0.p1,ABCF,982,2,Present,Present,Present,__ABCF__NODE_3712_length_3330_cov_24.371838_g2518_i0.p1,__ABCF__NODE_3712_length_3330_cov_24.371838_g2518_i0.p1
__ABCF__NODE_6785_length_2337_cov_19.872378_g4699_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_6785_length_2337_cov_19.872378_g4699_i0.p1,__ABCF__NODE_6785_length_2337_cov_19.872378_g4699_i0.p1
__ABCG__NODE_2899_length_3751_cov_18.174500_g1959_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_2899_length_3751_cov_18.174500_g1959_i0.p1,__ABCG__NODE_2899_length_3751_cov_18.174500_g1959_i0.p1
__ABCG__NODE_6451_length_2410_cov_11.795426_g4454_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_6451_length_2410_cov_11.795426_g4454_i0.p1,__ABCG__NODE_6451_length_2410_cov_11.795426_g4454_i0.p1
__ABCG__NODE_6761_length_2342_cov_4.711295_g4682_i0.p1,ABCG,724,1,Present,Absent,Absent,__ABCG__NODE_6761_length_2342_cov_4.711295_g4682_i0.p1,__ABCG__NODE_6761_length_2342_cov_4.711295_g4682_i0.p1
