name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_712_length_5406_cov_5.149897_g463_i0.p1,ABCA,1472,2,Present,Present,Present,__ABCA__NODE_712_length_5406_cov_5.149897_g463_i0.p1,__ABCA__NODE_712_length_5406_cov_5.149897_g463_i0.p1
__ABCBF__NODE_356_length_6665_cov_14.621524_g213_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_356_length_6665_cov_14.621524_g213_i0.p1,__ABCBF__NODE_356_length_6665_cov_14.621524_g213_i0.p1
__ABCBH__NODE_6080_length_1920_cov_3.026724_g4419_i0.p1,ABCBH,272,1,Present,Present,Present,__ABCBH__NODE_6080_length_1920_cov_3.026724_g4419_i0.p1,__ABCBH__NODE_6080_length_1920_cov_3.026724_g4419_i0.p1
__ABCBH__NODE_9485_length_1381_cov_2.917417_g7111_i0.p1,ABCBH,304,1,Present,Absent,Present,__ABCBH__NODE_9485_length_1381_cov_2.917417_g7111_i0.p1,__ABCBH__NODE_9485_length_1381_cov_2.917417_g7111_i0.p1
__ABCC__NODE_10713_length_1233_cov_1.896959_g8124_i0.p1,ABCC,410,1,Present,Present,Present,__ABCC__NODE_10713_length_1233_cov_1.896959_g8124_i0.p1,__ABCC__NODE_10713_length_1233_cov_1.896959_g8124_i0.p1
__ABCC__NODE_8441_length_1512_cov_3.144908_g6258_i0.p1,ABCC,376,2,Present,Absent,Absent,__ABCC__NODE_8441_length_1512_cov_3.144908_g6258_i0.p1,__ABCC__NODE_8441_length_1512_cov_3.144908_g6258_i0.p1
__ABCD__NODE_4512_length_2333_cov_4.706217_g3225_i0.p1,ABCD,295,1,Present,Present,Present,__ABCD__NODE_4512_length_2333_cov_4.706217_g3225_i0.p1,__ABCD__NODE_4512_length_2333_cov_4.706217_g3225_i0.p1
__ABCE__NODE_3249_length_2801_cov_20.742733_g2287_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_3249_length_2801_cov_20.742733_g2287_i0.p1,__ABCE__NODE_3249_length_2801_cov_20.742733_g2287_i0.p1
__ABCF__NODE_1707_length_3894_cov_67.059558_g1157_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_1707_length_3894_cov_67.059558_g1157_i0.p1,__ABCF__NODE_1707_length_3894_cov_67.059558_g1157_i0.p1
__ABCF__NODE_2462_length_3263_cov_10.196329_g1701_i0.p1,ABCF,982,3,Present,Present,Present,__ABCF__NODE_2462_length_3263_cov_10.196329_g1701_i0.p1,__ABCF__NODE_2462_length_3263_cov_10.196329_g1701_i0.p1
__ABCF__NODE_4637_length_2294_cov_7.881960_g3322_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_4637_length_2294_cov_7.881960_g3322_i0.p1,__ABCF__NODE_4637_length_2294_cov_7.881960_g3322_i0.p1
__ABCG__NODE_11013_length_1203_cov_2.331023_g8367_i0.p1,ABCG,401,1,Present,Present,Present,__ABCG__NODE_11013_length_1203_cov_2.331023_g8367_i0.p1,__ABCG__NODE_11013_length_1203_cov_2.331023_g8367_i0.p1
__ABCG__NODE_14088_length_947_cov_6.751670_g10971_i0.p1,ABCG,268,1,Absent,Present,Absent,__ABCG__NODE_14088_length_947_cov_6.751670_g10971_i0.p1,__ABCG__NODE_14088_length_947_cov_6.751670_g10971_i0.p1
__ABCG__NODE_5197_length_2137_cov_8.419540_g3753_i0.p1,ABCG,665,1,Present,Present,Present,__ABCG__NODE_5197_length_2137_cov_8.419540_g3753_i0.p1,__ABCG__NODE_5197_length_2137_cov_8.419540_g3753_i0.p1
