name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_24744_length_839_cov_2.181013_g18416_i0.p2,ABCA,269,2,Present,Absent,Present,__ABCA__NODE_24744_length_839_cov_2.181013_g18416_i0.p2,__ABCA__NODE_24744_length_839_cov_2.181013_g18416_i0.p2
__ABCA__NODE_25817_length_795_cov_2.752011_g19361_i0.p1,ABCA,264,1,Absent,Present,Present,__ABCA__NODE_25817_length_795_cov_2.752011_g19361_i0.p1,__ABCA__NODE_25817_length_795_cov_2.752011_g19361_i0.p1
__ABCA__NODE_3949_length_3708_cov_6.549330_g2675_i0.p1,ABCA,692,1,Present,Present,Present,__ABCA__NODE_3949_length_3708_cov_6.549330_g2675_i0.p1,__ABCA__NODE_3949_length_3708_cov_6.549330_g2675_i0.p1
__ABCBF__NODE_640_length_6766_cov_15.687063_g474_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_640_length_6766_cov_15.687063_g474_i0.p1,__ABCBF__NODE_640_length_6766_cov_15.687063_g474_i0.p1
__ABCBH__NODE_1722_length_5082_cov_28.821975_g1189_i0.p1,ABCBH,739,1,Present,Present,Present,__ABCBH__NODE_1722_length_5082_cov_28.821975_g1189_i0.p1,__ABCBH__NODE_1722_length_5082_cov_28.821975_g1189_i0.p1
__ABCBH__NODE_5320_length_3179_cov_6.636741_g3608_i0.p1,ABCBH,733,1,Present,Present,Present,__ABCBH__NODE_5320_length_3179_cov_6.636741_g3608_i0.p1,__ABCBH__NODE_5320_length_3179_cov_6.636741_g3608_i0.p1
__ABCC__NODE_10482_length_2050_cov_4.558221_g7191_i0.p1,ABCC,348,1,Present,Present,Absent,__ABCC__NODE_10482_length_2050_cov_4.558221_g7191_i0.p1,__ABCC__NODE_10482_length_2050_cov_4.558221_g7191_i0.p1
__ABCC__NODE_13912_length_1614_cov_2.538658_g9644_i0.p1,ABCC,337,1,Present,Present,Present,__ABCC__NODE_13912_length_1614_cov_2.538658_g9644_i0.p1,__ABCC__NODE_13912_length_1614_cov_2.538658_g9644_i0.p1
__ABCC__NODE_197_length_8480_cov_9.939035_g141_i0.p1,ABCC,1255,2,Present,Present,Present,__ABCC__NODE_197_length_8480_cov_9.939035_g141_i0.p1,__ABCC__NODE_197_length_8480_cov_9.939035_g141_i0.p1
__ABCC__NODE_2211_length_4676_cov_5.851740_g1518_i0.p1,ABCC,1472,2,Present,Present,Present,__ABCC__NODE_2211_length_4676_cov_5.851740_g1518_i0.p1,__ABCC__NODE_2211_length_4676_cov_5.851740_g1518_i0.p1
__ABCD__NODE_13862_length_1621_cov_2.372774_g9606_i0.p1,ABCD,540,1,Absent,Present,Absent,__ABCD__NODE_13862_length_1621_cov_2.372774_g9606_i0.p1,__ABCD__NODE_13862_length_1621_cov_2.372774_g9606_i0.p1
__ABCD__NODE_8771_length_2322_cov_3.829300_g5990_i0.p1,ABCD,392,1,Present,Present,Present,__ABCD__NODE_8771_length_2322_cov_3.829300_g5990_i0.p1,__ABCD__NODE_8771_length_2322_cov_3.829300_g5990_i0.p1
__ABCE__NODE_6727_length_2774_cov_41.868257_g4547_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_6727_length_2774_cov_41.868257_g4547_i0.p1,__ABCE__NODE_6727_length_2774_cov_41.868257_g4547_i0.p1
__ABCF__NODE_3589_length_3879_cov_203.258225_g2435_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_3589_length_3879_cov_203.258225_g2435_i0.p1,__ABCF__NODE_3589_length_3879_cov_203.258225_g2435_i0.p1
__ABCF__NODE_8175_length_2435_cov_23.463537_g3398_i1.p1,ABCF,649,4,Present,Present,Present,__ABCF__NODE_8175_length_2435_cov_23.463537_g3398_i1.p1,__ABCF__NODE_8175_length_2435_cov_23.463537_g3398_i1.p1
__ABCF__NODE_8606_length_2350_cov_23.459800_g5880_i0.p1,ABCF,693,2,Present,Present,Present,__ABCF__NODE_8606_length_2350_cov_23.459800_g5880_i0.p1,__ABCF__NODE_8606_length_2350_cov_23.459800_g5880_i0.p1
__ABCG__NODE_21714_length_985_cov_3.533120_g15775_i0.p1,ABCG,281,1,Present,Present,Present,__ABCG__NODE_21714_length_985_cov_3.533120_g15775_i0.p1,__ABCG__NODE_21714_length_985_cov_3.533120_g15775_i0.p1
__ABCG__NODE_22886_length_924_cov_2.443429_g16785_i0.p1,ABCG,308,1,Present,Absent,Absent,__ABCG__NODE_22886_length_924_cov_2.443429_g16785_i0.p1,__ABCG__NODE_22886_length_924_cov_2.443429_g16785_i0.p1
__ABCG__NODE_5354_length_3167_cov_10.694676_g3634_i0.p1,ABCG,703,1,Present,Present,Present,__ABCG__NODE_5354_length_3167_cov_10.694676_g3634_i0.p1,__ABCG__NODE_5354_length_3167_cov_10.694676_g3634_i0.p1
__ABCG__NODE_8828_length_2313_cov_5.523852_g6034_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_8828_length_2313_cov_5.523852_g6034_i0.p1,__ABCG__NODE_8828_length_2313_cov_5.523852_g6034_i0.p1
__ABCG__NODE_9919_length_2135_cov_9.912272_g6791_i0.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_9919_length_2135_cov_9.912272_g6791_i0.p1,__ABCG__NODE_9919_length_2135_cov_9.912272_g6791_i0.p1
