name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_638_length_6436_cov_23.073744_g423_i0.p1,ABCA,1775,2,Present,Present,Present,__ABCA__NODE_638_length_6436_cov_23.073744_g423_i0.p1,__ABCA__NODE_638_length_6436_cov_23.073744_g423_i0.p1
__ABCBF__NODE_536_length_6730_cov_8.835803_g354_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_536_length_6730_cov_8.835803_g354_i0.p1,__ABCBF__NODE_536_length_6730_cov_8.835803_g354_i0.p1
__ABCBH__NODE_14744_length_1278_cov_2.686737_g9837_i0.p1,ABCBH,332,1,Present,Present,Present,__ABCBH__NODE_14744_length_1278_cov_2.686737_g9837_i0.p1,__ABCBH__NODE_14744_length_1278_cov_2.686737_g9837_i0.p1
__ABCBH__NODE_15309_length_1229_cov_2.677119_g10263_i0.p1,ABCBH,337,1,Present,Present,Present,__ABCBH__NODE_15309_length_1229_cov_2.677119_g10263_i0.p1,__ABCBH__NODE_15309_length_1229_cov_2.677119_g10263_i0.p1
__ABCC__NODE_1713_length_4696_cov_7.388853_g1064_i0.p1,ABCC,1337,2,Present,Present,Present,__ABCC__NODE_1713_length_4696_cov_7.388853_g1064_i0.p1,__ABCC__NODE_1713_length_4696_cov_7.388853_g1064_i0.p1
__ABCC__NODE_1965_length_4466_cov_8.591578_g1217_i0.p1,ABCC,1426,2,Present,Present,Present,__ABCC__NODE_1965_length_4466_cov_8.591578_g1217_i0.p1,__ABCC__NODE_1965_length_4466_cov_8.591578_g1217_i0.p1
__ABCC__NODE_2390_length_4134_cov_5.166218_g1475_i0.p1,ABCC,1044,2,Present,Present,Present,__ABCC__NODE_2390_length_4134_cov_5.166218_g1475_i0.p1,__ABCC__NODE_2390_length_4134_cov_5.166218_g1475_i0.p1
__ABCC__NODE_6178_length_2539_cov_4.966667_g1475_i1.p1,ABCC,524,1,Present,Present,Absent,__ABCC__NODE_6178_length_2539_cov_4.966667_g1475_i1.p1,__ABCC__NODE_6178_length_2539_cov_4.966667_g1475_i1.p1
__ABCC__NODE_768_length_6116_cov_16.741553_g506_i0.p1,ABCC,1466,2,Present,Present,Present,__ABCC__NODE_768_length_6116_cov_16.741553_g506_i0.p1,__ABCC__NODE_768_length_6116_cov_16.741553_g506_i0.p1
__ABCE__NODE_5230_length_2817_cov_54.433526_g3263_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5230_length_2817_cov_54.433526_g3263_i0.p1,__ABCE__NODE_5230_length_2817_cov_54.433526_g3263_i0.p1
__ABCF__NODE_14738_length_1278_cov_8.929211_g9834_i0.p1,ABCF,375,3,Present,Present,Present,__ABCF__NODE_14738_length_1278_cov_8.929211_g9834_i0.p1,__ABCF__NODE_14738_length_1278_cov_8.929211_g9834_i0.p1
__ABCF__NODE_17286_length_1075_cov_10.156920_g11825_i0.p1,ABCF,358,2,Absent,Present,Absent,__ABCF__NODE_17286_length_1075_cov_10.156920_g11825_i0.p1,__ABCF__NODE_17286_length_1075_cov_10.156920_g11825_i0.p1
__ABCF__NODE_2780_length_3900_cov_174.352376_g1713_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2780_length_3900_cov_174.352376_g1713_i0.p1,__ABCF__NODE_2780_length_3900_cov_174.352376_g1713_i0.p1
__ABCF__NODE_3887_length_3319_cov_15.345566_g2418_i0.p1,ABCF,982,3,Present,Present,Present,__ABCF__NODE_3887_length_3319_cov_15.345566_g2418_i0.p1,__ABCF__NODE_3887_length_3319_cov_15.345566_g2418_i0.p1
__ABCG__NODE_4422_length_3093_cov_26.173784_g2759_i0.p1,ABCG,706,1,Present,Present,Present,__ABCG__NODE_4422_length_3093_cov_26.173784_g2759_i0.p1,__ABCG__NODE_4422_length_3093_cov_26.173784_g2759_i0.p1
__ABCG__NODE_6904_length_2374_cov_5.557849_g4328_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_6904_length_2374_cov_5.557849_g4328_i0.p1,__ABCG__NODE_6904_length_2374_cov_5.557849_g4328_i0.p1
__ABCG__NODE_7775_length_2196_cov_29.200279_g4898_i0.p1,ABCG,663,1,Present,Present,Present,__ABCG__NODE_7775_length_2196_cov_29.200279_g4898_i0.p1,__ABCG__NODE_7775_length_2196_cov_29.200279_g4898_i0.p1
__ABCG__NODE_9594_length_1874_cov_5.584110_g6138_i0.p1,ABCG,579,1,Present,Present,Present,__ABCG__NODE_9594_length_1874_cov_5.584110_g6138_i0.p1,__ABCG__NODE_9594_length_1874_cov_5.584110_g6138_i0.p1
__ABCH__NODE_4087_length_3224_cov_6.936693_g2549_i0.p1,ABCH,747,1,Present,Present,Present,__ABCH__NODE_4087_length_3224_cov_6.936693_g2549_i0.p1,__ABCH__NODE_4087_length_3224_cov_6.936693_g2549_i0.p1
