name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_11427_length_2875_cov_3.908149_g8738_i0.p1,ABCA,927,1,Present,Present,Present,__ABCA__NODE_11427_length_2875_cov_3.908149_g8738_i0.p1,__ABCA__NODE_11427_length_2875_cov_3.908149_g8738_i0.p1
__ABCA__NODE_12394_length_2717_cov_3.036364_g9497_i0.p1,ABCA,905,1,Present,Present,Present,__ABCA__NODE_12394_length_2717_cov_3.036364_g9497_i0.p1,__ABCA__NODE_12394_length_2717_cov_3.036364_g9497_i0.p1
__ABCA__NODE_16185_length_2227_cov_1.682326_g12481_i0.p1,ABCA,570,1,Present,Present,Present,__ABCA__NODE_16185_length_2227_cov_1.682326_g12481_i0.p1,__ABCA__NODE_16185_length_2227_cov_1.682326_g12481_i0.p1
__ABCA__NODE_24020_length_1574_cov_1.613894_g19024_i0.p1,ABCA,524,1,Present,Present,Absent,__ABCA__NODE_24020_length_1574_cov_1.613894_g19024_i0.p1,__ABCA__NODE_24020_length_1574_cov_1.613894_g19024_i0.p1
__ABCA__NODE_28812_length_1303_cov_2.203915_g23172_i0.p1,ABCA,415,1,Present,Absent,Present,__ABCA__NODE_28812_length_1303_cov_2.203915_g23172_i0.p1,__ABCA__NODE_28812_length_1303_cov_2.203915_g23172_i0.p1
__ABCA__NODE_3202_length_5531_cov_7.781261_g2410_i0.p1,ABCA,750,1,Present,Present,Present,__ABCA__NODE_3202_length_5531_cov_7.781261_g2410_i0.p1,__ABCA__NODE_3202_length_5531_cov_7.781261_g2410_i0.p1
__ABCA__NODE_38140_length_943_cov_2.058891_g31657_i0.p1,ABCA,314,1,Absent,Present,Absent,__ABCA__NODE_38140_length_943_cov_2.058891_g31657_i0.p1,__ABCA__NODE_38140_length_943_cov_2.058891_g31657_i0.p1
__ABCA__NODE_4106_length_4993_cov_9.174736_g3075_i0.p1,ABCA,1625,2,Present,Present,Present,__ABCA__NODE_4106_length_4993_cov_9.174736_g3075_i0.p1,__ABCA__NODE_4106_length_4993_cov_9.174736_g3075_i0.p1
__ABCA__NODE_8544_length_3450_cov_42.293211_g6459_i0.p1,ABCA,729,1,Present,Present,Present,__ABCA__NODE_8544_length_3450_cov_42.293211_g6459_i0.p1,__ABCA__NODE_8544_length_3450_cov_42.293211_g6459_i0.p1
__ABCBF__NODE_13975_length_2494_cov_2.724452_g10755_i0.p1,ABCBF,831,1,Present,Present,Present,__ABCBF__NODE_13975_length_2494_cov_2.724452_g10755_i0.p1,__ABCBF__NODE_13975_length_2494_cov_2.724452_g10755_i0.p1
__ABCBF__NODE_1892_length_6624_cov_14.701084_g1433_i0.p1,ABCBF,1410,2,Present,Present,Present,__ABCBF__NODE_1892_length_6624_cov_14.701084_g1433_i0.p1,__ABCBF__NODE_1892_length_6624_cov_14.701084_g1433_i0.p1
__ABCBF__NODE_6729_length_3937_cov_3.116062_g5089_i0.p1,ABCBF,1286,2,Present,Present,Present,__ABCBF__NODE_6729_length_3937_cov_3.116062_g5089_i0.p1,__ABCBF__NODE_6729_length_3937_cov_3.116062_g5089_i0.p1
__ABCBH__NODE_14744_length_2399_cov_8.190353_g11335_i0.p1,ABCBH,753,2,Present,Present,Present,__ABCBH__NODE_14744_length_2399_cov_8.190353_g11335_i0.p1,__ABCBH__NODE_14744_length_2399_cov_8.190353_g11335_i0.p1
__ABCBH__NODE_15945_length_2256_cov_3.599816_g12287_i0.p1,ABCBH,363,1,Present,Present,Present,__ABCBH__NODE_15945_length_2256_cov_3.599816_g12287_i0.p1,__ABCBH__NODE_15945_length_2256_cov_3.599816_g12287_i0.p1
__ABCBH__NODE_17604_length_2082_cov_10.855362_g13647_i0.p1,ABCBH,662,1,Present,Present,Present,__ABCBH__NODE_17604_length_2082_cov_10.855362_g13647_i0.p1,__ABCBH__NODE_17604_length_2082_cov_10.855362_g13647_i0.p1
__ABCBH__NODE_21285_length_1765_cov_2.818720_g16721_i0.p1,ABCBH,359,1,Present,Present,Present,__ABCBH__NODE_21285_length_1765_cov_2.818720_g16721_i0.p1,__ABCBH__NODE_21285_length_1765_cov_2.818720_g16721_i0.p1
__ABCBH__NODE_30683_length_1212_cov_2.346256_g24812_i0.p1,ABCBH,393,1,Present,Present,Present,__ABCBH__NODE_30683_length_1212_cov_2.346256_g24812_i0.p1,__ABCBH__NODE_30683_length_1212_cov_2.346256_g24812_i0.p1
__ABCC__NODE_2020_length_6499_cov_15.580972_g1529_i0.p1,ABCC,1623,2,Present,Present,Present,__ABCC__NODE_2020_length_6499_cov_15.580972_g1529_i0.p1,__ABCC__NODE_2020_length_6499_cov_15.580972_g1529_i0.p1
__ABCC__NODE_2949_length_5708_cov_33.882792_g2221_i0.p1,ABCC,1535,2,Present,Present,Present,__ABCC__NODE_2949_length_5708_cov_33.882792_g2221_i0.p1,__ABCC__NODE_2949_length_5708_cov_33.882792_g2221_i0.p1
__ABCC__NODE_32040_length_1154_cov_2.779016_g26039_i0.p1,ABCC,377,1,Absent,Present,Absent,__ABCC__NODE_32040_length_1154_cov_2.779016_g26039_i0.p1,__ABCC__NODE_32040_length_1154_cov_2.779016_g26039_i0.p1
__ABCC__NODE_4145_length_4969_cov_11.946443_g3105_i0.p1,ABCC,1512,2,Present,Present,Present,__ABCC__NODE_4145_length_4969_cov_11.946443_g3105_i0.p1,__ABCC__NODE_4145_length_4969_cov_11.946443_g3105_i0.p1
__ABCC__NODE_4445_length_4816_cov_11.798059_g3331_i0.p1,ABCC,1558,2,Present,Present,Present,__ABCC__NODE_4445_length_4816_cov_11.798059_g3331_i0.p1,__ABCC__NODE_4445_length_4816_cov_11.798059_g3331_i0.p1
__ABCC__NODE_9087_length_3329_cov_2.678044_g6888_i0.p1,ABCC,578,1,Present,Present,Absent,__ABCC__NODE_9087_length_3329_cov_2.678044_g6888_i0.p1,__ABCC__NODE_9087_length_3329_cov_2.678044_g6888_i0.p1
