name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_14961_length_794_cov_1.895302_g12476_i0.p1,ABCA,264,1,Present,Absent,Present,__ABCA__NODE_14961_length_794_cov_1.895302_g12476_i0.p1,__ABCA__NODE_14961_length_794_cov_1.895302_g12476_i0.p1
__ABCBF__NODE_1397_length_3744_cov_7.699865_g1077_i0.p1,ABCBF,469,1,Present,Present,Present,__ABCBF__NODE_1397_length_3744_cov_7.699865_g1077_i0.p1,__ABCBF__NODE_1397_length_3744_cov_7.699865_g1077_i0.p1
__ABCBF__NODE_15191_length_781_cov_2.039617_g12694_i0.p1,ABCBF,259,1,Present,Present,Present,__ABCBF__NODE_15191_length_781_cov_2.039617_g12694_i0.p1,__ABCBF__NODE_15191_length_781_cov_2.039617_g12694_i0.p1
__ABCBF__NODE_7931_length_1482_cov_5.711793_g6312_i0.p1,ABCBF,493,1,Present,Present,Present,__ABCBF__NODE_7931_length_1482_cov_5.711793_g6312_i0.p1,__ABCBF__NODE_7931_length_1482_cov_5.711793_g6312_i0.p1
__ABCBH__NODE_4038_length_2361_cov_7.405709_g3183_i0.p1,ABCBH,570,1,Present,Present,Present,__ABCBH__NODE_4038_length_2361_cov_7.405709_g3183_i0.p1,__ABCBH__NODE_4038_length_2361_cov_7.405709_g3183_i0.p1
__ABCC__NODE_2560_length_2944_cov_5.493610_g2000_i0.p1,ABCC,567,1,Present,Present,Absent,__ABCC__NODE_2560_length_2944_cov_5.493610_g2000_i0.p1,__ABCC__NODE_2560_length_2944_cov_5.493610_g2000_i0.p1
__ABCC__NODE_5034_length_2067_cov_4.471259_g4002_i0.p1,ABCC,560,1,Present,Present,Absent,__ABCC__NODE_5034_length_2067_cov_4.471259_g4002_i0.p1,__ABCC__NODE_5034_length_2067_cov_4.471259_g4002_i0.p1
__ABCE__NODE_3023_length_2726_cov_34.753082_g2375_i0.p1,ABCE,435,2,Present,Present,Present,__ABCE__NODE_3023_length_2726_cov_34.753082_g2375_i0.p1,__ABCE__NODE_3023_length_2726_cov_34.753082_g2375_i0.p1
__ABCF__NODE_1218_length_3909_cov_54.918912_g932_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_1218_length_3909_cov_54.918912_g932_i0.p1,__ABCF__NODE_1218_length_3909_cov_54.918912_g932_i0.p1
__ABCF__NODE_2020_length_3247_cov_7.811757_g1573_i0.p1,ABCF,981,2,Present,Present,Present,__ABCF__NODE_2020_length_3247_cov_7.811757_g1573_i0.p1,__ABCF__NODE_2020_length_3247_cov_7.811757_g1573_i0.p1
__ABCF__NODE_4104_length_2340_cov_6.230904_g3236_i0.p1,ABCF,708,3,Present,Present,Present,__ABCF__NODE_4104_length_2340_cov_6.230904_g3236_i0.p1,__ABCF__NODE_4104_length_2340_cov_6.230904_g3236_i0.p1
__ABCG__NODE_1680_length_3482_cov_5.034081_g1306_i0.p1,ABCG,708,1,Present,Present,Present,__ABCG__NODE_1680_length_3482_cov_5.034081_g1306_i0.p1,__ABCG__NODE_1680_length_3482_cov_5.034081_g1306_i0.p1
__ABCG__NODE_3969_length_2382_cov_7.600514_g3129_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_3969_length_2382_cov_7.600514_g3129_i0.p1,__ABCG__NODE_3969_length_2382_cov_7.600514_g3129_i0.p1
__ABCG__NODE_4529_length_2205_cov_7.300557_g3587_i0.p1,ABCG,660,1,Present,Present,Present,__ABCG__NODE_4529_length_2205_cov_7.300557_g3587_i0.p1,__ABCG__NODE_4529_length_2205_cov_7.300557_g3587_i0.p1
