name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_10806_length_3020_cov_12.670404_g7657_i0.p1,ABCA,457,1,Present,Absent,Present,__ABCA__NODE_10806_length_3020_cov_12.670404_g7657_i0.p1,__ABCA__NODE_10806_length_3020_cov_12.670404_g7657_i0.p1
__ABCA__NODE_1375_length_7983_cov_14.581078_g1043_i0.p1,ABCA,1375,2,Present,Present,Present,__ABCA__NODE_1375_length_7983_cov_14.581078_g1043_i0.p1,__ABCA__NODE_1375_length_7983_cov_14.581078_g1043_i0.p1
__ABCA__NODE_15838_length_2057_cov_2.767677_g11144_i0.p1,ABCA,658,1,Present,Present,Present,__ABCA__NODE_15838_length_2057_cov_2.767677_g11144_i0.p1,__ABCA__NODE_15838_length_2057_cov_2.767677_g11144_i0.p1
__ABCA__NODE_1804_length_7447_cov_23.108684_g1371_i0.p1,ABCA,539,1,Present,Present,Present,__ABCA__NODE_1804_length_7447_cov_23.108684_g1371_i0.p1,__ABCA__NODE_1804_length_7447_cov_23.108684_g1371_i0.p1
__ABCA__NODE_5329_length_4905_cov_21.703811_g3871_i0.p1,ABCA,1634,2,Present,Present,Present,__ABCA__NODE_5329_length_4905_cov_21.703811_g3871_i0.p1,__ABCA__NODE_5329_length_4905_cov_21.703811_g3871_i0.p1
__ABCBH__NODE_17960_length_1775_cov_7.064193_g12715_i0.p1,ABCBH,529,1,Present,Present,Present,__ABCBAMG__NODE_17960_length_1775_cov_7.064193_g12715_i0.p1,__ABCBAMG__NODE_17960_length_1775_cov_7.064193_g12715_i0.p1
__ABCBF__NODE_11033_length_2962_cov_4.657886_g7817_i0.p1,ABCBF,954,1,Present,Present,Present,__ABCBF__NODE_11033_length_2962_cov_4.657886_g7817_i0.p1,__ABCBF__NODE_11033_length_2962_cov_4.657886_g7817_i0.p1
__ABCBF__NODE_2088_length_7125_cov_44.838394_g1576_i0.p1,ABCBF,519,1,Present,Present,Present,__ABCBF__NODE_2088_length_7125_cov_44.838394_g1576_i0.p1,__ABCBF__NODE_2088_length_7125_cov_44.838394_g1576_i0.p1
__ABCBH__NODE_10453_length_3113_cov_12.504611_g7408_i0.p1,ABCBH,575,1,Present,Present,Present,__ABCBH__NODE_10453_length_3113_cov_12.504611_g7408_i0.p1,__ABCBH__NODE_10453_length_3113_cov_12.504611_g7408_i0.p1
__ABCBH__NODE_18325_length_1734_cov_11.450815_g12992_i0.p1,ABCBH,569,1,Present,Present,Present,__ABCBH__NODE_18325_length_1734_cov_11.450815_g12992_i0.p1,__ABCBH__NODE_18325_length_1734_cov_11.450815_g12992_i0.p1
__ABCBH__NODE_18501_length_1713_cov_12.918704_g13127_i0.p1,ABCBH,570,1,Present,Present,Present,__ABCBH__NODE_18501_length_1713_cov_12.918704_g13127_i0.p1,__ABCBH__NODE_18501_length_1713_cov_12.918704_g13127_i0.p1
__ABCBH__NODE_18749_length_1688_cov_4.812539_g13315_i0.p1,ABCBH,562,1,Present,Present,Present,__ABCBH__NODE_18749_length_1688_cov_4.812539_g13315_i0.p1,__ABCBH__NODE_18749_length_1688_cov_4.812539_g13315_i0.p1
__ABCBH__NODE_18803_length_1682_cov_2.405607_g13358_i0.p1,ABCBH,560,1,Present,Present,Present,__ABCBH__NODE_18803_length_1682_cov_2.405607_g13358_i0.p1,__ABCBH__NODE_18803_length_1682_cov_2.405607_g13358_i0.p1
__ABCBH__NODE_20515_length_1502_cov_3.127018_g14710_i0.p1,ABCBH,486,1,Present,Present,Present,__ABCBH__NODE_20515_length_1502_cov_3.127018_g14710_i0.p1,__ABCBH__NODE_20515_length_1502_cov_3.127018_g14710_i0.p1
__ABCBH__NODE_32779_length_821_cov_6.456989_g25617_i0.p1,ABCBH,273,1,Absent,Present,Present,__ABCBH__NODE_32779_length_821_cov_6.456989_g25617_i0.p1,__ABCBH__NODE_32779_length_821_cov_6.456989_g25617_i0.p1
__ABCBH__NODE_553_length_9930_cov_11.864508_g405_i0.p1,ABCBH,449,1,Present,Present,Present,__ABCBH__NODE_553_length_9930_cov_11.864508_g405_i0.p1,__ABCBH__NODE_553_length_9930_cov_11.864508_g405_i0.p1
