name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1095_length_4031_cov_14.446258_g117_i2.p1,ABCA,1313,2,Present,Present,Present,__ABCA__NODE_1095_length_4031_cov_14.446258_g117_i2.p1,__ABCA__NODE_1095_length_4031_cov_14.446258_g117_i2.p1
__ABCBH__NODE_3186_length_3061_cov_6.216135_g1791_i0.p1,ABCBH,264,1,Present,Present,Present,__ABCBH__NODE_3186_length_3061_cov_6.216135_g1791_i0.p1,__ABCBH__NODE_3186_length_3061_cov_6.216135_g1791_i0.p1
__ABCC__NODE_1702_length_3644_cov_17.788595_g941_i0.p1,ABCC,1159,2,Present,Present,Present,__ABCC__NODE_1702_length_3644_cov_17.788595_g941_i0.p1,__ABCC__NODE_1702_length_3644_cov_17.788595_g941_i0.p1
__ABCC__NODE_4686_length_2701_cov_18.699472_g2618_i0.p1,ABCC,526,2,Present,Present,Absent,__ABCC__NODE_4686_length_2701_cov_18.699472_g2618_i0.p1,__ABCC__NODE_4686_length_2701_cov_18.699472_g2618_i0.p1
__ABCE__NODE_3931_length_2875_cov_39.283086_g2206_i0.p1,ABCE,632,2,Present,Present,Present,__ABCE__NODE_3931_length_2875_cov_39.283086_g2206_i0.p1,__ABCE__NODE_3931_length_2875_cov_39.283086_g2206_i0.p1
__ABCF__NODE_1199_length_3946_cov_158.064409_g666_i0.p1,ABCF,625,2,Present,Present,Present,__ABCF__NODE_1199_length_3946_cov_158.064409_g666_i0.p1,__ABCF__NODE_1199_length_3946_cov_158.064409_g666_i0.p1
__ABCF__NODE_2401_length_3321_cov_49.282702_g1349_i0.p1,ABCF,984,2,Present,Present,Present,__ABCF__NODE_2401_length_3321_cov_49.282702_g1349_i0.p1,__ABCF__NODE_2401_length_3321_cov_49.282702_g1349_i0.p1
__ABCF__NODE_6850_length_2338_cov_18.072958_g3749_i0.p1,ABCF,692,2,Present,Present,Present,__ABCF__NODE_6850_length_2338_cov_18.072958_g3749_i0.p1,__ABCF__NODE_6850_length_2338_cov_18.072958_g3749_i0.p1
__ABCG__NODE_2325_length_3347_cov_14.041237_g1308_i0.p1,ABCG,685,1,Present,Present,Present,__ABCG__NODE_2325_length_3347_cov_14.041237_g1308_i0.p1,__ABCG__NODE_2325_length_3347_cov_14.041237_g1308_i0.p1
__ABCG__NODE_2337_length_3342_cov_10.023687_g1315_i0.p1,ABCG,557,1,Present,Absent,Present,__ABCG__NODE_2337_length_3342_cov_10.023687_g1315_i0.p1,__ABCG__NODE_2337_length_3342_cov_10.023687_g1315_i0.p1
__ABCG__NODE_3682_length_2928_cov_11.235151_g2075_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_3682_length_2928_cov_11.235151_g2075_i0.p1,__ABCG__NODE_3682_length_2928_cov_11.235151_g2075_i0.p1
__ABCG__NODE_6129_length_2449_cov_8.945417_g3375_i0.p1,ABCG,641,1,Present,Present,Present,__ABCG__NODE_6129_length_2449_cov_8.945417_g3375_i0.p1,__ABCG__NODE_6129_length_2449_cov_8.945417_g3375_i0.p1
__ABCH__NODE_2842_length_3166_cov_8.204042_g1594_i0.p1,ABCH,776,1,Present,Present,Present,__ABCH__NODE_2842_length_3166_cov_8.204042_g1594_i0.p1,__ABCH__NODE_2842_length_3166_cov_8.204042_g1594_i0.p1
