name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_14913_length_2667_cov_6.972973_g11096_i0.p1,ABCA,819,1,Present,Present,Present,__ABCA__NODE_14913_length_2667_cov_6.972973_g11096_i0.p1,__ABCA__NODE_14913_length_2667_cov_6.972973_g11096_i0.p1
__ABCA__NODE_15366_length_2599_cov_5.229976_g11432_i0.p1,ABCA,746,1,Absent,Present,Absent,__ABCA__NODE_15366_length_2599_cov_5.229976_g11432_i0.p1,__ABCA__NODE_15366_length_2599_cov_5.229976_g11432_i0.p1
__ABCA__NODE_1580_length_7934_cov_25.573120_g1219_i0.p1,ABCA,960,1,Present,Present,Present,__ABCA__NODE_1580_length_7934_cov_25.573120_g1219_i0.p1,__ABCA__NODE_1580_length_7934_cov_25.573120_g1219_i0.p1
__ABCA__NODE_27871_length_1447_cov_5.273723_g21161_i0.p1,ABCA,482,1,Absent,Present,Present,__ABCA__NODE_27871_length_1447_cov_5.273723_g21161_i0.p1,__ABCA__NODE_27871_length_1447_cov_5.273723_g21161_i0.p1
__ABCA__NODE_37063_length_1041_cov_2.672199_g29069_i0.p1,ABCA,315,1,Present,Present,Present,__ABCA__NODE_37063_length_1041_cov_2.672199_g29069_i0.p1,__ABCA__NODE_37063_length_1041_cov_2.672199_g29069_i0.p1
__ABCA__NODE_42442_length_879_cov_1.704489_g34014_i0.p1,ABCA,286,2,Present,Absent,Present,__ABCA__NODE_42442_length_879_cov_1.704489_g34014_i0.p1,__ABCA__NODE_42442_length_879_cov_1.704489_g34014_i0.p1
__ABCA__NODE_925_length_8938_cov_15.428168_g760_i0.p1,ABCA,1776,2,Present,Present,Present,__ABCA__NODE_925_length_8938_cov_15.428168_g760_i0.p1,__ABCA__NODE_925_length_8938_cov_15.428168_g760_i0.p1
__ABCBF__NODE_43412_length_856_cov_0.843389_g34916_i0.p1,ABCBF,284,1,Present,Present,Present,__ABCBF__NODE_43412_length_856_cov_0.843389_g34916_i0.p1,__ABCBF__NODE_43412_length_856_cov_0.843389_g34916_i0.p1
__ABCBF__NODE_7024_length_4354_cov_13.196867_g5320_i0.p1,ABCBF,1372,2,Present,Present,Present,__ABCBF__NODE_7024_length_4354_cov_13.196867_g5320_i0.p1,__ABCBF__NODE_7024_length_4354_cov_13.196867_g5320_i0.p1
__ABCBH__NODE_20072_length_2050_cov_246.324886_g15003_i0.p1,ABCBH,354,1,Present,Present,Present,__ABCBH__NODE_20072_length_2050_cov_246.324886_g15003_i0.p1,__ABCBH__NODE_20072_length_2050_cov_246.324886_g15003_i0.p1
__ABCBH__NODE_28518_length_1413_cov_4.776946_g21685_i0.p1,ABCBH,471,1,Present,Present,Present,__ABCBH__NODE_28518_length_1413_cov_4.776946_g21685_i0.p1,__ABCBH__NODE_28518_length_1413_cov_4.776946_g21685_i0.p1
__ABCC__NODE_1009_length_8791_cov_21.740647_g374_i1.p1,ABCC,1537,2,Present,Present,Present,__ABCC__NODE_1009_length_8791_cov_21.740647_g374_i1.p1,__ABCC__NODE_1009_length_8791_cov_21.740647_g374_i1.p1
__ABCC__NODE_11352_length_3261_cov_144.968593_g8473_i0.p1,ABCC,344,1,Present,Present,Absent,__ABCC__NODE_11352_length_3261_cov_144.968593_g8473_i0.p1,__ABCC__NODE_11352_length_3261_cov_144.968593_g8473_i0.p1
__ABCC__NODE_153_length_12557_cov_28.529407_g124_i0.p1,ABCC,1535,2,Present,Present,Present,__ABCC__NODE_153_length_12557_cov_28.529407_g124_i0.p1,__ABCC__NODE_153_length_12557_cov_28.529407_g124_i0.p1
__ABCC__NODE_2998_length_6419_cov_41.143015_g2301_i0.p1,ABCC,1512,2,Present,Present,Present,__ABCC__NODE_2998_length_6419_cov_41.143015_g2301_i0.p1,__ABCC__NODE_2998_length_6419_cov_41.143015_g2301_i0.p1
__ABCC__NODE_35523_length_1096_cov_2.094210_g27702_i0.p1,ABCC,365,1,Present,Present,Absent,__ABCC__NODE_35523_length_1096_cov_2.094210_g27702_i0.p1,__ABCC__NODE_35523_length_1096_cov_2.094210_g27702_i0.p1
__ABCC__NODE_35687_length_1090_cov_1.541955_g27850_i0.p1,ABCC,362,1,Present,Present,Present,__ABCC__NODE_35687_length_1090_cov_1.541955_g27850_i0.p1,__ABCC__NODE_35687_length_1090_cov_1.541955_g27850_i0.p1
__ABCC__NODE_3772_length_5847_cov_10.990641_g2872_i0.p1,ABCC,1527,2,Present,Present,Present,__ABCC__NODE_3772_length_5847_cov_10.990641_g2872_i0.p1,__ABCC__NODE_3772_length_5847_cov_10.990641_g2872_i0.p1
__ABCC__NODE_5550_length_4926_cov_4.891730_g4208_i0.p1,ABCC,834,1,Absent,Present,Present,__ABCC__NODE_5550_length_4926_cov_4.891730_g4208_i0.p1,__ABCC__NODE_5550_length_4926_cov_4.891730_g4208_i0.p1
__ABCD__NODE_35642_length_1091_cov_7.442801_g27808_i0.p1,ABCD,363,1,Absent,Present,Absent,__ABCD__NODE_35642_length_1091_cov_7.442801_g27808_i0.p1,__ABCD__NODE_35642_length_1091_cov_7.442801_g27808_i0.p1
__ABCD__NODE_647_length_9724_cov_12.666943_g545_i0.p1,ABCD,527,1,Present,Present,Present,__ABCD__NODE_647_length_9724_cov_12.666943_g545_i0.p1,__ABCD__NODE_647_length_9724_cov_12.666943_g545_i0.p1
__ABCE__NODE_14136_length_2778_cov_56.645687_g10511_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_14136_length_2778_cov_56.645687_g10511_i0.p1,__ABCE__NODE_14136_length_2778_cov_56.645687_g10511_i0.p1
__ABCE__NODE_19651_length_2094_cov_3.341101_g14693_i0.p1,ABCE,623,2,Present,Present,Present,__ABCE__NODE_19651_length_2094_cov_3.341101_g14693_i0.p1,__ABCE__NODE_19651_length_2094_cov_3.341101_g14693_i0.p1
__ABCF__NODE_10768_length_3385_cov_84.691354_g1495_i1.p1,ABCF,989,2,Present,Present,Present,__ABCF__NODE_10768_length_3385_cov_84.691354_g1495_i1.p1,__ABCF__NODE_10768_length_3385_cov_84.691354_g1495_i1.p1
__ABCF__NODE_17224_length_2362_cov_3.388621_g12857_i0.p1,ABCF,735,2,Present,Present,Present,__ABCF__NODE_17224_length_2362_cov_3.388621_g12857_i0.p1,__ABCF__NODE_17224_length_2362_cov_3.388621_g12857_i0.p1
__ABCF__NODE_17561_length_2324_cov_28.932799_g12047_i1.p1,ABCF,725,2,Present,Present,Present,__ABCF__NODE_17561_length_2324_cov_28.932799_g12047_i1.p1,__ABCF__NODE_17561_length_2324_cov_28.932799_g12047_i1.p1
__ABCF__NODE_19897_length_2067_cov_2.163819_g14874_i0.p1,ABCF,647,2,Present,Present,Present,__ABCF__NODE_19897_length_2067_cov_2.163819_g14874_i0.p1,__ABCF__NODE_19897_length_2067_cov_2.163819_g14874_i0.p1
__ABCF__NODE_8626_length_3878_cov_351.534596_g6481_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_8626_length_3878_cov_351.534596_g6481_i0.p1,__ABCF__NODE_8626_length_3878_cov_351.534596_g6481_i0.p1
__ABCG__NODE_11942_length_3142_cov_3.931811_g8902_i0.p1,ABCG,644,1,Present,Present,Present,__ABCG__NODE_11942_length_3142_cov_3.931811_g8902_i0.p1,__ABCG__NODE_11942_length_3142_cov_3.931811_g8902_i0.p1
__ABCG__NODE_12610_length_3030_cov_25.714528_g9372_i0.p1,ABCG,712,1,Present,Present,Present,__ABCG__NODE_12610_length_3030_cov_25.714528_g9372_i0.p1,__ABCG__NODE_12610_length_3030_cov_25.714528_g9372_i0.p1
__ABCG__NODE_1427_length_8116_cov_20.527056_g1119_i0.p1,ABCG,697,1,Present,Present,Present,__ABCG__NODE_1427_length_8116_cov_20.527056_g1119_i0.p1,__ABCG__NODE_1427_length_8116_cov_20.527056_g1119_i0.p1
__ABCG__NODE_17618_length_2317_cov_24.843750_g13160_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_17618_length_2317_cov_24.843750_g13160_i0.p1,__ABCG__NODE_17618_length_2317_cov_24.843750_g13160_i0.p1
__ABCG__NODE_22379_length_1839_cov_15.256527_g13160_i1.p1,ABCG,486,1,Present,Present,Present,__ABCG__NODE_22379_length_1839_cov_15.256527_g13160_i1.p1,__ABCG__NODE_22379_length_1839_cov_15.256527_g13160_i1.p1
__ABCG__NODE_27692_length_1457_cov_3.087681_g21013_i0.p1,ABCG,435,1,Present,Present,Absent,__ABCG__NODE_27692_length_1457_cov_3.087681_g21013_i0.p1,__ABCG__NODE_27692_length_1457_cov_3.087681_g21013_i0.p1
__ABCG__NODE_43336_length_857_cov_3.089744_g34842_i0.p1,ABCG,285,1,Present,Absent,Absent,__ABCG__NODE_43336_length_857_cov_3.089744_g34842_i0.p1,__ABCG__NODE_43336_length_857_cov_3.089744_g34842_i0.p1
__ABCG__NODE_4422_length_5469_cov_21.108494_g3354_i0.p1,ABCG,664,1,Present,Present,Present,__ABCG__NODE_4422_length_5469_cov_21.108494_g3354_i0.p1,__ABCG__NODE_4422_length_5469_cov_21.108494_g3354_i0.p1
__ABCG__NODE_44238_length_836_cov_2.147563_g35692_i0.p1,ABCG,253,1,Present,Present,Present,__ABCG__NODE_44238_length_836_cov_2.147563_g35692_i0.p1,__ABCG__NODE_44238_length_836_cov_2.147563_g35692_i0.p1
