name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1634_length_5096_cov_6.492966_g1158_i0.p1,ABCA,314,1,Present,Present,Present,__ABCA__NODE_1634_length_5096_cov_6.492966_g1158_i0.p1,__ABCA__NODE_1634_length_5096_cov_6.492966_g1158_i0.p1
__ABCBF__NODE_18786_length_1162_cov_2.492363_g13861_i0.p1,ABCBF,387,1,Present,Present,Present,__ABCBF__NODE_18786_length_1162_cov_2.492363_g13861_i0.p1,__ABCBF__NODE_18786_length_1162_cov_2.492363_g13861_i0.p1
__ABCBF__NODE_2868_length_4177_cov_4.579457_g2012_i0.p1,ABCBF,615,1,Present,Present,Present,__ABCBF__NODE_2868_length_4177_cov_4.579457_g2012_i0.p1,__ABCBF__NODE_2868_length_4177_cov_4.579457_g2012_i0.p1
__ABCBH__NODE_1251_length_5554_cov_80.295368_g896_i0.p1,ABCBH,877,1,Present,Present,Present,__ABCBH__NODE_1251_length_5554_cov_80.295368_g896_i0.p1,__ABCBH__NODE_1251_length_5554_cov_80.295368_g896_i0.p1
__ABCBH__NODE_17313_length_1269_cov_2.958197_g12629_i0.p1,ABCBH,288,1,Present,Present,Present,__ABCBH__NODE_17313_length_1269_cov_2.958197_g12629_i0.p1,__ABCBH__NODE_17313_length_1269_cov_2.958197_g12629_i0.p1
__ABCC__NODE_1612_length_5130_cov_12.202716_g1144_i0.p1,ABCC,987,1,Present,Present,Absent,__ABCC__NODE_1612_length_5130_cov_12.202716_g1144_i0.p1,__ABCC__NODE_1612_length_5130_cov_12.202716_g1144_i0.p1
__ABCC__NODE_23726_length_893_cov_2.638626_g18086_i0.p1,ABCC,280,1,Present,Present,Absent,__ABCC__NODE_23726_length_893_cov_2.638626_g18086_i0.p1,__ABCC__NODE_23726_length_893_cov_2.638626_g18086_i0.p1
__ABCC__NODE_27018_length_765_cov_1.775140_g21035_i0.p1,ABCC,254,1,Present,Present,Absent,__ABCC__NODE_27018_length_765_cov_1.775140_g21035_i0.p1,__ABCC__NODE_27018_length_765_cov_1.775140_g21035_i0.p1
__ABCC__NODE_4195_length_3547_cov_9.243854_g2914_i0.p1,ABCC,494,1,Present,Present,Present,__ABCC__NODE_4195_length_3547_cov_9.243854_g2914_i0.p1,__ABCC__NODE_4195_length_3547_cov_9.243854_g2914_i0.p1
__ABCC__NODE_7820_length_2449_cov_5.287917_g5486_i0.p1,ABCC,776,1,Present,Present,Present,__ABCC__NODE_7820_length_2449_cov_5.287917_g5486_i0.p1,__ABCC__NODE_7820_length_2449_cov_5.287917_g5486_i0.p1
__ABCD__NODE_14883_length_1479_cov_431.898601_g10717_i0.p1,ABCD,297,1,Present,Present,Present,__ABCD__NODE_14883_length_1479_cov_431.898601_g10717_i0.p1,__ABCD__NODE_14883_length_1479_cov_431.898601_g10717_i0.p1
__ABCD__NODE_6838_length_2672_cov_3473.036599_g488_i13.p1,ABCD,365,1,Present,Absent,Present,__ABCD__NODE_6838_length_2672_cov_3473.036599_g488_i13.p1,__ABCD__NODE_6838_length_2672_cov_3473.036599_g488_i13.p1
__ABCE__NODE_5790_length_2979_cov_149.397611_g4006_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5790_length_2979_cov_149.397611_g4006_i0.p1,__ABCE__NODE_5790_length_2979_cov_149.397611_g4006_i0.p1
__ABCF__NODE_3444_length_3879_cov_372.631070_g2408_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_3444_length_3879_cov_372.631070_g2408_i0.p1,__ABCF__NODE_3444_length_3879_cov_372.631070_g2408_i0.p1
__ABCF__NODE_4504_length_3409_cov_24.833036_g3124_i0.p1,ABCF,982,2,Present,Present,Present,__ABCF__NODE_4504_length_3409_cov_24.833036_g3124_i0.p1,__ABCF__NODE_4504_length_3409_cov_24.833036_g3124_i0.p1
