name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_3211_length_3115_cov_6.898631_g651_i1.p1,ABCA,397,1,Present,Present,Present,__ABCA__NODE_3211_length_3115_cov_6.898631_g651_i1.p1,__ABCA__NODE_3211_length_3115_cov_6.898631_g651_i1.p1
__ABCBH__NODE_10258_length_1591_cov_6.476684_g7201_i0.p1,ABCBH,362,1,Present,Present,Present,__ABCBH__NODE_10258_length_1591_cov_6.476684_g7201_i0.p1,__ABCBH__NODE_10258_length_1591_cov_6.476684_g7201_i0.p1
__ABCC__NODE_1211_length_4373_cov_7.036292_g832_i0.p1,ABCC,1390,2,Present,Present,Present,__ABCC__NODE_1211_length_4373_cov_7.036292_g832_i0.p1,__ABCC__NODE_1211_length_4373_cov_7.036292_g832_i0.p1
__ABCC__NODE_1344_length_4260_cov_11.251840_g921_i0.p1,ABCC,1175,2,Present,Present,Present,__ABCC__NODE_1344_length_4260_cov_11.251840_g921_i0.p1,__ABCC__NODE_1344_length_4260_cov_11.251840_g921_i0.p1
__ABCE__NODE_4408_length_2708_cov_57.642991_g3077_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4408_length_2708_cov_57.642991_g3077_i0.p1,__ABCE__NODE_4408_length_2708_cov_57.642991_g3077_i0.p1
__ABCF__NODE_1792_length_3880_cov_151.409340_g1217_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_1792_length_3880_cov_151.409340_g1217_i0.p1,__ABCF__NODE_1792_length_3880_cov_151.409340_g1217_i0.p1
__ABCF__NODE_2860_length_3269_cov_18.721291_g1994_i0.p1,ABCF,979,3,Present,Present,Present,__ABCF__NODE_2860_length_3269_cov_18.721291_g1994_i0.p1,__ABCF__NODE_2860_length_3269_cov_18.721291_g1994_i0.p1
__ABCF__NODE_5773_length_2348_cov_13.587571_g4022_i0.p1,ABCF,728,3,Present,Present,Present,__ABCF__NODE_5773_length_2348_cov_13.587571_g4022_i0.p1,__ABCF__NODE_5773_length_2348_cov_13.587571_g4022_i0.p1
__ABCG__NODE_2351_length_3527_cov_19.687644_g1620_i0.p1,ABCG,687,1,Present,Present,Present,__ABCG__NODE_2351_length_3527_cov_19.687644_g1620_i0.p1,__ABCG__NODE_2351_length_3527_cov_19.687644_g1620_i0.p1
__ABCG__NODE_6074_length_2280_cov_5.172414_g4237_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_6074_length_2280_cov_5.172414_g4237_i0.p1,__ABCG__NODE_6074_length_2280_cov_5.172414_g4237_i0.p1
__ABCG__NODE_6390_length_2215_cov_20.135609_g4463_i0.p1,ABCG,660,1,Present,Present,Present,__ABCG__NODE_6390_length_2215_cov_20.135609_g4463_i0.p1,__ABCG__NODE_6390_length_2215_cov_20.135609_g4463_i0.p1
__ABCH__NODE_3370_length_3048_cov_9.461513_g2351_i0.p1,ABCH,751,1,Present,Present,Present,__ABCH__NODE_3370_length_3048_cov_9.461513_g2351_i0.p1,__ABCH__NODE_3370_length_3048_cov_9.461513_g2351_i0.p1
