name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_24768_length_858_cov_2.861557_g16685_i0.p1,ABCA,286,1,Present,Present,Present,__ABCA__NODE_24768_length_858_cov_2.861557_g16685_i0.p1,__ABCA__NODE_24768_length_858_cov_2.861557_g16685_i0.p1
__ABCBF__NODE_250_length_6634_cov_64.673197_g162_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_250_length_6634_cov_64.673197_g162_i0.p1,__ABCBF__NODE_250_length_6634_cov_64.673197_g162_i0.p1
__ABCBH__NODE_1766_length_4375_cov_22.899214_g1178_i0.p1,ABCBH,352,1,Present,Absent,Present,__ABCBH__NODE_1766_length_4375_cov_22.899214_g1178_i0.p1,__ABCBH__NODE_1766_length_4375_cov_22.899214_g1178_i0.p1
__ABCBH__NODE_3753_length_3456_cov_6.934253_g2493_i0.p1,ABCBH,644,1,Present,Present,Present,__ABCBH__NODE_3753_length_3456_cov_6.934253_g2493_i0.p1,__ABCBH__NODE_3753_length_3456_cov_6.934253_g2493_i0.p1
__ABCC__NODE_1047_length_5004_cov_24.125732_g696_i0.p1,ABCC,1260,2,Present,Present,Present,__ABCC__NODE_1047_length_5004_cov_24.125732_g696_i0.p1,__ABCC__NODE_1047_length_5004_cov_24.125732_g696_i0.p1
__ABCC__NODE_12506_length_1805_cov_4.896925_g8079_i0.p1,ABCC,324,1,Present,Present,Absent,__ABCC__NODE_12506_length_1805_cov_4.896925_g8079_i0.p1,__ABCC__NODE_12506_length_1805_cov_4.896925_g8079_i0.p1
__ABCC__NODE_976_length_5092_cov_33.757089_g653_i0.p1,ABCC,1513,2,Present,Present,Present,__ABCC__NODE_976_length_5092_cov_33.757089_g653_i0.p1,__ABCC__NODE_976_length_5092_cov_33.757089_g653_i0.p1
__ABCE__NODE_6345_length_2752_cov_85.522013_g4152_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_6345_length_2752_cov_85.522013_g4152_i0.p1,__ABCE__NODE_6345_length_2752_cov_85.522013_g4152_i0.p1
__ABCF__NODE_2632_length_3904_cov_257.276783_g1738_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2632_length_3904_cov_257.276783_g1738_i0.p1,__ABCF__NODE_2632_length_3904_cov_257.276783_g1738_i0.p1
__ABCF__NODE_4163_length_3320_cov_37.318863_g2762_i0.p1,ABCF,864,4,Present,Present,Present,__ABCF__NODE_4163_length_3320_cov_37.318863_g2762_i0.p1,__ABCF__NODE_4163_length_3320_cov_37.318863_g2762_i0.p1
__ABCF__NODE_8508_length_2348_cov_24.545890_g5532_i0.p1,ABCF,693,2,Present,Present,Present,__ABCF__NODE_8508_length_2348_cov_24.545890_g5532_i0.p1,__ABCF__NODE_8508_length_2348_cov_24.545890_g5532_i0.p1
__ABCG__NODE_11516_length_1921_cov_4.333333_g7443_i0.p1,ABCG,528,1,Present,Absent,Absent,__ABCG__NODE_11516_length_1921_cov_4.333333_g7443_i0.p1,__ABCG__NODE_11516_length_1921_cov_4.333333_g7443_i0.p1
__ABCG__NODE_4576_length_3200_cov_41.702317_g3029_i0.p1,ABCG,688,1,Present,Present,Present,__ABCG__NODE_4576_length_3200_cov_41.702317_g3029_i0.p1,__ABCG__NODE_4576_length_3200_cov_41.702317_g3029_i0.p1
__ABCG__NODE_6878_length_2642_cov_41.481296_g4500_i0.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_6878_length_2642_cov_41.481296_g4500_i0.p1,__ABCG__NODE_6878_length_2642_cov_41.481296_g4500_i0.p1
__ABCG__NODE_8353_length_2376_cov_8.178341_g5430_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_8353_length_2376_cov_8.178341_g5430_i0.p1,__ABCG__NODE_8353_length_2376_cov_8.178341_g5430_i0.p1
__ABCH__NODE_4228_length_3302_cov_11.368275_g2801_i0.p1,ABCH,741,1,Present,Present,Present,__ABCH__NODE_4228_length_3302_cov_11.368275_g2801_i0.p1,__ABCH__NODE_4228_length_3302_cov_11.368275_g2801_i0.p1
