name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_13786_length_2503_cov_4.219291_g10010_i0.p1,ABCA,713,1,Absent,Present,Absent,__ABCA__NODE_13786_length_2503_cov_4.219291_g10010_i0.p1,__ABCA__NODE_13786_length_2503_cov_4.219291_g10010_i0.p1
__ABCA__NODE_14701_length_2356_cov_66.192628_g3538_i1.p1,ABCA,752,1,Present,Present,Present,__ABCA__NODE_14701_length_2356_cov_66.192628_g3538_i1.p1,__ABCA__NODE_14701_length_2356_cov_66.192628_g3538_i1.p1
__ABCA__NODE_15527_length_2241_cov_2.941312_g11299_i0.p1,ABCA,746,1,Absent,Present,Present,__ABCA__NODE_15527_length_2241_cov_2.941312_g11299_i0.p1,__ABCA__NODE_15527_length_2241_cov_2.941312_g11299_i0.p1
__ABCA__NODE_16419_length_2119_cov_4.694417_g11996_i0.p1,ABCA,669,1,Present,Present,Present,__ABCA__NODE_16419_length_2119_cov_4.694417_g11996_i0.p1,__ABCA__NODE_16419_length_2119_cov_4.694417_g11996_i0.p1
__ABCA__NODE_2471_length_6508_cov_58.808272_g1800_i0.p1,ABCA,1799,2,Present,Present,Present,__ABCA__NODE_2471_length_6508_cov_58.808272_g1800_i0.p1,__ABCA__NODE_2471_length_6508_cov_58.808272_g1800_i0.p1
__ABCA__NODE_2851_length_6181_cov_5.776048_g2072_i0.p1,ABCA,1448,2,Present,Present,Present,__ABCA__NODE_2851_length_6181_cov_5.776048_g2072_i0.p1,__ABCA__NODE_2851_length_6181_cov_5.776048_g2072_i0.p1
__ABCA__NODE_3389_length_5817_cov_8.442857_g2466_i0.p1,ABCA,1812,2,Present,Present,Present,__ABCA__NODE_3389_length_5817_cov_8.442857_g2466_i0.p1,__ABCA__NODE_3389_length_5817_cov_8.442857_g2466_i0.p1
__ABCA__NODE_34213_length_839_cov_5.244094_g27199_i0.p1,ABCA,279,1,Present,Absent,Present,__ABCA__NODE_34213_length_839_cov_5.244094_g27199_i0.p1,__ABCA__NODE_34213_length_839_cov_5.244094_g27199_i0.p1
__ABCA__NODE_4895_length_5012_cov_106.444782_g3538_i0.p1,ABCA,1638,2,Present,Present,Present,__ABCA__NODE_4895_length_5012_cov_106.444782_g3538_i0.p1,__ABCA__NODE_4895_length_5012_cov_106.444782_g3538_i0.p1
__ABCA__NODE_5279_length_4831_cov_4.831931_g3813_i0.p1,ABCA,1561,2,Present,Present,Present,__ABCA__NODE_5279_length_4831_cov_4.831931_g3813_i0.p1,__ABCA__NODE_5279_length_4831_cov_4.831931_g3813_i0.p1
__ABCA__NODE_5439_length_4759_cov_6.439129_g3926_i0.p1,ABCA,1313,2,Present,Present,Present,__ABCA__NODE_5439_length_4759_cov_6.439129_g3926_i0.p1,__ABCA__NODE_5439_length_4759_cov_6.439129_g3926_i0.p1
__ABCA__NODE_5763_length_4625_cov_10.531882_g4131_i0.p1,ABCA,708,1,Present,Present,Present,__ABCA__NODE_5763_length_4625_cov_10.531882_g4131_i0.p1,__ABCA__NODE_5763_length_4625_cov_10.531882_g4131_i0.p1
__ABCA__NODE_6020_length_4504_cov_4.648069_g4306_i0.p1,ABCA,1501,2,Present,Present,Present,__ABCA__NODE_6020_length_4504_cov_4.648069_g4306_i0.p1,__ABCA__NODE_6020_length_4504_cov_4.648069_g4306_i0.p1
__ABCA__NODE_6785_length_4204_cov_3.983765_g4861_i0.p1,ABCA,1401,1,Present,Present,Present,__ABCA__NODE_6785_length_4204_cov_3.983765_g4861_i0.p1,__ABCA__NODE_6785_length_4204_cov_3.983765_g4861_i0.p1
__ABCA__NODE_7494_length_3962_cov_7.132304_g5368_i0.p1,ABCA,530,2,Present,Present,Present,__ABCA__NODE_7494_length_3962_cov_7.132304_g5368_i0.p1,__ABCA__NODE_7494_length_3962_cov_7.132304_g5368_i0.p1
__ABCBF__NODE_12875_length_2662_cov_5.328046_g9338_i0.p1,ABCBF,808,1,Present,Present,Present,__ABCBF__NODE_12875_length_2662_cov_5.328046_g9338_i0.p1,__ABCBF__NODE_12875_length_2662_cov_5.328046_g9338_i0.p1
__ABCBF__NODE_21079_length_1614_cov_6.847105_g15656_i0.p1,ABCBF,537,1,Present,Present,Present,__ABCBF__NODE_21079_length_1614_cov_6.847105_g15656_i0.p1,__ABCBF__NODE_21079_length_1614_cov_6.847105_g15656_i0.p1
__ABCBH__NODE_1123_length_8184_cov_11.202541_g787_i0.p1,ABCBH,725,1,Present,Present,Present,__ABCBH__NODE_1123_length_8184_cov_11.202541_g787_i0.p1,__ABCBH__NODE_1123_length_8184_cov_11.202541_g787_i0.p1
__ABCBH__NODE_24757_length_1325_cov_2.283654_g18747_i0.p1,ABCBH,441,1,Absent,Present,Absent,__ABCBH__NODE_24757_length_1325_cov_2.283654_g18747_i0.p1,__ABCBH__NODE_24757_length_1325_cov_2.283654_g18747_i0.p1
__ABCBH__NODE_25508_length_1274_cov_2.553049_g19385_i0.p1,ABCBH,424,1,Present,Present,Present,__ABCBH__NODE_25508_length_1274_cov_2.553049_g19385_i0.p1,__ABCBH__NODE_25508_length_1274_cov_2.553049_g19385_i0.p1
__ABCBH__NODE_5520_length_4720_cov_7.680810_g3981_i0.p1,ABCBH,650,1,Present,Present,Present,__ABCBH__NODE_5520_length_4720_cov_7.680810_g3981_i0.p1,__ABCBH__NODE_5520_length_4720_cov_7.680810_g3981_i0.p1
__ABCBH__NODE_7008_length_4127_cov_10.177778_g5023_i0.p1,ABCBH,360,1,Present,Present,Present,__ABCBH__NODE_7008_length_4127_cov_10.177778_g5023_i0.p1,__ABCBH__NODE_7008_length_4127_cov_10.177778_g5023_i0.p1
__ABCC__NODE_1717_length_7253_cov_10.055045_g1228_i0.p1,ABCC,1408,2,Present,Present,Present,__ABCC__NODE_1717_length_7253_cov_10.055045_g1228_i0.p1,__ABCC__NODE_1717_length_7253_cov_10.055045_g1228_i0.p1
__ABCC__NODE_19066_length_1816_cov_3.864290_g14053_i0.p1,ABCC,563,1,Present,Present,Present,__ABCC__NODE_19066_length_1816_cov_3.864290_g14053_i0.p1,__ABCC__NODE_19066_length_1816_cov_3.864290_g14053_i0.p1
__ABCC__NODE_24556_length_1340_cov_3.695170_g18571_i0.p1,ABCC,362,1,Present,Present,Absent,__ABCC__NODE_24556_length_1340_cov_3.695170_g18571_i0.p1,__ABCC__NODE_24556_length_1340_cov_3.695170_g18571_i0.p1
__ABCC__NODE_27687_length_1141_cov_1.632519_g21307_i0.p1,ABCC,380,1,Present,Present,Present,__ABCC__NODE_27687_length_1141_cov_1.632519_g21307_i0.p1,__ABCC__NODE_27687_length_1141_cov_1.632519_g21307_i0.p1
__ABCC__NODE_31945_length_927_cov_1.774118_g25115_i0.p1,ABCC,263,1,Absent,Present,Absent,__ABCC__NODE_31945_length_927_cov_1.774118_g25115_i0.p1,__ABCC__NODE_31945_length_927_cov_1.774118_g25115_i0.p1
__ABCC__NODE_3302_length_5883_cov_7.648467_g2396_i0.p1,ABCC,1169,2,Present,Present,Present,__ABCC__NODE_3302_length_5883_cov_7.648467_g2396_i0.p1,__ABCC__NODE_3302_length_5883_cov_7.648467_g2396_i0.p1
__ABCC__NODE_3510_length_5754_cov_39.563150_g2560_i0.p1,ABCC,1516,2,Present,Present,Present,__ABCC__NODE_3510_length_5754_cov_39.563150_g2560_i0.p1,__ABCC__NODE_3510_length_5754_cov_39.563150_g2560_i0.p1
__ABCC__NODE_4192_length_5368_cov_11.321678_g3026_i0.p1,ABCC,1351,2,Present,Present,Present,__ABCC__NODE_4192_length_5368_cov_11.321678_g3026_i0.p1,__ABCC__NODE_4192_length_5368_cov_11.321678_g3026_i0.p1
__ABCC__NODE_6779_length_4205_cov_4.001453_g4858_i0.p1,ABCC,1401,2,Present,Present,Present,__ABCC__NODE_6779_length_4205_cov_4.001453_g4858_i0.p1,__ABCC__NODE_6779_length_4205_cov_4.001453_g4858_i0.p1
__ABCC__NODE_822_length_8836_cov_51.891312_g564_i0.p1,ABCC,1562,2,Present,Present,Present,__ABCC__NODE_822_length_8836_cov_51.891312_g564_i0.p1,__ABCC__NODE_822_length_8836_cov_51.891312_g564_i0.p1
__ABCC__NODE_854_length_8773_cov_52.308763_g564_i1.p1,ABCC,1541,2,Present,Present,Present,__ABCC__NODE_854_length_8773_cov_52.308763_g564_i1.p1,__ABCC__NODE_854_length_8773_cov_52.308763_g564_i1.p1
__ABCD__NODE_1685_length_7306_cov_12.768848_g1202_i0.p1,ABCD,971,1,Present,Present,Present,__ABCD__NODE_1685_length_7306_cov_12.768848_g1202_i0.p1,__ABCD__NODE_1685_length_7306_cov_12.768848_g1202_i0.p1
__ABCD__NODE_2227_length_6696_cov_106.154706_g1620_i0.p1,ABCD,657,1,Present,Present,Present,__ABCD__NODE_2227_length_6696_cov_106.154706_g1620_i0.p1,__ABCD__NODE_2227_length_6696_cov_106.154706_g1620_i0.p1
__ABCD__NODE_3254_length_5909_cov_13.691358_g2365_i0.p1,ABCD,280,1,Present,Present,Present,__ABCD__NODE_3254_length_5909_cov_13.691358_g2365_i0.p1,__ABCD__NODE_3254_length_5909_cov_13.691358_g2365_i0.p1
__ABCE__NODE_28032_length_1122_cov_2.977033_g21615_i0.p1,ABCE,374,2,Present,Present,Present,__ABCE__NODE_28032_length_1122_cov_2.977033_g21615_i0.p1,__ABCE__NODE_28032_length_1122_cov_2.977033_g21615_i0.p1
__ABCE__NODE_9021_length_3489_cov_107.614009_g6495_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_9021_length_3489_cov_107.614009_g6495_i0.p1,__ABCE__NODE_9021_length_3489_cov_107.614009_g6495_i0.p1
__ABCF__NODE_14438_length_2400_cov_100.558760_g10491_i0.p1,ABCF,709,2,Present,Present,Present,__ABCF__NODE_14438_length_2400_cov_100.558760_g10491_i0.p1,__ABCF__NODE_14438_length_2400_cov_100.558760_g10491_i0.p1
__ABCF__NODE_17577_length_1980_cov_5.968996_g12894_i0.p1,ABCF,602,2,Present,Present,Present,__ABCF__NODE_17577_length_1980_cov_5.968996_g12894_i0.p1,__ABCF__NODE_17577_length_1980_cov_5.968996_g12894_i0.p1
__ABCF__NODE_21976_length_1535_cov_7.224966_g16402_i0.p1,ABCF,471,2,Present,Present,Present,__ABCF__NODE_21976_length_1535_cov_7.224966_g16402_i0.p1,__ABCF__NODE_21976_length_1535_cov_7.224966_g16402_i0.p1
__ABCF__NODE_31351_length_954_cov_2.111745_g24562_i0.p1,ABCF,318,1,Present,Present,Present,__ABCF__NODE_31351_length_954_cov_2.111745_g24562_i0.p1,__ABCF__NODE_31351_length_954_cov_2.111745_g24562_i0.p1
__ABCF__NODE_7460_length_3972_cov_368.661874_g5343_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_7460_length_3972_cov_368.661874_g5343_i0.p1,__ABCF__NODE_7460_length_3972_cov_368.661874_g5343_i0.p1
__ABCF__NODE_8649_length_3598_cov_124.694689_g6212_i0.p1,ABCF,870,2,Present,Present,Present,__ABCF__NODE_8649_length_3598_cov_124.694689_g6212_i0.p1,__ABCF__NODE_8649_length_3598_cov_124.694689_g6212_i0.p1
__ABCF__NODE_9930_length_3271_cov_134.647151_g6212_i2.p1,ABCF,953,2,Present,Present,Present,__ABCF__NODE_9930_length_3271_cov_134.647151_g6212_i2.p1,__ABCF__NODE_9930_length_3271_cov_134.647151_g6212_i2.p1
__ABCG__NODE_12489_length_2735_cov_21.534989_g9051_i0.p1,ABCG,693,1,Present,Present,Present,__ABCG__NODE_12489_length_2735_cov_21.534989_g9051_i0.p1,__ABCG__NODE_12489_length_2735_cov_21.534989_g9051_i0.p1
__ABCG__NODE_13915_length_2481_cov_85.832779_g10110_i0.p1,ABCG,660,1,Present,Present,Present,__ABCG__NODE_13915_length_2481_cov_85.832779_g10110_i0.p1,__ABCG__NODE_13915_length_2481_cov_85.832779_g10110_i0.p1
__ABCG__NODE_15952_length_2183_cov_7.134378_g11627_i0.p1,ABCG,565,1,Present,Present,Present,__ABCG__NODE_15952_length_2183_cov_7.134378_g11627_i0.p1,__ABCG__NODE_15952_length_2183_cov_7.134378_g11627_i0.p1
__ABCG__NODE_17295_length_2012_cov_6.589147_g12680_i0.p1,ABCG,547,1,Present,Absent,Present,__ABCG__NODE_17295_length_2012_cov_6.589147_g12680_i0.p1,__ABCG__NODE_17295_length_2012_cov_6.589147_g12680_i0.p1
__ABCG__NODE_18337_length_1895_cov_2.764576_g13492_i0.p1,ABCG,600,1,Present,Present,Present,__ABCG__NODE_18337_length_1895_cov_2.764576_g13492_i0.p1,__ABCG__NODE_18337_length_1895_cov_2.764576_g13492_i0.p1
__ABCG__NODE_18680_length_1858_cov_8.008422_g13752_i0.p1,ABCG,581,1,Present,Present,Present,__ABCG__NODE_18680_length_1858_cov_8.008422_g13752_i0.p1,__ABCG__NODE_18680_length_1858_cov_8.008422_g13752_i0.p1
__ABCG__NODE_309_length_11137_cov_10.427125_g170_i0.p1,ABCG,673,1,Present,Present,Present,__ABCG__NODE_309_length_11137_cov_10.427125_g170_i0.p1,__ABCG__NODE_309_length_11137_cov_10.427125_g170_i0.p1
__ABCG__NODE_606_length_9503_cov_7.130808_g403_i0.p1,ABCG,628,2,Present,Present,Present,__ABCG__NODE_606_length_9503_cov_7.130808_g403_i0.p1,__ABCG__NODE_606_length_9503_cov_7.130808_g403_i0.p1
__ABCG__NODE_8361_length_3684_cov_5.042695_g5991_i0.p1,ABCG,506,1,Present,Absent,Present,__ABCG__NODE_8361_length_3684_cov_5.042695_g5991_i0.p1,__ABCG__NODE_8361_length_3684_cov_5.042695_g5991_i0.p1
