name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_24208_length_819_cov_1.974026_g20980_i0.p1,ABCA,273,1,Present,Present,Present,__ABCA__NODE_24208_length_819_cov_1.974026_g20980_i0.p1,__ABCA__NODE_24208_length_819_cov_1.974026_g20980_i0.p1
__ABCA__NODE_3166_length_2882_cov_2.868337_g2332_i0.p1,ABCA,953,2,Present,Present,Present,__ABCA__NODE_3166_length_2882_cov_2.868337_g2332_i0.p1,__ABCA__NODE_3166_length_2882_cov_2.868337_g2332_i0.p1
__ABCBH__NODE_17635_length_1032_cov_2.353001_g14873_i0.p1,ABCBH,302,1,Present,Present,Present,__ABCBAMG__NODE_17635_length_1032_cov_2.353001_g14873_i0.p1,__ABCBAMG__NODE_17635_length_1032_cov_2.353001_g14873_i0.p1
__ABCBF__NODE_13100_length_1276_cov_1.522412_g10789_i0.p1,ABCBF,425,1,Present,Present,Present,__ABCBF__NODE_13100_length_1276_cov_1.522412_g10789_i0.p1,__ABCBF__NODE_13100_length_1276_cov_1.522412_g10789_i0.p1
__ABCBF__NODE_13604_length_1241_cov_2.078020_g11246_i0.p1,ABCBF,413,1,Present,Absent,Present,__ABCBF__NODE_13604_length_1241_cov_2.078020_g11246_i0.p1,__ABCBF__NODE_13604_length_1241_cov_2.078020_g11246_i0.p1
__ABCBF__NODE_1501_length_3954_cov_6.360307_g1118_i0.p1,ABCBF,551,1,Present,Present,Present,__ABCBF__NODE_1501_length_3954_cov_6.360307_g1118_i0.p1,__ABCBF__NODE_1501_length_3954_cov_6.360307_g1118_i0.p1
__ABCBF__NODE_21829_length_885_cov_1.848086_g18754_i0.p1,ABCBF,294,1,Present,Present,Present,__ABCBF__NODE_21829_length_885_cov_1.848086_g18754_i0.p1,__ABCBF__NODE_21829_length_885_cov_1.848086_g18754_i0.p1
__ABCBF__NODE_581_length_5485_cov_6.577631_g407_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_581_length_5485_cov_6.577631_g407_i0.p1,__ABCBF__NODE_581_length_5485_cov_6.577631_g407_i0.p1
__ABCBH__NODE_4018_length_2559_cov_3.131873_g3019_i0.p1,ABCBH,611,1,Present,Present,Present,__ABCBH__NODE_4018_length_2559_cov_3.131873_g3019_i0.p1,__ABCBH__NODE_4018_length_2559_cov_3.131873_g3019_i0.p1
__ABCBH__NODE_9169_length_1593_cov_3.825130_g7357_i0.p1,ABCBH,261,1,Present,Present,Present,__ABCBH__NODE_9169_length_1593_cov_3.825130_g7357_i0.p1,__ABCBH__NODE_9169_length_1593_cov_3.825130_g7357_i0.p1
__ABCC__NODE_10201_length_1492_cov_2.544006_g8249_i0.p1,ABCC,387,1,Present,Present,Present,__ABCC__NODE_10201_length_1492_cov_2.544006_g8249_i0.p1,__ABCC__NODE_10201_length_1492_cov_2.544006_g8249_i0.p1
__ABCC__NODE_10687_length_1451_cov_3.274608_g8676_i0.p1,ABCC,483,1,Present,Present,Absent,__ABCC__NODE_10687_length_1451_cov_3.274608_g8676_i0.p1,__ABCC__NODE_10687_length_1451_cov_3.274608_g8676_i0.p1
__ABCC__NODE_21391_length_900_cov_1.445358_g18345_i0.p1,ABCC,300,1,Present,Present,Absent,__ABCC__NODE_21391_length_900_cov_1.445358_g18345_i0.p1,__ABCC__NODE_21391_length_900_cov_1.445358_g18345_i0.p1
