name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCBF__NODE_15922_length_1112_cov_3.323612_g12113_i0.p1,ABCBF,257,1,Absent,Present,Absent,__ABCBF__NODE_15922_length_1112_cov_3.323612_g12113_i0.p1,__ABCBF__NODE_15922_length_1112_cov_3.323612_g12113_i0.p1
__ABCC__NODE_11387_length_1525_cov_3.474255_g8393_i0.p1,ABCC,507,1,Present,Absent,Present,__ABCC__NODE_11387_length_1525_cov_3.474255_g8393_i0.p1,__ABCC__NODE_11387_length_1525_cov_3.474255_g8393_i0.p1
__ABCC__NODE_2139_length_4206_cov_8.676690_g1498_i0.p1,ABCC,348,1,Present,Present,Absent,__ABCC__NODE_2139_length_4206_cov_8.676690_g1498_i0.p1,__ABCC__NODE_2139_length_4206_cov_8.676690_g1498_i0.p1
__ABCC__NODE_5592_length_2577_cov_8.740902_g3998_i0.p1,ABCC,522,1,Present,Present,Absent,__ABCC__NODE_5592_length_2577_cov_8.740902_g3998_i0.p1,__ABCC__NODE_5592_length_2577_cov_8.740902_g3998_i0.p1
__ABCE__NODE_4559_length_2922_cov_34.676993_g3246_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4559_length_2922_cov_34.676993_g3246_i0.p1,__ABCE__NODE_4559_length_2922_cov_34.676993_g3246_i0.p1
__ABCE__NODE_9161_length_1814_cov_3.224929_g6711_i0.p1,ABCE,328,2,Present,Present,Present,__ABCE__NODE_9161_length_1814_cov_3.224929_g6711_i0.p1,__ABCE__NODE_9161_length_1814_cov_3.224929_g6711_i0.p1
__ABCF__NODE_2589_length_3890_cov_163.668055_g1822_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2589_length_3890_cov_163.668055_g1822_i0.p1,__ABCF__NODE_2589_length_3890_cov_163.668055_g1822_i0.p1
__ABCF__NODE_3646_length_3309_cov_12.936196_g2564_i0.p1,ABCF,983,3,Present,Present,Present,__ABCF__NODE_3646_length_3309_cov_12.936196_g2564_i0.p1,__ABCF__NODE_3646_length_3309_cov_12.936196_g2564_i0.p1
__ABCF__NODE_6631_length_2310_cov_8.099071_g4798_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_6631_length_2310_cov_8.099071_g4798_i0.p1,__ABCF__NODE_6631_length_2310_cov_8.099071_g4798_i0.p1
__ABCG__NODE_6512_length_2335_cov_13.883202_g4702_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_6512_length_2335_cov_13.883202_g4702_i0.p1,__ABCG__NODE_6512_length_2335_cov_13.883202_g4702_i0.p1
