name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_17118_length_2649_cov_4.493002_g11224_i0.p1,ABCA,883,1,Present,Present,Present,__ABCA__NODE_17118_length_2649_cov_4.493002_g11224_i0.p1,__ABCA__NODE_17118_length_2649_cov_4.493002_g11224_i0.p1
__ABCA__NODE_1746_length_7263_cov_23.824798_g1220_i0.p1,ABCA,729,1,Present,Present,Present,__ABCA__NODE_1746_length_7263_cov_23.824798_g1220_i0.p1,__ABCA__NODE_1746_length_7263_cov_23.824798_g1220_i0.p1
__ABCA__NODE_33648_length_1556_cov_2.198107_g22960_i0.p1,ABCA,518,1,Absent,Absent,Absent,__ABCA__NODE_33648_length_1556_cov_2.198107_g22960_i0.p1,__ABCA__NODE_33648_length_1556_cov_2.198107_g22960_i0.p1
__ABCA__NODE_34395_length_1524_cov_2.247408_g23512_i0.p1,ABCA,507,1,Absent,Absent,Absent,__ABCA__NODE_34395_length_1524_cov_2.247408_g23512_i0.p1,__ABCA__NODE_34395_length_1524_cov_2.247408_g23512_i0.p1
__ABCA__NODE_3993_length_5547_cov_3.545338_g2730_i0.p1,ABCA,1798,2,Absent,Absent,Absent,__ABCA__NODE_3993_length_5547_cov_3.545338_g2730_i0.p1,__ABCA__NODE_3993_length_5547_cov_3.545338_g2730_i0.p1
__ABCA__NODE_50309_length_1041_cov_1.978216_g36383_i0.p1,ABCA,347,1,Absent,Absent,Absent,__ABCA__NODE_50309_length_1041_cov_1.978216_g36383_i0.p1,__ABCA__NODE_50309_length_1041_cov_1.978216_g36383_i0.p1
__ABCA__NODE_58314_length_890_cov_0.927429_g43507_i0.p1,ABCA,296,1,Absent,Absent,Absent,__ABCA__NODE_58314_length_890_cov_0.927429_g43507_i0.p1,__ABCA__NODE_58314_length_890_cov_0.927429_g43507_i0.p1
__ABCA__NODE_5955_length_4705_cov_9.741357_g3985_i0.p1,ABCA,547,1,Absent,Absent,Absent,__ABCA__NODE_5955_length_4705_cov_9.741357_g3985_i0.p1,__ABCA__NODE_5955_length_4705_cov_9.741357_g3985_i0.p1
__ABCA__NODE_60500_length_853_cov_2.684278_g45494_i0.p1,ABCA,284,1,Absent,Absent,Absent,__ABCA__NODE_60500_length_853_cov_2.684278_g45494_i0.p1,__ABCA__NODE_60500_length_853_cov_2.684278_g45494_i0.p1
__ABCA__NODE_62055_length_829_cov_2.186170_g46915_i0.p1,ABCA,255,1,Absent,Absent,Absent,__ABCA__NODE_62055_length_829_cov_2.186170_g46915_i0.p1,__ABCA__NODE_62055_length_829_cov_2.186170_g46915_i0.p1
__ABCA__NODE_700_length_9203_cov_19.265505_g486_i0.p1,ABCA,1776,2,Absent,Absent,Absent,__ABCA__NODE_700_length_9203_cov_19.265505_g486_i0.p1,__ABCA__NODE_700_length_9203_cov_19.265505_g486_i0.p1
__ABCA__NODE_9824_length_3714_cov_2.916140_g6431_i0.p1,ABCA,1045,1,Absent,Absent,Absent,__ABCA__NODE_9824_length_3714_cov_2.916140_g6431_i0.p1,__ABCA__NODE_9824_length_3714_cov_2.916140_g6431_i0.p1
__ABCBF__NODE_11822_length_3342_cov_17.403982_g7734_i0.p1,ABCBF,640,1,Present,Present,Present,__ABCBF__NODE_11822_length_3342_cov_17.403982_g7734_i0.p1,__ABCBF__NODE_11822_length_3342_cov_17.403982_g7734_i0.p1
__ABCBF__NODE_2155_length_6805_cov_25.848395_g1491_i0.p1,ABCBF,1409,2,Present,Present,Present,__ABCBF__NODE_2155_length_6805_cov_25.848395_g1491_i0.p1,__ABCBF__NODE_2155_length_6805_cov_25.848395_g1491_i0.p1
__ABCBF__NODE_25196_length_1993_cov_1.539144_g16783_i0.p1,ABCBF,604,2,Absent,Absent,Present,__ABCBF__NODE_25196_length_1993_cov_1.539144_g16783_i0.p1,__ABCBF__NODE_25196_length_1993_cov_1.539144_g16783_i0.p1
__ABCBF__NODE_26168_length_1935_cov_2.156620_g17487_i0.p1,ABCBF,645,1,Absent,Absent,Absent,__ABCBF__NODE_26168_length_1935_cov_2.156620_g17487_i0.p1,__ABCBF__NODE_26168_length_1935_cov_2.156620_g17487_i0.p1
__ABCBF__NODE_33491_length_1563_cov_1.305518_g22833_i0.p1,ABCBF,520,1,Absent,Absent,Absent,__ABCBF__NODE_33491_length_1563_cov_1.305518_g22833_i0.p1,__ABCBF__NODE_33491_length_1563_cov_1.305518_g22833_i0.p1
__ABCBF__NODE_35814_length_1469_cov_1.505029_g24568_i0.p1,ABCBF,489,1,Absent,Absent,Absent,__ABCBF__NODE_35814_length_1469_cov_1.505029_g24568_i0.p1,__ABCBF__NODE_35814_length_1469_cov_1.505029_g24568_i0.p1
__ABCBF__NODE_38652_length_1365_cov_1.260870_g26761_i0.p1,ABCBF,454,1,Absent,Absent,Absent,__ABCBF__NODE_38652_length_1365_cov_1.260870_g26761_i0.p1,__ABCBF__NODE_38652_length_1365_cov_1.260870_g26761_i0.p1
__ABCBF__NODE_44273_length_1189_cov_2.298561_g31304_i0.p1,ABCBF,396,1,Absent,Absent,Absent,__ABCBF__NODE_44273_length_1189_cov_2.298561_g31304_i0.p1,__ABCBF__NODE_44273_length_1189_cov_2.298561_g31304_i0.p1
__ABCBF__NODE_45586_length_1155_cov_1.522263_g32387_i0.p1,ABCBF,385,1,Absent,Absent,Absent,__ABCBF__NODE_45586_length_1155_cov_1.522263_g32387_i0.p1,__ABCBF__NODE_45586_length_1155_cov_1.522263_g32387_i0.p1
__ABCBF__NODE_47989_length_1095_cov_2.464637_g34421_i0.p1,ABCBF,364,1,Absent,Absent,Absent,__ABCBF__NODE_47989_length_1095_cov_2.464637_g34421_i0.p1,__ABCBF__NODE_47989_length_1095_cov_2.464637_g34421_i0.p1
__ABCBF__NODE_52420_length_996_cov_1.860718_g38205_i0.p1,ABCBF,310,1,Absent,Absent,Absent,__ABCBF__NODE_52420_length_996_cov_1.860718_g38205_i0.p1,__ABCBF__NODE_52420_length_996_cov_1.860718_g38205_i0.p1
__ABCBF__NODE_59673_length_867_cov_2.027848_g44749_i0.p1,ABCBF,288,1,Absent,Absent,Absent,__ABCBF__NODE_59673_length_867_cov_2.027848_g44749_i0.p1,__ABCBF__NODE_59673_length_867_cov_2.027848_g44749_i0.p1
__ABCBH__NODE_1442_length_7683_cov_12.245859_g1016_i0.p1,ABCBH,611,1,Present,Present,Present,__ABCBH__NODE_1442_length_7683_cov_12.245859_g1016_i0.p1,__ABCBH__NODE_1442_length_7683_cov_12.245859_g1016_i0.p1
__ABCBH__NODE_22872_length_2147_cov_5.095652_g15163_i0.p1,ABCBH,700,1,Present,Present,Present,__ABCBH__NODE_22872_length_2147_cov_5.095652_g15163_i0.p1,__ABCBH__NODE_22872_length_2147_cov_5.095652_g15163_i0.p1
__ABCBH__NODE_27622_length_1850_cov_9.358150_g18539_i0.p1,ABCBH,366,1,Absent,Absent,Absent,__ABCBH__NODE_27622_length_1850_cov_9.358150_g18539_i0.p1,__ABCBH__NODE_27622_length_1850_cov_9.358150_g18539_i0.p1
__ABCBH__NODE_28046_length_1827_cov_5.045143_g18838_i0.p1,ABCBH,598,1,Absent,Absent,Absent,__ABCBH__NODE_28046_length_1827_cov_5.045143_g18838_i0.p1,__ABCBH__NODE_28046_length_1827_cov_5.045143_g18838_i0.p1
__ABCBH__NODE_60235_length_858_cov_2.094750_g45261_i0.p1,ABCBH,285,1,Absent,Absent,Absent,__ABCBH__NODE_60235_length_858_cov_2.094750_g45261_i0.p1,__ABCBH__NODE_60235_length_858_cov_2.094750_g45261_i0.p1
__ABCBH__NODE_66264_length_768_cov_2.968162_g50817_i0.p1,ABCBH,256,1,Absent,Absent,Absent,__ABCBH__NODE_66264_length_768_cov_2.968162_g50817_i0.p1,__ABCBH__NODE_66264_length_768_cov_2.968162_g50817_i0.p1
__ABCC__NODE_12932_length_3166_cov_15.412431_g2215_i2.p1,ABCC,382,1,Present,Present,Absent,__ABCC__NODE_12932_length_3166_cov_15.412431_g2215_i2.p1,__ABCC__NODE_12932_length_3166_cov_15.412431_g2215_i2.p1
__ABCC__NODE_14539_length_2943_cov_6.682484_g9527_i0.p1,ABCC,925,1,Present,Present,Present,__ABCC__NODE_14539_length_2943_cov_6.682484_g9527_i0.p1,__ABCC__NODE_14539_length_2943_cov_6.682484_g9527_i0.p1
__ABCC__NODE_22146_length_2198_cov_2.300802_g14636_i0.p1,ABCC,732,1,Present,Present,Present,__ABCC__NODE_22146_length_2198_cov_2.300802_g14636_i0.p1,__ABCC__NODE_22146_length_2198_cov_2.300802_g14636_i0.p1
__ABCC__NODE_2505_length_6513_cov_25.753418_g1737_i0.p1,ABCC,611,1,Present,Present,Absent,__ABCC__NODE_2505_length_6513_cov_25.753418_g1737_i0.p1,__ABCC__NODE_2505_length_6513_cov_25.753418_g1737_i0.p1
__ABCC__NODE_32362_length_1613_cov_2.453776_g22003_i0.p1,ABCC,537,1,Absent,Absent,Absent,__ABCC__NODE_32362_length_1613_cov_2.453776_g22003_i0.p1,__ABCC__NODE_32362_length_1613_cov_2.453776_g22003_i0.p1
__ABCC__NODE_43718_length_1204_cov_2.126886_g30858_i0.p1,ABCC,362,1,Absent,Absent,Absent,__ABCC__NODE_43718_length_1204_cov_2.126886_g30858_i0.p1,__ABCC__NODE_43718_length_1204_cov_2.126886_g30858_i0.p1
