name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_14310_length_784_cov_1.956463_g11962_i0.p1,ABCA,261,1,Absent,Present,Present,__ABCA__NODE_14310_length_784_cov_1.956463_g11962_i0.p1,__ABCA__NODE_14310_length_784_cov_1.956463_g11962_i0.p1
__ABCA__NODE_8250_length_1246_cov_2.528822_g6445_i0.p1,ABCA,414,2,Present,Present,Present,__ABCA__NODE_8250_length_1246_cov_2.528822_g6445_i0.p1,__ABCA__NODE_8250_length_1246_cov_2.528822_g6445_i0.p1
__ABCBF__NODE_13245_length_838_cov_2.585551_g10973_i0.p1,ABCBF,278,2,Present,Absent,Present,__ABCBF__NODE_13245_length_838_cov_2.585551_g10973_i0.p1,__ABCBF__NODE_13245_length_838_cov_2.585551_g10973_i0.p1
__ABCBH__NODE_12247_length_899_cov_2.365882_g10035_i0.p1,ABCBH,299,1,Present,Present,Present,__ABCBH__NODE_12247_length_899_cov_2.365882_g10035_i0.p1,__ABCBH__NODE_12247_length_899_cov_2.365882_g10035_i0.p1
__ABCC__NODE_10241_length_1040_cov_2.783047_g8212_i0.p1,ABCC,346,2,Present,Absent,Absent,__ABCC__NODE_10241_length_1040_cov_2.783047_g8212_i0.p1,__ABCC__NODE_10241_length_1040_cov_2.783047_g8212_i0.p1
__ABCC__NODE_9993_length_1063_cov_2.400394_g7994_i0.p1,ABCC,354,1,Present,Present,Present,__ABCC__NODE_9993_length_1063_cov_2.400394_g7994_i0.p1,__ABCC__NODE_9993_length_1063_cov_2.400394_g7994_i0.p1
__ABCD__NODE_8293_length_1241_cov_1.487416_g6482_i0.p1,ABCD,255,1,Present,Present,Present,__ABCD__NODE_8293_length_1241_cov_1.487416_g6482_i0.p1,__ABCD__NODE_8293_length_1241_cov_1.487416_g6482_i0.p1
__ABCE__NODE_2383_length_2892_cov_15.584242_g1696_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_2383_length_2892_cov_15.584242_g1696_i0.p1,__ABCE__NODE_2383_length_2892_cov_15.584242_g1696_i0.p1
__ABCF__NODE_1321_length_3906_cov_69.028520_g908_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_1321_length_3906_cov_69.028520_g908_i0.p1,__ABCF__NODE_1321_length_3906_cov_69.028520_g908_i0.p1
__ABCF__NODE_1887_length_3260_cov_6.971037_g1325_i0.p1,ABCF,982,3,Present,Present,Present,__ABCF__NODE_1887_length_3260_cov_6.971037_g1325_i0.p1,__ABCF__NODE_1887_length_3260_cov_6.971037_g1325_i0.p1
__ABCF__NODE_3446_length_2333_cov_6.122592_g2502_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_3446_length_2333_cov_6.122592_g2502_i0.p1,__ABCF__NODE_3446_length_2333_cov_6.122592_g2502_i0.p1
__ABCG__NODE_10169_length_1047_cov_2.652305_g8150_i0.p1,ABCG,291,1,Present,Present,Present,__ABCG__NODE_10169_length_1047_cov_2.652305_g8150_i0.p1,__ABCG__NODE_10169_length_1047_cov_2.652305_g8150_i0.p1
__ABCG__NODE_10195_length_1045_cov_2.171687_g8174_i0.p1,ABCG,348,1,Present,Absent,Absent,__ABCG__NODE_10195_length_1045_cov_2.171687_g8174_i0.p1,__ABCG__NODE_10195_length_1045_cov_2.171687_g8174_i0.p1
__ABCG__NODE_12392_length_889_cov_5.213095_g10169_i0.p1,ABCG,296,1,Present,Present,Present,__ABCG__NODE_12392_length_889_cov_5.213095_g10169_i0.p1,__ABCG__NODE_12392_length_889_cov_5.213095_g10169_i0.p1
__ABCG__NODE_3972_length_2129_cov_5.429327_g2925_i0.p1,ABCG,665,1,Present,Present,Present,__ABCG__NODE_3972_length_2129_cov_5.429327_g2925_i0.p1,__ABCG__NODE_3972_length_2129_cov_5.429327_g2925_i0.p1
