name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1201_length_5174_cov_10.313561_g865_i0.p1,ABCA,1172,2,Present,Present,Present,__ABCA__NODE_1201_length_5174_cov_10.313561_g865_i0.p1,__ABCA__NODE_1201_length_5174_cov_10.313561_g865_i0.p1
__ABCA__NODE_124_length_8633_cov_19.157852_g81_i0.p1,ABCA,1580,2,Present,Present,Present,__ABCA__NODE_124_length_8633_cov_19.157852_g81_i0.p1,__ABCA__NODE_124_length_8633_cov_19.157852_g81_i0.p1
__ABCA__NODE_3323_length_3609_cov_4.283989_g2370_i0.p1,ABCA,1083,2,Present,Present,Present,__ABCA__NODE_3323_length_3609_cov_4.283989_g2370_i0.p1,__ABCA__NODE_3323_length_3609_cov_4.283989_g2370_i0.p1
__ABCA__NODE_6068_length_2643_cov_11.877795_g4358_i0.p1,ABCA,870,1,Present,Present,Present,__ABCA__NODE_6068_length_2643_cov_11.877795_g4358_i0.p1,__ABCA__NODE_6068_length_2643_cov_11.877795_g4358_i0.p1
__ABCA__NODE_6607_length_2507_cov_10.270952_g4769_i0.p1,ABCA,823,1,Present,Present,Present,__ABCA__NODE_6607_length_2507_cov_10.270952_g4769_i0.p1,__ABCA__NODE_6607_length_2507_cov_10.270952_g4769_i0.p1
__ABCBF__NODE_25916_length_805_cov_1.580688_g20747_i0.p1,ABCBF,267,1,Absent,Present,Absent,__ABCBF__NODE_25916_length_805_cov_1.580688_g20747_i0.p1,__ABCBF__NODE_25916_length_805_cov_1.580688_g20747_i0.p1
__ABCBF__NODE_2795_length_3865_cov_18.187893_g1995_i0.p1,ABCBF,1158,2,Present,Present,Present,__ABCBF__NODE_2795_length_3865_cov_18.187893_g1995_i0.p1,__ABCBF__NODE_2795_length_3865_cov_18.187893_g1995_i0.p1
__ABCBF__NODE_2799_length_3863_cov_11.830100_g1999_i0.p1,ABCBF,1287,3,Present,Present,Present,__ABCBF__NODE_2799_length_3863_cov_11.830100_g1999_i0.p1,__ABCBF__NODE_2799_length_3863_cov_11.830100_g1999_i0.p1
__ABCBF__NODE_2854_length_3834_cov_6.643329_g2043_i0.p1,ABCBF,1278,2,Present,Present,Present,__ABCBF__NODE_2854_length_3834_cov_6.643329_g2043_i0.p1,__ABCBF__NODE_2854_length_3834_cov_6.643329_g2043_i0.p1
__ABCBH__NODE_2038_length_4364_cov_8.054461_g708_i3.p1,ABCBH,724,1,Present,Present,Present,__ABCBH__NODE_2038_length_4364_cov_8.054461_g708_i3.p1,__ABCBH__NODE_2038_length_4364_cov_8.054461_g708_i3.p1
__ABCBH__NODE_4745_length_3049_cov_11.861000_g3396_i0.p1,ABCBH,810,1,Present,Present,Present,__ABCBH__NODE_4745_length_3049_cov_11.861000_g3396_i0.p1,__ABCBH__NODE_4745_length_3049_cov_11.861000_g3396_i0.p1
__ABCBH__NODE_8535_length_2149_cov_6.509524_g6194_i0.p1,ABCBH,510,1,Present,Present,Present,__ABCBH__NODE_8535_length_2149_cov_6.509524_g6194_i0.p1,__ABCBH__NODE_8535_length_2149_cov_6.509524_g6194_i0.p1
__ABCC__NODE_16464_length_1270_cov_5.760033_g12495_i0.p1,ABCC,423,1,Present,Present,Absent,__ABCC__NODE_16464_length_1270_cov_5.760033_g12495_i0.p1,__ABCC__NODE_16464_length_1270_cov_5.760033_g12495_i0.p1
__ABCC__NODE_629_length_6179_cov_17.920718_g459_i0.p1,ABCC,1628,2,Present,Present,Present,__ABCC__NODE_629_length_6179_cov_17.920718_g459_i0.p1,__ABCC__NODE_629_length_6179_cov_17.920718_g459_i0.p1
__ABCC__NODE_7786_length_2279_cov_2.623318_g5646_i0.p1,ABCC,759,2,Present,Absent,Present,__ABCC__NODE_7786_length_2279_cov_2.623318_g5646_i0.p1,__ABCC__NODE_7786_length_2279_cov_2.623318_g5646_i0.p1
__ABCE__NODE_5700_length_2747_cov_44.164937_g4102_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5700_length_2747_cov_44.164937_g4102_i0.p1,__ABCE__NODE_5700_length_2747_cov_44.164937_g4102_i0.p1
__ABCF__NODE_19662_length_1066_cov_2.406096_g15204_i0.p1,ABCF,325,3,Present,Present,Present,__ABCF__NODE_19662_length_1066_cov_2.406096_g15204_i0.p1,__ABCF__NODE_19662_length_1066_cov_2.406096_g15204_i0.p1
__ABCF__NODE_2745_length_3893_cov_147.013007_g1959_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2745_length_3893_cov_147.013007_g1959_i0.p1,__ABCF__NODE_2745_length_3893_cov_147.013007_g1959_i0.p1
__ABCF__NODE_4015_length_3309_cov_12.008589_g2879_i0.p1,ABCF,980,2,Present,Present,Present,__ABCF__NODE_4015_length_3309_cov_12.008589_g2879_i0.p1,__ABCF__NODE_4015_length_3309_cov_12.008589_g2879_i0.p1
__ABCF__NODE_7511_length_2328_cov_10.523914_g5449_i0.p1,ABCF,692,2,Present,Present,Present,__ABCF__NODE_7511_length_2328_cov_10.523914_g5449_i0.p1,__ABCF__NODE_7511_length_2328_cov_10.523914_g5449_i0.p1
__ABCG__NODE_10074_length_1910_cov_18.405159_g7357_i0.p1,ABCG,588,1,Present,Present,Present,__ABCG__NODE_10074_length_1910_cov_18.405159_g7357_i0.p1,__ABCG__NODE_10074_length_1910_cov_18.405159_g7357_i0.p1
__ABCG__NODE_18928_length_1108_cov_4.161473_g14573_i0.p1,ABCG,368,2,Present,Present,Present,__ABCG__NODE_18928_length_1108_cov_4.161473_g14573_i0.p1,__ABCG__NODE_18928_length_1108_cov_4.161473_g14573_i0.p1
__ABCG__NODE_26726_length_778_cov_2.434842_g21496_i0.p1,ABCG,259,1,Present,Present,Present,__ABCG__NODE_26726_length_778_cov_2.434842_g21496_i0.p1,__ABCG__NODE_26726_length_778_cov_2.434842_g21496_i0.p1
__ABCG__NODE_3633_length_3461_cov_18.516999_g2593_i0.p1,ABCG,595,1,Present,Present,Present,__ABCG__NODE_3633_length_3461_cov_18.516999_g2593_i0.p1,__ABCG__NODE_3633_length_3461_cov_18.516999_g2593_i0.p1
__ABCG__NODE_6753_length_2477_cov_16.796952_g4871_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_6753_length_2477_cov_16.796952_g4871_i0.p1,__ABCG__NODE_6753_length_2477_cov_16.796952_g4871_i0.p1
__ABCG__NODE_8326_length_2184_cov_11.891335_g6040_i0.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_8326_length_2184_cov_11.891335_g6040_i0.p1,__ABCG__NODE_8326_length_2184_cov_11.891335_g6040_i0.p1
__ABCG__NODE_8638_length_2132_cov_4.857417_g6273_i0.p1,ABCG,707,1,Present,Present,Present,__ABCG__NODE_8638_length_2132_cov_4.857417_g6273_i0.p1,__ABCG__NODE_8638_length_2132_cov_4.857417_g6273_i0.p1
__ABCG__NODE_8653_length_2129_cov_8.301923_g6283_i0.p1,ABCG,701,1,Present,Present,Present,__ABCG__NODE_8653_length_2129_cov_8.301923_g6283_i0.p1,__ABCG__NODE_8653_length_2129_cov_8.301923_g6283_i0.p1
__ABCG__NODE_8995_length_2072_cov_7.973801_g6539_i0.p1,ABCG,564,1,Present,Present,Present,__ABCG__NODE_8995_length_2072_cov_7.973801_g6539_i0.p1,__ABCG__NODE_8995_length_2072_cov_7.973801_g6539_i0.p1
