name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_345_length_9461_cov_13.697089_g234_i0.p1,ABCA,1805,2,Present,Present,Present,__ABCA__NODE_345_length_9461_cov_13.697089_g234_i0.p1,__ABCA__NODE_345_length_9461_cov_13.697089_g234_i0.p1
__ABCA__NODE_4986_length_4020_cov_70.726014_g3235_i0.p1,ABCA,729,1,Present,Present,Present,__ABCA__NODE_4986_length_4020_cov_70.726014_g3235_i0.p1,__ABCA__NODE_4986_length_4020_cov_70.726014_g3235_i0.p1
__ABCBF__NODE_1291_length_6866_cov_20.239401_g874_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_1291_length_6866_cov_20.239401_g874_i0.p1,__ABCBF__NODE_1291_length_6866_cov_20.239401_g874_i0.p1
__ABCBH__NODE_13764_length_2016_cov_14.289781_g8882_i0.p1,ABCBH,352,1,Present,Present,Present,__ABCBH__NODE_13764_length_2016_cov_14.289781_g8882_i0.p1,__ABCBH__NODE_13764_length_2016_cov_14.289781_g8882_i0.p1
__ABCBH__NODE_14686_length_1903_cov_94.245415_g9497_i0.p1,ABCBH,360,1,Present,Present,Present,__ABCBH__NODE_14686_length_1903_cov_94.245415_g9497_i0.p1,__ABCBH__NODE_14686_length_1903_cov_94.245415_g9497_i0.p1
__ABCBH__NODE_2367_length_5599_cov_7.713694_g1567_i0.p1,ABCBH,441,1,Present,Present,Present,__ABCBH__NODE_2367_length_5599_cov_7.713694_g1567_i0.p1,__ABCBH__NODE_2367_length_5599_cov_7.713694_g1567_i0.p1
__ABCBH__NODE_3314_length_4861_cov_4.221945_g2166_i0.p1,ABCBH,721,1,Present,Present,Present,__ABCBH__NODE_3314_length_4861_cov_4.221945_g2166_i0.p1,__ABCBH__NODE_3314_length_4861_cov_4.221945_g2166_i0.p1
__ABCC__NODE_13813_length_2010_cov_3.656298_g8920_i0.p1,ABCC,596,1,Present,Present,Absent,__ABCC__NODE_13813_length_2010_cov_3.656298_g8920_i0.p1,__ABCC__NODE_13813_length_2010_cov_3.656298_g8920_i0.p1
__ABCC__NODE_2228_length_5753_cov_132.656557_g1479_i0.p1,ABCC,903,1,Present,Present,Present,__ABCC__NODE_2228_length_5753_cov_132.656557_g1479_i0.p1,__ABCC__NODE_2228_length_5753_cov_132.656557_g1479_i0.p1
__ABCC__NODE_2475_length_5502_cov_6.595635_g1639_i0.p1,ABCC,1474,2,Present,Present,Present,__ABCC__NODE_2475_length_5502_cov_6.595635_g1639_i0.p1,__ABCC__NODE_2475_length_5502_cov_6.595635_g1639_i0.p1
__ABCC__NODE_3046_length_5037_cov_12.659383_g2002_i0.p1,ABCC,1521,2,Present,Present,Present,__ABCC__NODE_3046_length_5037_cov_12.659383_g2002_i0.p1,__ABCC__NODE_3046_length_5037_cov_12.659383_g2002_i0.p1
__ABCD__NODE_12783_length_2145_cov_5.005725_g8247_i0.p1,ABCD,644,1,Absent,Present,Absent,__ABCD__NODE_12783_length_2145_cov_5.005725_g8247_i0.p1,__ABCD__NODE_12783_length_2145_cov_5.005725_g8247_i0.p1
__ABCD__NODE_30005_length_848_cov_1.847309_g21204_i0.p1,ABCD,266,1,Present,Absent,Present,__ABCD__NODE_30005_length_848_cov_1.847309_g21204_i0.p1,__ABCD__NODE_30005_length_848_cov_1.847309_g21204_i0.p1
__ABCD__NODE_6667_length_3404_cov_6.023547_g4319_i0.p1,ABCD,656,1,Present,Present,Present,__ABCD__NODE_6667_length_3404_cov_6.023547_g4319_i0.p1,__ABCD__NODE_6667_length_3404_cov_6.023547_g4319_i0.p1
__ABCE__NODE_9073_length_2778_cov_51.628069_g5838_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_9073_length_2778_cov_51.628069_g5838_i0.p1,__ABCE__NODE_9073_length_2778_cov_51.628069_g5838_i0.p1
__ABCF__NODE_10237_length_2545_cov_40.476362_g4455_i1.p1,ABCF,710,2,Present,Present,Present,__ABCF__NODE_10237_length_2545_cov_40.476362_g4455_i1.p1,__ABCF__NODE_10237_length_2545_cov_40.476362_g4455_i1.p1
__ABCF__NODE_11556_length_2329_cov_20.766228_g7457_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_11556_length_2329_cov_20.766228_g7457_i0.p1,__ABCF__NODE_11556_length_2329_cov_20.766228_g7457_i0.p1
__ABCF__NODE_4933_length_4038_cov_281.625219_g3204_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_4933_length_4038_cov_281.625219_g3204_i0.p1,__ABCF__NODE_4933_length_4038_cov_281.625219_g3204_i0.p1
__ABCF__NODE_6900_length_3327_cov_46.600061_g4455_i0.p1,ABCF,982,2,Present,Present,Present,__ABCF__NODE_6900_length_3327_cov_46.600061_g4455_i0.p1,__ABCF__NODE_6900_length_3327_cov_46.600061_g4455_i0.p1
__ABCG__NODE_11197_length_2386_cov_14.370988_g7204_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_11197_length_2386_cov_14.370988_g7204_i0.p1,__ABCG__NODE_11197_length_2386_cov_14.370988_g7204_i0.p1
__ABCG__NODE_12061_length_2248_cov_8.495680_g7204_i1.p1,ABCG,668,1,Present,Present,Present,__ABCG__NODE_12061_length_2248_cov_8.495680_g7204_i1.p1,__ABCG__NODE_12061_length_2248_cov_8.495680_g7204_i1.p1
__ABCG__NODE_3630_length_4654_cov_6.299457_g2370_i0.p1,ABCG,598,1,Present,Absent,Absent,__ABCG__NODE_3630_length_4654_cov_6.299457_g2370_i0.p1,__ABCG__NODE_3630_length_4654_cov_6.299457_g2370_i0.p1
__ABCG__NODE_3716_length_4596_cov_21.844513_g2432_i0.p1,ABCG,591,1,Present,Present,Present,__ABCG__NODE_3716_length_4596_cov_21.844513_g2432_i0.p1,__ABCG__NODE_3716_length_4596_cov_21.844513_g2432_i0.p1
__ABCG__NODE_5116_length_3955_cov_14.449309_g3313_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_5116_length_3955_cov_14.449309_g3313_i0.p1,__ABCG__NODE_5116_length_3955_cov_14.449309_g3313_i0.p1
__ABCG__NODE_8119_length_3004_cov_16.919459_g5243_i0.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_8119_length_3004_cov_16.919459_g5243_i0.p1,__ABCG__NODE_8119_length_3004_cov_16.919459_g5243_i0.p1
__ABCH__NODE_7113_length_3271_cov_4.324333_g4313_i1.p1,ABCH,746,1,Present,Present,Present,__ABCH__NODE_7113_length_3271_cov_4.324333_g4313_i1.p1,__ABCH__NODE_7113_length_3271_cov_4.324333_g4313_i1.p1
