name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1277_length_6900_cov_11.000730_g889_i0.p1,ABCA,1894,2,Present,Present,Present,__ABCA__NODE_1277_length_6900_cov_11.000730_g889_i0.p1,__ABCA__NODE_1277_length_6900_cov_11.000730_g889_i0.p1
__ABCA__NODE_33099_length_806_cov_3.151915_g24467_i0.p1,ABCA,268,1,Present,Present,Present,__ABCA__NODE_33099_length_806_cov_3.151915_g24467_i0.p1,__ABCA__NODE_33099_length_806_cov_3.151915_g24467_i0.p1
__ABCBF__NODE_1232_length_6959_cov_9.491606_g860_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_1232_length_6959_cov_9.491606_g860_i0.p1,__ABCBF__NODE_1232_length_6959_cov_9.491606_g860_i0.p1
__ABCBF__NODE_25230_length_1132_cov_2.973223_g17746_i0.p1,ABCBF,332,2,Present,Absent,Present,__ABCBF__NODE_25230_length_1132_cov_2.973223_g17746_i0.p1,__ABCBF__NODE_25230_length_1132_cov_2.973223_g17746_i0.p1
__ABCBF__NODE_31949_length_844_cov_2.884277_g23466_i0.p1,ABCBF,280,1,Present,Present,Present,__ABCBF__NODE_31949_length_844_cov_2.884277_g23466_i0.p1,__ABCBF__NODE_31949_length_844_cov_2.884277_g23466_i0.p1
__ABCBH__NODE_10827_length_2517_cov_27.099676_g7135_i0.p1,ABCBH,733,1,Present,Present,Present,__ABCBH__NODE_10827_length_2517_cov_27.099676_g7135_i0.p1,__ABCBH__NODE_10827_length_2517_cov_27.099676_g7135_i0.p1
__ABCBH__NODE_5277_length_3908_cov_13.265354_g3508_i0.p1,ABCBH,621,1,Present,Present,Present,__ABCBH__NODE_5277_length_3908_cov_13.265354_g3508_i0.p1,__ABCBH__NODE_5277_length_3908_cov_13.265354_g3508_i0.p1
__ABCC__NODE_1149_length_7092_cov_17.744143_g804_i0.p1,ABCC,1628,2,Present,Present,Present,__ABCC__NODE_1149_length_7092_cov_17.744143_g804_i0.p1,__ABCC__NODE_1149_length_7092_cov_17.744143_g804_i0.p1
__ABCC__NODE_14381_length_2013_cov_2.791752_g9552_i0.p1,ABCC,670,1,Present,Present,Absent,__ABCC__NODE_14381_length_2013_cov_2.791752_g9552_i0.p1,__ABCC__NODE_14381_length_2013_cov_2.791752_g9552_i0.p1
__ABCC__NODE_3154_length_4991_cov_5.687171_g2112_i0.p1,ABCC,1521,2,Present,Present,Present,__ABCC__NODE_3154_length_4991_cov_5.687171_g2112_i0.p1,__ABCC__NODE_3154_length_4991_cov_5.687171_g2112_i0.p1
__ABCC__NODE_549_length_8515_cov_8.545240_g396_i0.p1,ABCC,1544,2,Present,Present,Present,__ABCC__NODE_549_length_8515_cov_8.545240_g396_i0.p1,__ABCC__NODE_549_length_8515_cov_8.545240_g396_i0.p1
__ABCC__NODE_6722_length_3410_cov_6.461767_g4467_i0.p1,ABCC,1111,1,Present,Present,Present,__ABCC__NODE_6722_length_3410_cov_6.461767_g4467_i0.p1,__ABCC__NODE_6722_length_3410_cov_6.461767_g4467_i0.p1
__ABCC__NODE_7234_length_3275_cov_91.130192_g4785_i0.p1,ABCC,488,1,Present,Present,Absent,__ABCC__NODE_7234_length_3275_cov_91.130192_g4785_i0.p1,__ABCC__NODE_7234_length_3275_cov_91.130192_g4785_i0.p1
__ABCD__NODE_13096_length_2172_cov_3.970796_g8674_i0.p1,ABCD,651,1,Absent,Present,Absent,__ABCD__NODE_13096_length_2172_cov_3.970796_g8674_i0.p1,__ABCD__NODE_13096_length_2172_cov_3.970796_g8674_i0.p1
__ABCD__NODE_16472_length_1782_cov_2.692441_g11034_i0.p1,ABCD,586,1,Present,Present,Present,__ABCD__NODE_16472_length_1782_cov_2.692441_g11034_i0.p1,__ABCD__NODE_16472_length_1782_cov_2.692441_g11034_i0.p1
__ABCD__NODE_17150_length_1713_cov_3.106971_g11521_i0.p1,ABCD,395,1,Absent,Present,Absent,__ABCD__NODE_17150_length_1713_cov_3.106971_g11521_i0.p1,__ABCD__NODE_17150_length_1713_cov_3.106971_g11521_i0.p1
__ABCD__NODE_9832_length_2693_cov_5.034796_g6459_i0.p1,ABCD,656,1,Present,Present,Present,__ABCD__NODE_9832_length_2693_cov_5.034796_g6459_i0.p1,__ABCD__NODE_9832_length_2693_cov_5.034796_g6459_i0.p1
__ABCE__NODE_9597_length_2738_cov_66.635552_g6305_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_9597_length_2738_cov_66.635552_g6305_i0.p1,__ABCE__NODE_9597_length_2738_cov_66.635552_g6305_i0.p1
__ABCF__NODE_12110_length_2316_cov_21.476842_g8020_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_12110_length_2316_cov_21.476842_g8020_i0.p1,__ABCF__NODE_12110_length_2316_cov_21.476842_g8020_i0.p1
__ABCF__NODE_13580_length_2112_cov_6.110034_g8992_i0.p1,ABCF,412,1,Present,Present,Present,__ABCF__NODE_13580_length_2112_cov_6.110034_g8992_i0.p1,__ABCF__NODE_13580_length_2112_cov_6.110034_g8992_i0.p1
__ABCF__NODE_5272_length_3909_cov_274.666580_g3504_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_5272_length_3909_cov_274.666580_g3504_i0.p1,__ABCF__NODE_5272_length_3909_cov_274.666580_g3504_i0.p1
__ABCF__NODE_7625_length_3165_cov_29.886393_g5040_i0.p1,ABCF,621,2,Present,Present,Present,__ABCF__NODE_7625_length_3165_cov_29.886393_g5040_i0.p1,__ABCF__NODE_7625_length_3165_cov_29.886393_g5040_i0.p1
__ABCG__NODE_11220_length_2456_cov_19.705858_g7399_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_11220_length_2456_cov_19.705858_g7399_i0.p1,__ABCG__NODE_11220_length_2456_cov_19.705858_g7399_i0.p1
__ABCG__NODE_12008_length_2331_cov_11.938650_g7938_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_12008_length_2331_cov_11.938650_g7938_i0.p1,__ABCG__NODE_12008_length_2331_cov_11.938650_g7938_i0.p1
__ABCG__NODE_20243_length_1451_cov_3.182596_g13799_i0.p1,ABCG,483,1,Present,Absent,Absent,__ABCG__NODE_20243_length_1451_cov_3.182596_g13799_i0.p1,__ABCG__NODE_20243_length_1451_cov_3.182596_g13799_i0.p1
__ABCG__NODE_21777_length_1341_cov_1.884675_g15006_i0.p1,ABCG,369,1,Present,Absent,Present,__ABCG__NODE_21777_length_1341_cov_1.884675_g15006_i0.p1,__ABCG__NODE_21777_length_1341_cov_1.884675_g15006_i0.p1
__ABCG__NODE_25415_length_1122_cov_2.155638_g17895_i0.p1,ABCG,373,1,Present,Present,Present,__ABCG__NODE_25415_length_1122_cov_2.155638_g17895_i0.p1,__ABCG__NODE_25415_length_1122_cov_2.155638_g17895_i0.p1
__ABCG__NODE_5372_length_3869_cov_7.209686_g3566_i0.p1,ABCG,590,1,Present,Present,Present,__ABCG__NODE_5372_length_3869_cov_7.209686_g3566_i0.p1,__ABCG__NODE_5372_length_3869_cov_7.209686_g3566_i0.p1
__ABCG__NODE_5444_length_3841_cov_112.900580_g3617_i0.p1,ABCG,596,1,Present,Absent,Present,__ABCG__NODE_5444_length_3841_cov_112.900580_g3617_i0.p1,__ABCG__NODE_5444_length_3841_cov_112.900580_g3617_i0.p1
__ABCG__NODE_9352_length_2790_cov_4.348413_g6152_i0.p1,ABCG,698,1,Present,Present,Present,__ABCG__NODE_9352_length_2790_cov_4.348413_g6152_i0.p1,__ABCG__NODE_9352_length_2790_cov_4.348413_g6152_i0.p1
