name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1644_length_5471_cov_5.381409_g1141_i0.p1,ABCA,722,1,Present,Present,Present,__ABCA__NODE_1644_length_5471_cov_5.381409_g1141_i0.p1,__ABCA__NODE_1644_length_5471_cov_5.381409_g1141_i0.p1
__ABCA__NODE_18016_length_1245_cov_1.985786_g13374_i0.p1,ABCA,415,1,Present,Present,Present,__ABCA__NODE_18016_length_1245_cov_1.985786_g13374_i0.p1,__ABCA__NODE_18016_length_1245_cov_1.985786_g13374_i0.p1
__ABCA__NODE_2326_length_4783_cov_5.665822_g1633_i0.p1,ABCA,1460,2,Present,Present,Present,__ABCA__NODE_2326_length_4783_cov_5.665822_g1633_i0.p1,__ABCA__NODE_2326_length_4783_cov_5.665822_g1633_i0.p1
__ABCA__NODE_582_length_7571_cov_39.845121_g379_i0.p1,ABCA,498,1,Present,Present,Present,__ABCA__NODE_582_length_7571_cov_39.845121_g379_i0.p1,__ABCA__NODE_582_length_7571_cov_39.845121_g379_i0.p1
__ABCBF__NODE_797_length_6913_cov_21.485723_g531_i0.p1,ABCBF,1413,2,Present,Present,Present,__ABCBF__NODE_797_length_6913_cov_21.485723_g531_i0.p1,__ABCBF__NODE_797_length_6913_cov_21.485723_g531_i0.p1
__ABCBH__NODE_11621_length_1868_cov_2.885102_g8349_i0.p1,ABCBH,622,1,Absent,Present,Absent,__ABCBH__NODE_11621_length_1868_cov_2.885102_g8349_i0.p1,__ABCBH__NODE_11621_length_1868_cov_2.885102_g8349_i0.p1
__ABCBH__NODE_11761_length_1849_cov_5.625000_g8450_i0.p1,ABCBH,253,1,Present,Present,Present,__ABCBH__NODE_11761_length_1849_cov_5.625000_g8450_i0.p1,__ABCBH__NODE_11761_length_1849_cov_5.625000_g8450_i0.p1
__ABCBH__NODE_24402_length_898_cov_3.366313_g18836_i0.p1,ABCBH,278,1,Present,Present,Present,__ABCBH__NODE_24402_length_898_cov_3.366313_g18836_i0.p1,__ABCBH__NODE_24402_length_898_cov_3.366313_g18836_i0.p1
__ABCC__NODE_1815_length_5261_cov_32.353031_g1268_i0.p1,ABCC,1444,2,Present,Present,Present,__ABCC__NODE_1815_length_5261_cov_32.353031_g1268_i0.p1,__ABCC__NODE_1815_length_5261_cov_32.353031_g1268_i0.p1
__ABCC__NODE_2063_length_5015_cov_11.793798_g1444_i0.p1,ABCC,1521,2,Present,Present,Present,__ABCC__NODE_2063_length_5015_cov_11.793798_g1444_i0.p1,__ABCC__NODE_2063_length_5015_cov_11.793798_g1444_i0.p1
