name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1002_length_6635_cov_7.353022_g658_i1.p1,ABCA,1006,1,Present,Present,Present,__ABCA__NODE_1002_length_6635_cov_7.353022_g658_i1.p1,__ABCA__NODE_1002_length_6635_cov_7.353022_g658_i1.p1
__ABCA__NODE_280_length_9237_cov_43.436657_g205_i0.p1,ABCA,1213,2,Present,Present,Present,__ABCA__NODE_280_length_9237_cov_43.436657_g205_i0.p1,__ABCA__NODE_280_length_9237_cov_43.436657_g205_i0.p1
__ABCA__NODE_7726_length_2426_cov_6.260412_g5342_i0.p1,ABCA,808,1,Present,Present,Present,__ABCA__NODE_7726_length_2426_cov_6.260412_g5342_i0.p1,__ABCA__NODE_7726_length_2426_cov_6.260412_g5342_i0.p1
__ABCBF__NODE_19982_length_1060_cov_2.007913_g14965_i0.p1,ABCBF,353,1,Present,Present,Present,__ABCBF__NODE_19982_length_1060_cov_2.007913_g14965_i0.p1,__ABCBF__NODE_19982_length_1060_cov_2.007913_g14965_i0.p1
__ABCBF__NODE_864_length_6933_cov_11.074375_g580_i0.p1,ABCBF,1415,3,Present,Present,Present,__ABCBF__NODE_864_length_6933_cov_11.074375_g580_i0.p1,__ABCBF__NODE_864_length_6933_cov_11.074375_g580_i0.p1
__ABCBH__NODE_1585_length_5618_cov_16.089603_g1070_i0.p1,ABCBH,682,1,Present,Present,Present,__ABCBH__NODE_1585_length_5618_cov_16.089603_g1070_i0.p1,__ABCBH__NODE_1585_length_5618_cov_16.089603_g1070_i0.p1
__ABCBH__NODE_16193_length_1320_cov_1.423289_g11818_i0.p1,ABCBH,428,1,Present,Present,Present,__ABCBH__NODE_16193_length_1320_cov_1.423289_g11818_i0.p1,__ABCBH__NODE_16193_length_1320_cov_1.423289_g11818_i0.p1
__ABCBH__NODE_16802_length_1273_cov_2.786765_g12304_i0.p1,ABCBH,354,1,Present,Present,Present,__ABCBH__NODE_16802_length_1273_cov_2.786765_g12304_i0.p1,__ABCBH__NODE_16802_length_1273_cov_2.786765_g12304_i0.p1
__ABCC__NODE_1247_length_6155_cov_10.334753_g830_i0.p1,ABCC,1627,2,Present,Present,Present,__ABCC__NODE_1247_length_6155_cov_10.334753_g830_i0.p1,__ABCC__NODE_1247_length_6155_cov_10.334753_g830_i0.p1
__ABCC__NODE_1475_length_5772_cov_6.418137_g990_i0.p1,ABCC,1537,2,Present,Present,Present,__ABCC__NODE_1475_length_5772_cov_6.418137_g990_i0.p1,__ABCC__NODE_1475_length_5772_cov_6.418137_g990_i0.p1
__ABCC__NODE_2303_length_4810_cov_7.533921_g1555_i0.p1,ABCC,1493,2,Present,Present,Present,__ABCC__NODE_2303_length_4810_cov_7.533921_g1555_i0.p1,__ABCC__NODE_2303_length_4810_cov_7.533921_g1555_i0.p1
__ABCD__NODE_20368_length_1039_cov_1.942424_g15301_i0.p1,ABCD,345,1,Absent,Present,Absent,__ABCD__NODE_20368_length_1039_cov_1.942424_g15301_i0.p1,__ABCD__NODE_20368_length_1039_cov_1.942424_g15301_i0.p1
__ABCD__NODE_3616_length_3892_cov_8.969295_g2448_i0.p1,ABCD,797,1,Present,Present,Present,__ABCD__NODE_3616_length_3892_cov_8.969295_g2448_i0.p1,__ABCD__NODE_3616_length_3892_cov_8.969295_g2448_i0.p1
__ABCD__NODE_5202_length_3135_cov_4.589436_g3548_i0.p1,ABCD,656,1,Present,Present,Present,__ABCD__NODE_5202_length_3135_cov_4.589436_g3548_i0.p1,__ABCD__NODE_5202_length_3135_cov_4.589436_g3548_i0.p1
__ABCE__NODE_6479_length_2726_cov_40.614494_g4443_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_6479_length_2726_cov_40.614494_g4443_i0.p1,__ABCE__NODE_6479_length_2726_cov_40.614494_g4443_i0.p1
__ABCF__NODE_3288_length_4082_cov_204.123481_g2210_i0.p1,ABCF,625,2,Present,Present,Present,__ABCF__NODE_3288_length_4082_cov_204.123481_g2210_i0.p1,__ABCF__NODE_3288_length_4082_cov_204.123481_g2210_i0.p1
__ABCF__NODE_4792_length_3305_cov_22.413698_g3254_i0.p1,ABCF,970,3,Present,Present,Present,__ABCF__NODE_4792_length_3305_cov_22.413698_g3254_i0.p1,__ABCF__NODE_4792_length_3305_cov_22.413698_g3254_i0.p1
__ABCF__NODE_8132_length_2342_cov_12.474051_g5618_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_8132_length_2342_cov_12.474051_g5618_i0.p1,__ABCF__NODE_8132_length_2342_cov_12.474051_g5618_i0.p1
__ABCG__NODE_21373_length_986_cov_2.913554_g16190_i0.p1,ABCG,328,1,Present,Absent,Absent,__ABCG__NODE_21373_length_986_cov_2.913554_g16190_i0.p1,__ABCG__NODE_21373_length_986_cov_2.913554_g16190_i0.p1
__ABCG__NODE_2951_length_4320_cov_11.704285_g1980_i0.p1,ABCG,697,1,Present,Present,Present,__ABCG__NODE_2951_length_4320_cov_11.704285_g1980_i0.p1,__ABCG__NODE_2951_length_4320_cov_11.704285_g1980_i0.p1
__ABCG__NODE_9116_length_2166_cov_21.076051_g6325_i0.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_9116_length_2166_cov_21.076051_g6325_i0.p1,__ABCG__NODE_9116_length_2166_cov_21.076051_g6325_i0.p1
__ABCG__NODE_9157_length_2159_cov_7.041706_g5986_i1.p1,ABCG,661,1,Present,Present,Present,__ABCG__NODE_9157_length_2159_cov_7.041706_g5986_i1.p1,__ABCG__NODE_9157_length_2159_cov_7.041706_g5986_i1.p1
__ABCH__NODE_4743_length_3329_cov_6.707317_g3215_i0.p1,ABCH,746,1,Present,Present,Present,__ABCH__NODE_4743_length_3329_cov_6.707317_g3215_i0.p1,__ABCH__NODE_4743_length_3329_cov_6.707317_g3215_i0.p1
