GHHK01014718.1|:1-2064(+)
GHHK01011502.1|:3-539(+)
GHHK01015924.1|:81-710(+)
GHHK01012521.1|:119-1207(+)
GHHK01021468.1|:50-1309(+)
GHHK01000363.1|:2-346(-)
GHHK01009840.1|:34-1404(+)
GHHK01018565.1|:3-638(+)
GHHK01013961.1|:93-695(+)
GHHK01006680.1|:273-647(+)
GHHK01010638.1|:203-706(+)
GHHK01018114.1|:153-1346(+)
GHHK01018646.1|:506-2317(+)
GHHK01008544.1|:94-864(+)
GHHK01004826.1|:61-1314(+)
GHHK01005045.1|:173-658(+)
GHHK01020490.1|:82-867(+)
GHHK01005047.1|:127-2004(+)
GHHK01007079.1|:113-691(+)
GHHK01017006.1|:117-4220(+)
GHHK01001130.1|:376-4479(+)
GHHK01008216.1|:2-400(+)
GHHK01000693.1|:1-1260(+)
GHHK01015939.1|:125-1705(+)
GHHK01017522.1|:1-315(+)
GHHK01022637.1|:3-884(+)
GHHK01016900.1|:172-1620(+)
GHHK01011563.1|:112-474(+)
GHHK01005730.1|:2-1609(+)
GHHK01012674.1|:70-807(+)
GHHK01019927.1|:2-1417(+)
GHHK01016451.1|:3-497(+)
GHHK01020639.1|:97-1515(+)
GHHK01008245.1|:2-799(+)
GHHK01000641.1|:3-2609(+)
GHHK01020245.1|:61-957(+)
GHHK01007396.1|:555-4331(+)
GHHK01005903.1|:179-1510(+)
GHHK01010237.1|:2-1351(+)
GHHK01005263.1|:97-813(+)
GHHK01013677.1|:1-306(+)
GHHK01005070.1|:1-1632(+)
GHHK01011979.1|:3-6362(+)
GHHK01009504.1|:2-1396(-)
GHHK01029156.1|:39-395(+)
GHHK01022242.1|:1-357(+)
GHHK01019164.1|:219-1649(+)
GHHK01026767.1|:3-2312(+)
GHHK01001040.1|:146-1243(+)
GHHK01019904.1|:61-984(+)
GHHK01012688.1|:100-1644(+)
GHHK01014812.1|:93-974(+)
GHHK01030119.1|:100-819(+)
GHHK01019316.1|:1-4449(+)
GHHK01007756.1|:209-1855(+)
GHHK01015970.1|:3-776(+)
GHHK01009296.1|:1-408(+)
GHHK01027171.1|:1355-7531(+)
GHHK01014800.1|:138-2426(+)
GHHK01017061.1|:38-1294(+)
GHHK01013694.1|:29-2302(+)
GHHK01016947.1|:241-1980(+)
GHHK01013382.1|:288-12098(+)
GHHK01003455.1|:3-662(+)
GHHK01006939.1|:1-1302(+)
GHHK01021786.1|:1-414(+)
GHHK01013049.1|:362-1717(+)
GHHK01016483.1|:97-939(+)
GHHK01005077.1|:213-2099(+)
GHHK01002904.1|:94-657(+)
GHHK01010896.1|:166-2913(+)
GHHK01018731.1|:63-1130(+)
GHHK01001162.1|:2-1342(+)
GHHK01006781.1|:108-1175(+)
GHHK01014156.1|:124-921(+)
GHHK01002335.1|:28-423(+)
GHHK01019770.1|:149-781(+)
GHHK01005869.1|:3-323(+)
GHHK01027326.1|:124-1635(+)
GHHK01000700.1|:69-839(+)
GHHK01029865.1|:3-428(-)
GHHK01017559.1|:130-1275(+)
GHHK01005476.1|:155-757(+)
GHHK01018663.1|:2-400(+)
GHHK01019246.1|:26-697(+)
GHHK01018694.1|:1-1113(+)
GHHK01014434.1|:2-1000(+)
GHHK01016206.1|:3-722(+)
GHHK01005233.1|:108-1823(+)
GHHK01012463.1|:2-3115(+)
GHHK01017292.1|:198-1049(+)
GHHK01002053.1|:112-1209(+)
GHHK01009198.1|:215-3286(+)
GHHK01004946.1|:667-2835(+)
GHHK01015875.1|:133-1080(+)
GHHK01010552.1|:97-1740(+)
GHHK01000357.1|:3-440(+)
GHHK01015168.1|:104-1753(+)
GHHK01009653.1|:44-862(+)
GHHK01009154.1|:135-1325(+)
K1C9_HUMAN
GHHK01019869.1|:63-1292(+)
GHHK01027651.1|:2-544(+)
GHHK01010164.1|:157-1803(+)
GHHK01019058.1|:112-1365(+)
GHHK01007576.1|:119-442(+)
GHHK01017844.1|:39-1424(+)
GHHK01013395.1|:374-1990(+)
GHHK01013436.1|:2-475(+)
GHHK01018769.1|:111-521(+)
GHHK01017039.1|:86-3184(+)
GHHK01014637.1|:561-1829(+)
GHHK01011707.1|:104-2908(+)
GHHK01029860.1|:2-1177(+)
GHHK01018098.1|:93-1694(+)
GHHK01008782.1|:1-1632(+)
GHHK01009146.1|:47-1468(+)
GHHK01022432.1|:1-402(+)
GHHK01008743.1|:162-911(+)
GHHK01020646.1|:86-1732(+)
GHHK01011939.1|:182-3322(+)
GHHK01009749.1|:150-1208(+)
GHHK01007258.1|:2-1894(+)
GHHK01001303.1|:51-1286(+)
GHHK01012914.1|:1-765(+)
GHHK01007559.1|:2-1216(+)
GHHK01008839.1|:83-1648(+)
GHHK01007843.1|:3-500(+)
GHHK01014454.1|:1-810(+)
GHHK01002449.1|:654-1718(+)
GHHK01014985.1|:503-3958(+)
GHHK01004467.1|:1-759(+)
GHHK01027508.1|:157-1110(+)
GHHK01026650.1|:45-710(+)
GHHK01011646.1|:3-314(+)
GHHK01000734.1|:148-2253(+)
GHHK01017548.1|:84-1229(+)
GHHK01017479.1|:60-1724(+)
GHHK01012324.1|:160-1104(+)
GHHK01009679.1|:114-779(+)
GHHK01021185.1|:1-321(+)
GHHK01013689.1|:145-798(+)
GHHK01000102.1|:231-1691(+)
GHHK01022798.1|:124-588(+)
GHHK01027616.1|:156-1334(+)
GHHK01006932.1|:154-1773(+)
GHHK01008324.1|:251-1447(+)
GHHK01018347.1|:1-2256(+)
GHHK01001037.1|:3-500(+)
GHHK01009733.1|:133-510(+)
GHHK01020758.1|:1-426(+)
GHHK01011286.1|:1-1002(+)
GHHK01008811.1|:155-5545(+)
GHHK01026802.1|:184-2271(+)
GHHK01009951.1|:83-2470(+)
GHHK01017078.1|:306-8483(+)
GHHK01016455.1|:248-1243(+)
GHHK01006699.1|:47-1249(+)
GHHK01010389.1|:111-1529(+)
GHHK01015711.1|:3-2231(+)
GHHK01004492.1|:1-957(+)
GHHK01026821.1|:91-1377(+)
GHHK01016636.1|:158-1183(+)
GHHK01016732.1|:555-1991(+)
GHHK01004771.1|:131-1831(+)
GHHK01014185.1|:1-636(+)
GHHK01013600.1|:2-1108(+)
GHHK01016987.1|:107-847(+)
GHHK01005524.1|:3-827(+)
GHHK01000360.1|:1-567(+)
GHHK01021519.1|:3-869(+)
GHHK01000752.1|:147-539(+)
GHHK01004888.1|:392-1675(+)
GHHK01012320.1|:120-1535(+)
GHHK01005393.1|:77-1870(+)
GHHK01004264.1|:2-1087(+)
GHHK01018910.1|:202-858(+)
GHHK01007959.1|:120-1997(+)
GHHK01004991.1|:46-540(+)
GHHK01011524.1|:3-1475(+)
GHHK01008914.1|:109-1002(+)
GHHK01026820.1|:1-1029(+)
GHHK01013454.1|:32-1759(+)
GHHK01005444.1|:2-667(+)
GHHK01025402.1|:69-788(+)
GHHK01014367.1|:145-804(+)
GHHK01006057.1|:352-1200(+)
GHHK01010146.1|:3-410(-)
GHHK01013224.1|:67-636(+)
GHHK01013072.1|:76-519(+)
KCRM_HUMAN
GHHK01014655.1|:132-1709(+)
GHHK01007633.1|:154-2034(+)
GHHK01007387.1|:2-967(+)
GHHK01009795.1|:123-740(+)
GHHK01017371.1|:94-1284(+)
