name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_5534_length_1997_cov_4.892710_g4139_i0.p1,ABCA,455,1,Present,Present,Present,__ABCA__NODE_5534_length_1997_cov_4.892710_g4139_i0.p1,__ABCA__NODE_5534_length_1997_cov_4.892710_g4139_i0.p1
__ABCBF__NODE_256_length_6807_cov_16.718112_g172_i0.p1,ABCBF,1413,3,Present,Present,Present,__ABCBF__NODE_256_length_6807_cov_16.718112_g172_i0.p1,__ABCBF__NODE_256_length_6807_cov_16.718112_g172_i0.p1
__ABCBH__NODE_15016_length_789_cov_2.751351_g12154_i0.p1,ABCBH,262,1,Absent,Present,Absent,__ABCBH__NODE_15016_length_789_cov_2.751351_g12154_i0.p1,__ABCBH__NODE_15016_length_789_cov_2.751351_g12154_i0.p1
__ABCC__NODE_10237_length_1200_cov_4.816681_g7906_i0.p1,ABCC,396,1,Present,Present,Absent,__ABCC__NODE_10237_length_1200_cov_4.816681_g7906_i0.p1,__ABCC__NODE_10237_length_1200_cov_4.816681_g7906_i0.p1
__ABCC__NODE_14204_length_838_cov_2.455006_g11404_i0.p1,ABCC,279,2,Present,Present,Present,__ABCC__NODE_14204_length_838_cov_2.455006_g11404_i0.p1,__ABCC__NODE_14204_length_838_cov_2.455006_g11404_i0.p1
__ABCC__NODE_3756_length_2551_cov_2.730216_g2758_i0.p1,ABCC,741,1,Present,Present,Present,__ABCC__NODE_3756_length_2551_cov_2.730216_g2758_i0.p1,__ABCC__NODE_3756_length_2551_cov_2.730216_g2758_i0.p1
__ABCC__NODE_4101_length_2431_cov_3.437448_g3021_i0.p1,ABCC,281,1,Present,Present,Absent,__ABCC__NODE_4101_length_2431_cov_3.437448_g3021_i0.p1,__ABCC__NODE_4101_length_2431_cov_3.437448_g3021_i0.p1
__ABCD__NODE_10296_length_1194_cov_2.267249_g7955_i0.p1,ABCD,289,1,Present,Present,Present,__ABCD__NODE_10296_length_1194_cov_2.267249_g7955_i0.p1,__ABCD__NODE_10296_length_1194_cov_2.267249_g7955_i0.p1
__ABCD__NODE_4626_length_2235_cov_2.223239_g3436_i0.p1,ABCD,323,1,Present,Present,Present,__ABCD__NODE_4626_length_2235_cov_2.223239_g3436_i0.p1,__ABCD__NODE_4626_length_2235_cov_2.223239_g3436_i0.p1
__ABCE__NODE_3288_length_2744_cov_24.931725_g2401_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_3288_length_2744_cov_24.931725_g2401_i0.p1,__ABCE__NODE_3288_length_2744_cov_24.931725_g2401_i0.p1
__ABCF__NODE_1547_length_3900_cov_80.818489_g1107_i0.p1,ABCF,653,2,Present,Present,Present,__ABCF__NODE_1547_length_3900_cov_80.818489_g1107_i0.p1,__ABCF__NODE_1547_length_3900_cov_80.818489_g1107_i0.p1
__ABCF__NODE_3396_length_2701_cov_7.635370_g2483_i0.p1,ABCF,802,2,Present,Present,Present,__ABCF__NODE_3396_length_2701_cov_7.635370_g2483_i0.p1,__ABCF__NODE_3396_length_2701_cov_7.635370_g2483_i0.p1
__ABCF__NODE_4388_length_2322_cov_5.010559_g3249_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_4388_length_2322_cov_5.010559_g3249_i0.p1,__ABCF__NODE_4388_length_2322_cov_5.010559_g3249_i0.p1
__ABCG__NODE_2078_length_3445_cov_16.530624_g1497_i0.p1,ABCG,693,1,Present,Present,Present,__ABCG__NODE_2078_length_3445_cov_16.530624_g1497_i0.p1,__ABCG__NODE_2078_length_3445_cov_16.530624_g1497_i0.p1
__ABCG__NODE_4816_length_2185_cov_17.950375_g3594_i0.p1,ABCG,660,1,Present,Present,Present,__ABCG__NODE_4816_length_2185_cov_17.950375_g3594_i0.p1,__ABCG__NODE_4816_length_2185_cov_17.950375_g3594_i0.p1
__ABCG__NODE_936_length_4729_cov_4.792094_g665_i0.p1,ABCG,575,1,Present,Absent,Absent,__ABCG__NODE_936_length_4729_cov_4.792094_g665_i0.p1,__ABCG__NODE_936_length_4729_cov_4.792094_g665_i0.p1
__ABCH__NODE_7977_length_1504_cov_3.539519_g6054_i0.p1,ABCH,447,1,Present,Present,Present,__ABCH__NODE_7977_length_1504_cov_3.539519_g6054_i0.p1,__ABCH__NODE_7977_length_1504_cov_3.539519_g6054_i0.p1
