name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCBF__NODE_669_length_5544_cov_6.282439_g469_i0.p1,ABCBF,1008,2,Present,Present,Present,__ABCBF__NODE_669_length_5544_cov_6.282439_g469_i0.p1,__ABCBF__NODE_669_length_5544_cov_6.282439_g469_i0.p1
__ABCBH__NODE_17881_length_1038_cov_2.015167_g12302_i0.p1,ABCBH,345,1,Absent,Present,Present,__ABCBH__NODE_17881_length_1038_cov_2.015167_g12302_i0.p1,__ABCBH__NODE_17881_length_1038_cov_2.015167_g12302_i0.p1
__ABCC__NODE_6231_length_2463_cov_4.048053_g4213_i0.p1,ABCC,591,1,Present,Present,Absent,__ABCC__NODE_6231_length_2463_cov_4.048053_g4213_i0.p1,__ABCC__NODE_6231_length_2463_cov_4.048053_g4213_i0.p1
__ABCC__NODE_708_length_5475_cov_11.827866_g499_i0.p1,ABCC,1308,2,Present,Present,Present,__ABCC__NODE_708_length_5475_cov_11.827866_g499_i0.p1,__ABCC__NODE_708_length_5475_cov_11.827866_g499_i0.p1
__ABCC__NODE_999_length_5002_cov_6.777912_g694_i0.p1,ABCC,1154,2,Present,Present,Present,__ABCC__NODE_999_length_5002_cov_6.777912_g694_i0.p1,__ABCC__NODE_999_length_5002_cov_6.777912_g694_i0.p1
__ABCD__NODE_1435_length_4492_cov_9.744317_g990_i0.p1,ABCD,656,1,Present,Present,Present,__ABCD__NODE_1435_length_4492_cov_9.744317_g990_i0.p1,__ABCD__NODE_1435_length_4492_cov_9.744317_g990_i0.p1
__ABCE__NODE_5126_length_2741_cov_37.890788_g3469_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5126_length_2741_cov_37.890788_g3469_i0.p1,__ABCE__NODE_5126_length_2741_cov_37.890788_g3469_i0.p1
__ABCF__NODE_2166_length_3932_cov_142.212465_g1485_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2166_length_3932_cov_142.212465_g1485_i0.p1,__ABCF__NODE_2166_length_3932_cov_142.212465_g1485_i0.p1
__ABCF__NODE_2871_length_3547_cov_21.046026_g1950_i0.p1,ABCF,601,3,Present,Present,Present,__ABCF__NODE_2871_length_3547_cov_21.046026_g1950_i0.p1,__ABCF__NODE_2871_length_3547_cov_21.046026_g1950_i0.p1
__ABCF__NODE_6793_length_2340_cov_14.919686_g4585_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_6793_length_2340_cov_14.919686_g4585_i0.p1,__ABCF__NODE_6793_length_2340_cov_14.919686_g4585_i0.p1
__ABCG__NODE_2220_length_3901_cov_32.250519_g1521_i0.p1,ABCG,677,1,Present,Present,Present,__ABCG__NODE_2220_length_3901_cov_32.250519_g1521_i0.p1,__ABCG__NODE_2220_length_3901_cov_32.250519_g1521_i0.p1
__ABCG__NODE_6888_length_2320_cov_7.665346_g4647_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_6888_length_2320_cov_7.665346_g4647_i0.p1,__ABCG__NODE_6888_length_2320_cov_7.665346_g4647_i0.p1
__ABCG__NODE_7346_length_2230_cov_16.402568_g4957_i0.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_7346_length_2230_cov_16.402568_g4957_i0.p1,__ABCG__NODE_7346_length_2230_cov_16.402568_g4957_i0.p1
