name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1113_length_5399_cov_5.152150_g715_i0.p1,ABCA,1455,2,Present,Present,Present,__ABCA__NODE_1113_length_5399_cov_5.152150_g715_i0.p1,__ABCA__NODE_1113_length_5399_cov_5.152150_g715_i0.p1
__ABCA__NODE_13581_length_1580_cov_2.212280_g8319_i0.p1,ABCA,500,1,Present,Present,Present,__ABCA__NODE_13581_length_1580_cov_2.212280_g8319_i0.p1,__ABCA__NODE_13581_length_1580_cov_2.212280_g8319_i0.p1
__ABCBF__NODE_13274_length_1610_cov_3.018578_g8126_i0.p1,ABCBF,516,2,Present,Present,Present,__ABCBF__NODE_13274_length_1610_cov_3.018578_g8126_i0.p1,__ABCBF__NODE_13274_length_1610_cov_3.018578_g8126_i0.p1
__ABCBF__NODE_22526_length_952_cov_2.087486_g14670_i0.p1,ABCBF,317,1,Present,Present,Present,__ABCBF__NODE_22526_length_952_cov_2.087486_g14670_i0.p1,__ABCBF__NODE_22526_length_952_cov_2.087486_g14670_i0.p1
__ABCBF__NODE_455_length_7039_cov_13.804292_g302_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_455_length_7039_cov_13.804292_g302_i0.p1,__ABCBF__NODE_455_length_7039_cov_13.804292_g302_i0.p1
__ABCBH__NODE_13580_length_1580_cov_2.323318_g8318_i0.p1,ABCBH,267,1,Present,Present,Present,__ABCBH__NODE_13580_length_1580_cov_2.323318_g8318_i0.p1,__ABCBH__NODE_13580_length_1580_cov_2.323318_g8318_i0.p1
__ABCBH__NODE_3868_length_3406_cov_3.397081_g2410_i0.p1,ABCBH,737,1,Present,Present,Present,__ABCBH__NODE_3868_length_3406_cov_3.397081_g2410_i0.p1,__ABCBH__NODE_3868_length_3406_cov_3.397081_g2410_i0.p1
__ABCBH__NODE_5168_length_2982_cov_3.183771_g3170_i0.p1,ABCBH,802,1,Present,Present,Present,__ABCBH__NODE_5168_length_2982_cov_3.183771_g3170_i0.p1,__ABCBH__NODE_5168_length_2982_cov_3.183771_g3170_i0.p1
__ABCBH__NODE_9878_length_2015_cov_149.402340_g4950_i1.p1,ABCBH,630,1,Present,Present,Present,__ABCBH__NODE_9878_length_2015_cov_149.402340_g4950_i1.p1,__ABCBH__NODE_9878_length_2015_cov_149.402340_g4950_i1.p1
__ABCC__NODE_196_length_8415_cov_79.904733_g121_i1.p1,ABCC,1466,2,Present,Present,Present,__ABCC__NODE_196_length_8415_cov_79.904733_g121_i1.p1,__ABCC__NODE_196_length_8415_cov_79.904733_g121_i1.p1
__ABCC__NODE_22072_length_973_cov_4.847403_g14319_i0.p1,ABCC,306,1,Present,Present,Absent,__ABCC__NODE_22072_length_973_cov_4.847403_g14319_i0.p1,__ABCC__NODE_22072_length_973_cov_4.847403_g14319_i0.p1
__ABCC__NODE_6849_length_2554_cov_3.060679_g4130_i0.p1,ABCC,851,1,Present,Present,Present,__ABCC__NODE_6849_length_2554_cov_3.060679_g4130_i0.p1,__ABCC__NODE_6849_length_2554_cov_3.060679_g4130_i0.p1
__ABCC__NODE_7231_length_2474_cov_2.828454_g4367_i0.p1,ABCC,457,1,Present,Present,Absent,__ABCC__NODE_7231_length_2474_cov_2.828454_g4367_i0.p1,__ABCC__NODE_7231_length_2474_cov_2.828454_g4367_i0.p1
__ABCD__NODE_12037_length_1743_cov_3.606848_g7358_i0.p1,ABCD,337,1,Present,Present,Present,__ABCD__NODE_12037_length_1743_cov_3.606848_g7358_i0.p1,__ABCD__NODE_12037_length_1743_cov_3.606848_g7358_i0.p1
__ABCE__NODE_4247_length_3263_cov_92.818917_g2175_i1.p2,ABCE,444,2,Present,Present,Present,__ABCE__NODE_4247_length_3263_cov_92.818917_g2175_i1.p2,__ABCE__NODE_4247_length_3263_cov_92.818917_g2175_i1.p2
__ABCE__NODE_4709_length_3116_cov_44.583306_g2914_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4709_length_3116_cov_44.583306_g2914_i0.p1,__ABCE__NODE_4709_length_3116_cov_44.583306_g2914_i0.p1
__ABCF__NODE_1996_length_4453_cov_203.910990_g1264_i0.p1,ABCF,480,3,Present,Present,Absent,__ABCF__NODE_1996_length_4453_cov_203.910990_g1264_i0.p1,__ABCF__NODE_1996_length_4453_cov_203.910990_g1264_i0.p1
__ABCF__NODE_2818_length_3897_cov_182.958940_g1764_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2818_length_3897_cov_182.958940_g1764_i0.p1,__ABCF__NODE_2818_length_3897_cov_182.958940_g1764_i0.p1
__ABCF__NODE_4154_length_3296_cov_19.253465_g2570_i0.p1,ABCF,981,2,Present,Present,Present,__ABCF__NODE_4154_length_3296_cov_19.253465_g2570_i0.p1,__ABCF__NODE_4154_length_3296_cov_19.253465_g2570_i0.p1
__ABCF__NODE_7012_length_2518_cov_304.017416_g4229_i0.p2,ABCF,279,1,Present,Absent,Present,__ABCF__NODE_7012_length_2518_cov_304.017416_g4229_i0.p2,__ABCF__NODE_7012_length_2518_cov_304.017416_g4229_i0.p2
__ABCF__NODE_8163_length_2295_cov_7.001781_g4942_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_8163_length_2295_cov_7.001781_g4942_i0.p1,__ABCF__NODE_8163_length_2295_cov_7.001781_g4942_i0.p1
__ABCF__NODE_8170_length_2293_cov_150.861854_g4945_i0.p1,ABCF,736,2,Present,Present,Present,__ABCF__NODE_8170_length_2293_cov_150.861854_g4945_i0.p1,__ABCF__NODE_8170_length_2293_cov_150.861854_g4945_i0.p1
__ABCF__NODE_8371_length_2257_cov_348.807971_g4229_i1.p1,ABCF,710,2,Present,Present,Present,__ABCF__NODE_8371_length_2257_cov_348.807971_g4229_i1.p1,__ABCF__NODE_8371_length_2257_cov_348.807971_g4229_i1.p1
__ABCF__NODE_9700_length_2045_cov_282.972445_g1448_i5.p1,ABCF,635,2,Present,Present,Present,__ABCF__NODE_9700_length_2045_cov_282.972445_g1448_i5.p1,__ABCF__NODE_9700_length_2045_cov_282.972445_g1448_i5.p1
__ABCF__NODE_9708_length_2043_cov_393.041123_g4229_i2.p1,ABCF,617,2,Present,Present,Present,__ABCF__NODE_9708_length_2043_cov_393.041123_g4229_i2.p1,__ABCF__NODE_9708_length_2043_cov_393.041123_g4229_i2.p1
__ABCG__NODE_10986_length_1859_cov_3.168508_g6709_i0.p1,ABCG,588,1,Present,Present,Present,__ABCG__NODE_10986_length_1859_cov_3.168508_g6709_i0.p1,__ABCG__NODE_10986_length_1859_cov_3.168508_g6709_i0.p1
__ABCG__NODE_13469_length_1589_cov_242.826623_g8250_i0.p1,ABCG,483,1,Present,Present,Present,__ABCG__NODE_13469_length_1589_cov_242.826623_g8250_i0.p1,__ABCG__NODE_13469_length_1589_cov_242.826623_g8250_i0.p1
__ABCG__NODE_13760_length_1563_cov_361.338838_g7167_i1.p1,ABCG,511,1,Present,Absent,Present,__ABCG__NODE_13760_length_1563_cov_361.338838_g7167_i1.p1,__ABCG__NODE_13760_length_1563_cov_361.338838_g7167_i1.p1
__ABCG__NODE_14461_length_1495_cov_415.306362_g7167_i2.p1,ABCG,486,1,Present,Absent,Present,__ABCG__NODE_14461_length_1495_cov_415.306362_g7167_i2.p1,__ABCG__NODE_14461_length_1495_cov_415.306362_g7167_i2.p1
__ABCG__NODE_2127_length_4354_cov_41.761672_g1347_i0.p1,ABCG,621,1,Present,Present,Present,__ABCG__NODE_2127_length_4354_cov_41.761672_g1347_i0.p1,__ABCG__NODE_2127_length_4354_cov_41.761672_g1347_i0.p1
__ABCG__NODE_23103_length_923_cov_440.451945_g7167_i5.p1,ABCG,307,1,Present,Present,Present,__ABCG__NODE_23103_length_923_cov_440.451945_g7167_i5.p1,__ABCG__NODE_23103_length_923_cov_440.451945_g7167_i5.p1
__ABCG__NODE_23898_length_888_cov_493.107271_g7167_i6.p1,ABCG,267,1,Present,Present,Present,__ABCG__NODE_23898_length_888_cov_493.107271_g7167_i6.p1,__ABCG__NODE_23898_length_888_cov_493.107271_g7167_i6.p1
