name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_28383_length_918_cov_4.209989_g15656_i0.p1,ABCA,306,1,Present,Present,Present,__ABCA__NODE_28383_length_918_cov_4.209989_g15656_i0.p1,__ABCA__NODE_28383_length_918_cov_4.209989_g15656_i0.p1
__ABCA__NODE_30432_length_842_cov_5.812422_g17075_i0.p1,ABCA,280,1,Present,Present,Present,__ABCA__NODE_30432_length_842_cov_5.812422_g17075_i0.p1,__ABCA__NODE_30432_length_842_cov_5.812422_g17075_i0.p1
__ABCA__NODE_3257_length_3803_cov_8.600106_g1844_i0.p1,ABCA,708,1,Present,Present,Present,__ABCA__NODE_3257_length_3803_cov_8.600106_g1844_i0.p1,__ABCA__NODE_3257_length_3803_cov_8.600106_g1844_i0.p1
__ABCBF__NODE_8759_length_2384_cov_16.018747_g4676_i0.p1,ABCBF,794,2,Present,Present,Present,__ABCBF__NODE_8759_length_2384_cov_16.018747_g4676_i0.p1,__ABCBF__NODE_8759_length_2384_cov_16.018747_g4676_i0.p1
__ABCBF__NODE_8776_length_2382_cov_14.976972_g4676_i1.p1,ABCBF,715,1,Present,Present,Present,__ABCBF__NODE_8776_length_2382_cov_14.976972_g4676_i1.p1,__ABCBF__NODE_8776_length_2382_cov_14.976972_g4676_i1.p1
__ABCBF__NODE_9169_length_2321_cov_9.918126_g4676_i2.p1,ABCBF,731,1,Present,Present,Present,__ABCBF__NODE_9169_length_2321_cov_9.918126_g4676_i2.p1,__ABCBF__NODE_9169_length_2321_cov_9.918126_g4676_i2.p1
__ABCBF__NODE_9309_length_2303_cov_14.422771_g4676_i3.p1,ABCBF,767,2,Present,Present,Present,__ABCBF__NODE_9309_length_2303_cov_14.422771_g4676_i3.p1,__ABCBF__NODE_9309_length_2303_cov_14.422771_g4676_i3.p1
__ABCBH__NODE_11917_length_1990_cov_6.203277_g6241_i0.p1,ABCBH,648,1,Absent,Present,Absent,__ABCBH__NODE_11917_length_1990_cov_6.203277_g6241_i0.p1,__ABCBH__NODE_11917_length_1990_cov_6.203277_g6241_i0.p1
__ABCBH__NODE_21071_length_1263_cov_3.543230_g11132_i0.p1,ABCBH,254,1,Absent,Present,Absent,__ABCBH__NODE_21071_length_1263_cov_3.543230_g11132_i0.p1,__ABCBH__NODE_21071_length_1263_cov_3.543230_g11132_i0.p1
__ABCC__NODE_12049_length_1974_cov_3.661332_g6320_i0.p1,ABCC,657,1,Present,Present,Present,__ABCC__NODE_12049_length_1974_cov_3.661332_g6320_i0.p1,__ABCC__NODE_12049_length_1974_cov_3.661332_g6320_i0.p1
__ABCC__NODE_21343_length_1248_cov_3.684558_g11293_i0.p1,ABCC,381,1,Absent,Present,Absent,__ABCC__NODE_21343_length_1248_cov_3.684558_g11293_i0.p1,__ABCC__NODE_21343_length_1248_cov_3.684558_g11293_i0.p1
__ABCC__NODE_2280_length_4335_cov_40.935784_g1308_i0.p1,ABCC,893,2,Present,Present,Absent,__ABCC__NODE_2280_length_4335_cov_40.935784_g1308_i0.p1,__ABCC__NODE_2280_length_4335_cov_40.935784_g1308_i0.p1
__ABCC__NODE_4274_length_3417_cov_6.579586_g2385_i0.p1,ABCC,436,1,Present,Present,Absent,__ABCC__NODE_4274_length_3417_cov_6.579586_g2385_i0.p1,__ABCC__NODE_4274_length_3417_cov_6.579586_g2385_i0.p1
__ABCD__NODE_12364_length_1941_cov_2.988971_g6484_i0.p1,ABCD,316,1,Present,Present,Present,__ABCD__NODE_12364_length_1941_cov_2.988971_g6484_i0.p1,__ABCD__NODE_12364_length_1941_cov_2.988971_g6484_i0.p1
__ABCE__NODE_8528_length_2422_cov_28.945493_g4553_i0.p1,ABCE,630,2,Present,Present,Present,__ABCE__NODE_8528_length_2422_cov_28.945493_g4553_i0.p1,__ABCE__NODE_8528_length_2422_cov_28.945493_g4553_i0.p1
__ABCF__NODE_5026_length_3185_cov_37.321474_g2758_i0.p1,ABCF,909,2,Present,Present,Present,__ABCF__NODE_5026_length_3185_cov_37.321474_g2758_i0.p1,__ABCF__NODE_5026_length_3185_cov_37.321474_g2758_i0.p1
__ABCF__NODE_5242_length_3122_cov_38.941977_g2880_i0.p1,ABCF,626,3,Present,Present,Present,__ABCF__NODE_5242_length_3122_cov_38.941977_g2880_i0.p1,__ABCF__NODE_5242_length_3122_cov_38.941977_g2880_i0.p1
__ABCF__NODE_9013_length_2347_cov_23.446320_g4805_i0.p1,ABCF,710,2,Present,Present,Present,__ABCF__NODE_9013_length_2347_cov_23.446320_g4805_i0.p1,__ABCF__NODE_9013_length_2347_cov_23.446320_g4805_i0.p1
__ABCG__NODE_27311_length_963_cov_11.252700_g14923_i0.p1,ABCG,320,2,Present,Absent,Absent,__ABCG__NODE_27311_length_963_cov_11.252700_g14923_i0.p1,__ABCG__NODE_27311_length_963_cov_11.252700_g14923_i0.p1
__ABCG__NODE_3132_length_3855_cov_7.739130_g1777_i0.p1,ABCG,711,1,Present,Present,Present,__ABCG__NODE_3132_length_3855_cov_7.739130_g1777_i0.p1,__ABCG__NODE_3132_length_3855_cov_7.739130_g1777_i0.p1
__ABCG__NODE_6053_length_2909_cov_8.130919_g3283_i0.p1,ABCG,650,1,Present,Present,Present,__ABCG__NODE_6053_length_2909_cov_8.130919_g3283_i0.p1,__ABCG__NODE_6053_length_2909_cov_8.130919_g3283_i0.p1
__ABCG__NODE_6137_length_2887_cov_21.831930_g3312_i1.p1,ABCG,698,1,Present,Present,Present,__ABCG__NODE_6137_length_2887_cov_21.831930_g3312_i1.p1,__ABCG__NODE_6137_length_2887_cov_21.831930_g3312_i1.p1
