name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__GFWI01060213.1.p1,ABCA,254,1,Present,Absent,Absent,__ABCA__GFWI01060213.1.p1,__ABCA__GFWI01060213.1.p1
__ABCA__GFWI01111269.1.p1,ABCA,642,1,Absent,Present,Absent,__ABCA__GFWI01111269.1.p1,__ABCA__GFWI01111269.1.p1
__ABCA__GFWI01137358.1.p1,ABCA,316,1,Absent,Absent,Absent,__ABCA__GFWI01137358.1.p1,__ABCA__GFWI01137358.1.p1
__ABCA__GFWI01219706.1.p1,ABCA,1214,2,Present,Present,Present,__ABCA__GFWI01219706.1.p1,__ABCA__GFWI01219706.1.p1
__ABCA__GFWI01277328.1.p1,ABCA,1743,2,Present,Present,Present,__ABCA__GFWI01277328.1.p1,__ABCA__GFWI01277328.1.p1
__ABCA__GFWI01295579.1.p1,ABCA,3708,2,Present,Present,Present,__ABCA__GFWI01295579.1.p1,__ABCA__GFWI01295579.1.p1
__ABCA__GFWI01295679.1.p1,ABCA,1700,2,Present,Present,Present,__ABCA__GFWI01295679.1.p1,__ABCA__GFWI01295679.1.p1
__ABCA__GFWI01297493.1.p1,ABCA,1637,2,Present,Present,Present,__ABCA__GFWI01297493.1.p1,__ABCA__GFWI01297493.1.p1
__ABCBF__GFWI01093019.1.p1,ABCBF,630,1,Present,Present,Present,__ABCBF__GFWI01093019.1.p1,__ABCBF__GFWI01093019.1.p1
__ABCBF__GFWI01146206.1.p1,ABCBF,383,1,Absent,Present,Present,__ABCBF__GFWI01146206.1.p1,__ABCBF__GFWI01146206.1.p1
__ABCBF__GFWI01158687.1.p1,ABCBF,882,1,Present,Present,Present,__ABCBF__GFWI01158687.1.p1,__ABCBF__GFWI01158687.1.p1
__ABCBF__GFWI01158689.1.p1,ABCBF,1308,2,Present,Present,Present,__ABCBF__GFWI01158689.1.p1,__ABCBF__GFWI01158689.1.p1
__ABCBF__GFWI01158690.1.p1,ABCBF,363,1,Absent,Present,Absent,__ABCBF__GFWI01158690.1.p1,__ABCBF__GFWI01158690.1.p1
__ABCBF__GFWI01213652.1.p1,ABCBF,411,1,Present,Present,Present,__ABCBF__GFWI01213652.1.p1,__ABCBF__GFWI01213652.1.p1
__ABCBF__GFWI01213660.1.p1,ABCBF,460,1,Absent,Present,Present,__ABCBF__GFWI01213660.1.p1,__ABCBF__GFWI01213660.1.p1
__ABCBF__GFWI01224414.1.p1,ABCBF,1315,2,Present,Present,Present,__ABCBF__GFWI01224414.1.p1,__ABCBF__GFWI01224414.1.p1
__ABCBH__GFWI01264669.1.p1,ABCBH,383,1,Present,Present,Present,__ABCBH__GFWI01264669.1.p1,__ABCBH__GFWI01264669.1.p1
__ABCBH__GFWI01272073.1.p1,ABCBH,257,1,Present,Present,Present,__ABCBH__GFWI01272073.1.p1,__ABCBH__GFWI01272073.1.p1
__ABCBH__GFWI01274832.1.p1,ABCBH,379,1,Absent,Present,Absent,__ABCBH__GFWI01274832.1.p1,__ABCBH__GFWI01274832.1.p1
__ABCBH__GFWI01274834.1.p1,ABCBH,386,1,Present,Present,Present,__ABCBH__GFWI01274834.1.p1,__ABCBH__GFWI01274834.1.p1
__ABCBH__GFWI01285900.1.p1,ABCBH,707,1,Absent,Present,Absent,__ABCBH__GFWI01285900.1.p1,__ABCBH__GFWI01285900.1.p1
__ABCC__GFWI01145839.1.p1,ABCC,773,1,Absent,Present,Present,__ABCC__GFWI01145839.1.p1,__ABCC__GFWI01145839.1.p1
__ABCC__GFWI01150462.1.p1,ABCC,799,2,Present,Present,Present,__ABCC__GFWI01150462.1.p1,__ABCC__GFWI01150462.1.p1
__ABCC__GFWI01150463.1.p1,ABCC,698,1,Present,Present,Absent,__ABCC__GFWI01150463.1.p1,__ABCC__GFWI01150463.1.p1
__ABCC__GFWI01150466.1.p1,ABCC,798,2,Present,Present,Present,__ABCC__GFWI01150466.1.p1,__ABCC__GFWI01150466.1.p1
__ABCC__GFWI01162870.1.p1,ABCC,1395,2,Present,Present,Present,__ABCC__GFWI01162870.1.p1,__ABCC__GFWI01162870.1.p1
__ABCC__GFWI01194176.1.p1,ABCC,517,2,Absent,Present,Absent,__ABCC__GFWI01194176.1.p1,__ABCC__GFWI01194176.1.p1
__ABCC__GFWI01211537.1.p1,ABCC,347,1,Present,Present,Present,__ABCC__GFWI01211537.1.p1,__ABCC__GFWI01211537.1.p1
__ABCC__GFWI01211539.1.p1,ABCC,456,1,Present,Present,Absent,__ABCC__GFWI01211539.1.p1,__ABCC__GFWI01211539.1.p1
__ABCC__GFWI01211542.1.p1,ABCC,627,1,Present,Present,Present,__ABCC__GFWI01211542.1.p1,__ABCC__GFWI01211542.1.p1
__ABCC__GFWI01211544.1.p1,ABCC,456,1,Present,Present,Present,__ABCC__GFWI01211544.1.p1,__ABCC__GFWI01211544.1.p1
__ABCC__GFWI01211560.1.p1,ABCC,390,1,Absent,Present,Absent,__ABCC__GFWI01211560.1.p1,__ABCC__GFWI01211560.1.p1
__ABCC__GFWI01248078.1.p1,ABCC,266,1,Present,Present,Present,__ABCC__GFWI01248078.1.p1,__ABCC__GFWI01248078.1.p1
__ABCC__GFWI01248086.1.p1,ABCC,697,1,Present,Present,Absent,__ABCC__GFWI01248086.1.p1,__ABCC__GFWI01248086.1.p1
__ABCC__GFWI01255985.1.p1,ABCC,659,1,Present,Present,Present,__ABCC__GFWI01255985.1.p1,__ABCC__GFWI01255985.1.p1
__ABCC__GFWI01255995.1.p1,ABCC,365,1,Absent,Present,Absent,__ABCC__GFWI01255995.1.p1,__ABCC__GFWI01255995.1.p1
__ABCC__GFWI01255996.1.p1,ABCC,463,1,Present,Present,Absent,__ABCC__GFWI01255996.1.p1,__ABCC__GFWI01255996.1.p1
__ABCC__GFWI01278975.1.p1,ABCC,535,1,Absent,Present,Absent,__ABCC__GFWI01278975.1.p1,__ABCC__GFWI01278975.1.p1
__ABCC__GFWI01278988.1.p1,ABCC,671,1,Present,Present,Absent,__ABCC__GFWI01278988.1.p1,__ABCC__GFWI01278988.1.p1
__ABCC__GFWI01284744.1.p1,ABCC,1663,2,Present,Present,Present,__ABCC__GFWI01284744.1.p1,__ABCC__GFWI01284744.1.p1
__ABCC__GFWI01285763.1.p1,ABCC,1593,2,Present,Present,Present,__ABCC__GFWI01285763.1.p1,__ABCC__GFWI01285763.1.p1
__ABCC__GFWI01291280.1.p1,ABCC,789,1,Present,Present,Present,__ABCC__GFWI01291280.1.p1,__ABCC__GFWI01291280.1.p1
__ABCC__GFWI01291295.1.p1,ABCC,423,1,Present,Present,Absent,__ABCC__GFWI01291295.1.p1,__ABCC__GFWI01291295.1.p1
__ABCC__GFWI01295310.1.p1,ABCC,1280,2,Present,Present,Present,__ABCC__GFWI01295310.1.p1,__ABCC__GFWI01295310.1.p1
__ABCD__GFWI01249997.1.p1,ABCD,760,1,Present,Present,Present,__ABCD__GFWI01249997.1.p1,__ABCD__GFWI01249997.1.p1
__ABCE__GFWI01204398.1.p1,ABCE,399,2,Present,Present,Present,__ABCE__GFWI01204398.1.p1,__ABCE__GFWI01204398.1.p1
__ABCF__GFWI01149724.1.p1,ABCF,618,2,Present,Present,Present,__ABCF__GFWI01149724.1.p1,__ABCF__GFWI01149724.1.p1
__ABCF__GFWI01190839.1.p1,ABCF,443,2,Present,Present,Absent,__ABCF__GFWI01190839.1.p1,__ABCF__GFWI01190839.1.p1
__ABCF__GFWI01250780.1.p1,ABCF,340,1,Present,Present,Absent,__ABCF__GFWI01250780.1.p1,__ABCF__GFWI01250780.1.p1
__ABCG__GFWI01157424.1.p1,ABCG,745,1,Present,Present,Present,__ABCG__GFWI01157424.1.p1,__ABCG__GFWI01157424.1.p1
__ABCG__GFWI01194543.1.p1,ABCG,302,1,Present,Present,Present,__ABCG__GFWI01194543.1.p1,__ABCG__GFWI01194543.1.p1
__ABCG__GFWI01208195.1.p1,ABCG,632,1,Present,Present,Present,__ABCG__GFWI01208195.1.p1,__ABCG__GFWI01208195.1.p1
__ABCG__GFWI01223535.1.p1,ABCG,254,1,Present,Present,Present,__ABCG__GFWI01223535.1.p1,__ABCG__GFWI01223535.1.p1
__ABCG__GFWI01229938.1.p1,ABCG,638,1,Present,Present,Present,__ABCG__GFWI01229938.1.p1,__ABCG__GFWI01229938.1.p1
__ABCG__GFWI01245288.1.p1,ABCG,626,1,Present,Present,Present,__ABCG__GFWI01245288.1.p1,__ABCG__GFWI01245288.1.p1
__ABCG__GFWI01245698.1.p1,ABCG,544,1,Present,Present,Absent,__ABCG__GFWI01245698.1.p1,__ABCG__GFWI01245698.1.p1
__ABCG__GFWI01255259.1.p1,ABCG,417,1,Present,Present,Present,__ABCG__GFWI01255259.1.p1,__ABCG__GFWI01255259.1.p1
__ABCG__GFWI01256432.1.p1,ABCG,507,1,Present,Present,Present,__ABCG__GFWI01256432.1.p1,__ABCG__GFWI01256432.1.p1
