name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_11262_length_2203_cov_2.692665_g7052_i0.p1,ABCA,672,1,Present,Absent,Present,__ABCA__NODE_11262_length_2203_cov_2.692665_g7052_i0.p1,__ABCA__NODE_11262_length_2203_cov_2.692665_g7052_i0.p1
__ABCA__NODE_23693_length_1085_cov_3.097490_g15924_i0.p1,ABCA,361,1,Present,Present,Present,__ABCA__NODE_23693_length_1085_cov_3.097490_g15924_i0.p1,__ABCA__NODE_23693_length_1085_cov_3.097490_g15924_i0.p1
__ABCBF__NODE_828_length_6980_cov_7.841870_g545_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_828_length_6980_cov_7.841870_g545_i0.p1,__ABCBF__NODE_828_length_6980_cov_7.841870_g545_i0.p1
__ABCBH__NODE_20883_length_1248_cov_2.703086_g13764_i0.p1,ABCBH,278,1,Present,Present,Present,__ABCBH__NODE_20883_length_1248_cov_2.703086_g13764_i0.p1,__ABCBH__NODE_20883_length_1248_cov_2.703086_g13764_i0.p1
__ABCBH__NODE_30016_length_824_cov_2.854194_g21213_i0.p1,ABCBH,274,1,Absent,Present,Absent,__ABCBH__NODE_30016_length_824_cov_2.854194_g21213_i0.p1,__ABCBH__NODE_30016_length_824_cov_2.854194_g21213_i0.p1
__ABCBH__NODE_3945_length_4051_cov_47.131934_g2452_i0.p1,ABCBH,773,1,Present,Present,Present,__ABCBH__NODE_3945_length_4051_cov_47.131934_g2452_i0.p1,__ABCBH__NODE_3945_length_4051_cov_47.131934_g2452_i0.p1
__ABCBH__NODE_5430_length_3454_cov_4.312188_g3374_i0.p1,ABCBH,724,1,Present,Present,Present,__ABCBH__NODE_5430_length_3454_cov_4.312188_g3374_i0.p1,__ABCBH__NODE_5430_length_3454_cov_4.312188_g3374_i0.p1
__ABCC__NODE_10091_length_2380_cov_5.831832_g6291_i0.p1,ABCC,595,1,Present,Present,Absent,__ABCC__NODE_10091_length_2380_cov_5.831832_g6291_i0.p1,__ABCC__NODE_10091_length_2380_cov_5.831832_g6291_i0.p1
__ABCC__NODE_10092_length_2380_cov_5.745603_g6291_i1.p1,ABCC,595,1,Present,Present,Absent,__ABCC__NODE_10092_length_2380_cov_5.745603_g6291_i1.p1,__ABCC__NODE_10092_length_2380_cov_5.745603_g6291_i1.p1
__ABCC__NODE_1255_length_6188_cov_13.234566_g816_i0.p1,ABCC,1626,2,Present,Present,Present,__ABCC__NODE_1255_length_6188_cov_13.234566_g816_i0.p1,__ABCC__NODE_1255_length_6188_cov_13.234566_g816_i0.p1
__ABCC__NODE_22815_length_1134_cov_3.717051_g15229_i0.p1,ABCC,377,1,Present,Present,Present,__ABCC__NODE_22815_length_1134_cov_3.717051_g15229_i0.p1,__ABCC__NODE_22815_length_1134_cov_3.717051_g15229_i0.p1
__ABCC__NODE_558_length_7702_cov_5.551940_g377_i0.p1,ABCC,903,2,Present,Present,Present,__ABCC__NODE_558_length_7702_cov_5.551940_g377_i0.p1,__ABCC__NODE_558_length_7702_cov_5.551940_g377_i0.p1
__ABCC__NODE_888_length_6860_cov_9.355161_g582_i0.p1,ABCC,1521,2,Present,Present,Present,__ABCC__NODE_888_length_6860_cov_9.355161_g582_i0.p1,__ABCC__NODE_888_length_6860_cov_9.355161_g582_i0.p1
