name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_11739_length_1873_cov_32.218750_g536_i3.p1,ABCA,605,1,Present,Present,Present,__ABCA__NODE_11739_length_1873_cov_32.218750_g536_i3.p1,__ABCA__NODE_11739_length_1873_cov_32.218750_g536_i3.p1
__ABCA__NODE_1398_length_4724_cov_7.823102_g772_i0.p1,ABCA,1518,2,Present,Present,Present,__ABCA__NODE_1398_length_4724_cov_7.823102_g772_i0.p1,__ABCA__NODE_1398_length_4724_cov_7.823102_g772_i0.p1
__ABCA__NODE_17145_length_1396_cov_13.161841_g1411_i4.p1,ABCA,388,1,Present,Present,Absent,__ABCA__NODE_17145_length_1396_cov_13.161841_g1411_i4.p1,__ABCA__NODE_17145_length_1396_cov_13.161841_g1411_i4.p1
__ABCA__NODE_2654_length_3825_cov_13.468485_g1411_i0.p1,ABCA,1275,2,Present,Present,Present,__ABCA__NODE_2654_length_3825_cov_13.468485_g1411_i0.p1,__ABCA__NODE_2654_length_3825_cov_13.468485_g1411_i0.p1
__ABCA__NODE_3219_length_3564_cov_12.223613_g1411_i2.p1,ABCA,1101,1,Present,Present,Present,__ABCA__NODE_3219_length_3564_cov_12.223613_g1411_i2.p1,__ABCA__NODE_3219_length_3564_cov_12.223613_g1411_i2.p1
__ABCA__NODE_3877_length_3289_cov_6.263580_g2029_i0.p1,ABCA,1096,1,Present,Present,Present,__ABCA__NODE_3877_length_3289_cov_6.263580_g2029_i0.p1,__ABCA__NODE_3877_length_3289_cov_6.263580_g2029_i0.p1
__ABCA__NODE_5009_length_2958_cov_6.731179_g2029_i1.p1,ABCA,984,1,Present,Present,Present,__ABCA__NODE_5009_length_2958_cov_6.731179_g2029_i1.p1,__ABCA__NODE_5009_length_2958_cov_6.731179_g2029_i1.p1
__ABCA__NODE_53_length_10011_cov_60.533829_g39_i0.p1,ABCA,1857,2,Present,Present,Present,__ABCA__NODE_53_length_10011_cov_60.533829_g39_i0.p1,__ABCA__NODE_53_length_10011_cov_60.533829_g39_i0.p1
__ABCA__NODE_911_length_5338_cov_26.231046_g536_i0.p1,ABCA,1680,2,Present,Present,Present,__ABCA__NODE_911_length_5338_cov_26.231046_g536_i0.p1,__ABCA__NODE_911_length_5338_cov_26.231046_g536_i0.p1
__ABCBF__NODE_1330_length_4784_cov_112.356283_g718_i1.p1,ABCBF,1311,2,Present,Present,Present,__ABCBF__NODE_1330_length_4784_cov_112.356283_g718_i1.p1,__ABCBF__NODE_1330_length_4784_cov_112.356283_g718_i1.p1
