name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCBF__NODE_2508_length_3952_cov_13.077633_g1755_i0.p1,ABCBF,512,1,Present,Present,Present,__ABCBF__NODE_2508_length_3952_cov_13.077633_g1755_i0.p1,__ABCBF__NODE_2508_length_3952_cov_13.077633_g1755_i0.p1
__ABCBF__NODE_4319_length_2892_cov_7.796342_g3058_i0.p1,ABCBF,873,2,Present,Present,Present,__ABCBF__NODE_4319_length_2892_cov_7.796342_g3058_i0.p1,__ABCBF__NODE_4319_length_2892_cov_7.796342_g3058_i0.p1
__ABCC__NODE_17099_length_857_cov_4.551980_g13485_i0.p1,ABCC,285,1,Absent,Present,Absent,__ABCC__NODE_17099_length_857_cov_4.551980_g13485_i0.p1,__ABCC__NODE_17099_length_857_cov_4.551980_g13485_i0.p1
__ABCC__NODE_269_length_8100_cov_13.424792_g193_i0.p1,ABCC,1352,2,Present,Present,Present,__ABCC__NODE_269_length_8100_cov_13.424792_g193_i0.p1,__ABCC__NODE_269_length_8100_cov_13.424792_g193_i0.p1
__ABCC__NODE_4571_length_2782_cov_7.388584_g3243_i0.p1,ABCC,547,1,Present,Present,Absent,__ABCC__NODE_4571_length_2782_cov_7.388584_g3243_i0.p1,__ABCC__NODE_4571_length_2782_cov_7.388584_g3243_i0.p1
__ABCC__NODE_7564_length_1941_cov_5.480973_g4939_i1.p1,ABCC,647,1,Present,Present,Present,__ABCC__NODE_7564_length_1941_cov_5.480973_g4939_i1.p1,__ABCC__NODE_7564_length_1941_cov_5.480973_g4939_i1.p1
__ABCD__NODE_13370_length_1128_cov_3.219648_g10179_i0.p1,ABCD,375,2,Absent,Present,Absent,__ABCD__NODE_13370_length_1128_cov_3.219648_g10179_i0.p1,__ABCD__NODE_13370_length_1128_cov_3.219648_g10179_i0.p1
__ABCD__NODE_7702_length_1909_cov_3.545161_g5575_i0.p1,ABCD,400,1,Present,Present,Present,__ABCD__NODE_7702_length_1909_cov_3.545161_g5575_i0.p1,__ABCD__NODE_7702_length_1909_cov_3.545161_g5575_i0.p1
__ABCD__NODE_792_length_6185_cov_30.251467_g555_i0.p1,ABCD,493,1,Present,Present,Present,__ABCD__NODE_792_length_6185_cov_30.251467_g555_i0.p1,__ABCD__NODE_792_length_6185_cov_30.251467_g555_i0.p1
__ABCE__NODE_4786_length_2702_cov_48.568790_g3401_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4786_length_2702_cov_48.568790_g3401_i0.p1,__ABCE__NODE_4786_length_2702_cov_48.568790_g3401_i0.p1
__ABCF__NODE_2535_length_3928_cov_262.346223_g1776_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2535_length_3928_cov_262.346223_g1776_i0.p1,__ABCF__NODE_2535_length_3928_cov_262.346223_g1776_i0.p1
__ABCF__NODE_5475_length_2471_cov_19.580512_g2429_i1.p1,ABCF,648,4,Present,Present,Present,__ABCF__NODE_5475_length_2471_cov_19.580512_g2429_i1.p1,__ABCF__NODE_5475_length_2471_cov_19.580512_g2429_i1.p1
__ABCF__NODE_5917_length_2342_cov_19.900131_g4235_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_5917_length_2342_cov_19.900131_g4235_i0.p1,__ABCF__NODE_5917_length_2342_cov_19.900131_g4235_i0.p1
__ABCG__NODE_10020_length_1514_cov_3.562457_g7382_i0.p1,ABCG,402,1,Present,Present,Present,__ABCG__NODE_10020_length_1514_cov_3.562457_g7382_i0.p1,__ABCG__NODE_10020_length_1514_cov_3.562457_g7382_i0.p1
__ABCG__NODE_3188_length_3479_cov_13.880175_g2230_i0.p1,ABCG,692,1,Present,Present,Present,__ABCG__NODE_3188_length_3479_cov_13.880175_g2230_i0.p1,__ABCG__NODE_3188_length_3479_cov_13.880175_g2230_i0.p1
__ABCG__NODE_6448_length_2198_cov_12.692880_g4647_i0.p1,ABCG,663,1,Present,Present,Present,__ABCG__NODE_6448_length_2198_cov_12.692880_g4647_i0.p1,__ABCG__NODE_6448_length_2198_cov_12.692880_g4647_i0.p1
