name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1375_length_4719_cov_5.724411_g977_i0.p1,ABCA,881,1,Present,Present,Present,__ABCA__NODE_1375_length_4719_cov_5.724411_g977_i0.p1,__ABCA__NODE_1375_length_4719_cov_5.724411_g977_i0.p1
__ABCBF__NODE_87_length_9342_cov_9.170989_g59_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_87_length_9342_cov_9.170989_g59_i0.p1,__ABCBF__NODE_87_length_9342_cov_9.170989_g59_i0.p1
__ABCBH__NODE_11234_length_1585_cov_2.720052_g7978_i0.p1,ABCBH,400,1,Present,Present,Present,__ABCBH__NODE_11234_length_1585_cov_2.720052_g7978_i0.p1,__ABCBH__NODE_11234_length_1585_cov_2.720052_g7978_i0.p1
__ABCBH__NODE_16963_length_1097_cov_1.830153_g12529_i0.p1,ABCBH,365,1,Present,Present,Present,__ABCBH__NODE_16963_length_1097_cov_1.830153_g12529_i0.p1,__ABCBH__NODE_16963_length_1097_cov_1.830153_g12529_i0.p1
__ABCC__NODE_3217_length_3374_cov_3.763910_g2236_i0.p1,ABCC,1044,2,Present,Present,Present,__ABCC__NODE_3217_length_3374_cov_3.763910_g2236_i0.p1,__ABCC__NODE_3217_length_3374_cov_3.763910_g2236_i0.p1
__ABCC__NODE_5364_length_2594_cov_3.897446_g3730_i0.p1,ABCC,579,1,Present,Present,Absent,__ABCC__NODE_5364_length_2594_cov_3.897446_g3730_i0.p1,__ABCC__NODE_5364_length_2594_cov_3.897446_g3730_i0.p1
__ABCD__NODE_21763_length_849_cov_2.780000_g16697_i0.p1,ABCD,282,1,Absent,Present,Absent,__ABCD__NODE_21763_length_849_cov_2.780000_g16697_i0.p1,__ABCD__NODE_21763_length_849_cov_2.780000_g16697_i0.p1
__ABCE__NODE_4813_length_2746_cov_29.990360_g3330_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4813_length_2746_cov_29.990360_g3330_i0.p1,__ABCE__NODE_4813_length_2746_cov_29.990360_g3330_i0.p1
__ABCF__NODE_2098_length_4021_cov_202.460473_g1477_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2098_length_4021_cov_202.460473_g1477_i0.p1,__ABCF__NODE_2098_length_4021_cov_202.460473_g1477_i0.p1
__ABCF__NODE_3548_length_3214_cov_21.294471_g2470_i0.p1,ABCF,975,2,Present,Present,Present,__ABCF__NODE_3548_length_3214_cov_21.294471_g2470_i0.p1,__ABCF__NODE_3548_length_3214_cov_21.294471_g2470_i0.p1
__ABCF__NODE_6475_length_2336_cov_15.094447_g4512_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_6475_length_2336_cov_15.094447_g4512_i0.p1,__ABCF__NODE_6475_length_2336_cov_15.094447_g4512_i0.p1
__ABCG__NODE_10027_length_1727_cov_7.243147_g7078_i0.p1,ABCG,511,1,Present,Present,Present,__ABCG__NODE_10027_length_1727_cov_7.243147_g7078_i0.p1,__ABCG__NODE_10027_length_1727_cov_7.243147_g7078_i0.p1
__ABCG__NODE_1435_length_4647_cov_12.363201_g1019_i0.p1,ABCG,701,1,Present,Present,Present,__ABCG__NODE_1435_length_4647_cov_12.363201_g1019_i0.p1,__ABCG__NODE_1435_length_4647_cov_12.363201_g1019_i0.p1
__ABCG__NODE_2961_length_3501_cov_17.114137_g2069_i0.p1,ABCG,671,1,Present,Present,Present,__ABCG__NODE_2961_length_3501_cov_17.114137_g2069_i0.p1,__ABCG__NODE_2961_length_3501_cov_17.114137_g2069_i0.p1
__ABCG__NODE_406_length_6730_cov_9.745098_g287_i0.p1,ABCG,703,1,Present,Present,Present,__ABCG__NODE_406_length_6730_cov_9.745098_g287_i0.p1,__ABCG__NODE_406_length_6730_cov_9.745098_g287_i0.p1
__ABCG__NODE_4310_length_2918_cov_54.523876_g2986_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_4310_length_2918_cov_54.523876_g2986_i0.p1,__ABCG__NODE_4310_length_2918_cov_54.523876_g2986_i0.p1
__ABCG__NODE_7646_length_2104_cov_4.279319_g5356_i0.p1,ABCG,572,1,Present,Present,Present,__ABCG__NODE_7646_length_2104_cov_4.279319_g5356_i0.p1,__ABCG__NODE_7646_length_2104_cov_4.279319_g5356_i0.p1
__ABCG__NODE_789_length_5636_cov_8.668158_g562_i0.p1,ABCG,898,1,Present,Absent,Absent,__ABCG__NODE_789_length_5636_cov_8.668158_g562_i0.p1,__ABCG__NODE_789_length_5636_cov_8.668158_g562_i0.p1
__ABCH__NODE_3443_length_3265_cov_5.761816_g2392_i0.p1,ABCH,743,1,Present,Present,Present,__ABCH__NODE_3443_length_3265_cov_5.761816_g2392_i0.p1,__ABCH__NODE_3443_length_3265_cov_5.761816_g2392_i0.p1
