GHHK01016803_1__124_1482___	PTHR10357	SF:PTHR10357:SF196;NAME:Maltase A2;
GHHK01017904_1__145_663___	PTHR11991	SF:PTHR11991:SF0;NAME:Translationally-controlled tumor protein;  GO-Annotations:GO:0005737;GO:0005509;
GHHK01010603_1__72_2063___	PTHR43256	SF:PTHR43256:SF3;NAME:Thioredoxin reductase 3;  GO-Annotations:GO:0005737;GO:0045454;GO:0004791;GO:0005739;GO:0016667;
GHHK01011624_1__75_3998___	PTHR11908	SF:PTHR11908:SF105;NAME:Aldehyde oxidase 1-related;  GO-Annotations:GO:0050660;GO:0004854;GO:0016903;GO:0009115;GO:0005829;
GHHK01008245_1__2_799___	PTHR12733	SF:PTHR12733:SF3;NAME:ATP synthase F(0) complex subunit B1, mitochondrial;  GO-Annotations:GO:0046933;GO:0000276;GO:0015986;
GHHK01007283_1__3_359___	PTHR21141	SF:PTHR21141:SF5;NAME:60S acidic ribosomal protein P2;  GO-Annotations:GO:0003735;GO:0002181;GO:0022625;
GHHK01018077_1__107_415___	PTHR21141	SF:PTHR21141:SF5;NAME:60S acidic ribosomal protein P2;  GO-Annotations:GO:0003735;GO:0002181;GO:0022625;
GHHK01011091_1__85_420___	PTHR21141	SF:PTHR21141:SF36;NAME:60S acidic ribosomal protein P1;  GO-Annotations:GO:0003735;GO:0002181;GO:0030295;GO:0022625;GO:0045860;
GHHK01007959_1__120_1997___	PTHR43195	SF:PTHR43195:SF1;NAME:TransKeTolase homolog;
GHHK01026747_1__123_602___	PTHR13822	SF:PTHR13822:SF7;NAME:ATP synthase subunit delta, mitochondrial;  GO-Annotations:GO:0046933;GO:0015986;GO:0000275;
GHHK01019342_1__401_2317___	PTHR11999	SF:PTHR11999:SF70;NAME:MIP05841p;
GHHK01026594_1__1_393___	PTHR42799	SF:PTHR42799:SF2;NAME:Peptide methionine sulfoxide reductase;
GHHK01011556_1__376_2886___	PTHR24210	SF:PTHR24210:SF0;NAME:AT21926p;
GHHK01001092_1__133_930___	PTHR44063	SF:PTHR44063:SF1;NAME:splicing factor, arginine/serine-rich 1-related;
GHHK01017817_1__58_1161___	PTHR13045	SF:PTHR13045:SF0;NAME:Cytosolic 5'-nucleotidase 3A;  GO-Annotations:GO:0005737;GO:0008253;
GHHK01009342_1__59_1084___	PTHR16308	SF:PTHR16308:SF13;NAME:Ubiquitin-associated protein 2;  GO-Annotations:GO:0005737;GO:0005634;
GHHK01012863_1__148_2673___	PTHR11629	SF:PTHR11629:SF63;NAME:V-type proton ATPase subunit a;  GO-Annotations:GO:0007035;GO:0051117;GO:0005886;GO:0016471;GO:0046961;
GHHK01007650_1__102_881___	PTHR10809	SF:PTHR10809:SF6;NAME:AT11025p-related;
GHHK01014935_1__209_2242___	PTHR24012	SF:PTHR24012:SF491;NAME:Polyadenylate-binding protein;
GHHK01004695_1__149_745___	PTHR11831	SF:PTHR11831:SF5;NAME:40S ribosomal protein S9;  GO-Annotations:GO:0015935;GO:0003735;GO:0045903;GO:0019843;GO:0022627;
GHHK01009166_1__130_1701___	PTHR12893	SF:PTHR12893:SF0;NAME:Grasp65;  GO-Annotations:GO:0007030;GO:0005794;
GHHK01022432_1__1_402___	PTHR23048	SF:PTHR23048:SF12;NAME:Myosin light chain alkali;
GHHK01014609_1__71_871___	PTHR19282	SF:PTHR19282:SF365;NAME:Tetraspanin;  GO-Annotations:GO:0007166;GO:0005887;
GHHK01005651_1__85_816___	PTHR19282	SF:PTHR19282:SF360;NAME:;  GO-Annotations:GO:0007166;GO:0005887;
GHHK01002633_1__3_644___	PTHR24071	SF:PTHR24071:SF0;NAME:GTP-binding nuclear protein Ran;  GO-Annotations:GO:0005737;GO:0003924;GO:0006606;GO:0005634;GO:0000054;
GHHK01007160_1__106_756___	PTHR24071	SF:PTHR24071:SF15;NAME:GTP-binding nuclear protein Ran;
GHHK01013687_1__189_2264___	PTHR23130	SF:PTHR23130:SF122;NAME:ferric-chelate reductase 1 homolog-related;
GHHK01019927_1__2_1417___	PTHR11956	SF:PTHR11956:SF5;NAME:Arginine--tRNA ligase, cytoplasmic;  GO-Annotations:GO:0006420;GO:0004814;
GHHK01010896_1__166_2913___	PTHR13937	SF:PTHR13937:SF0;NAME:Eukaryotic translation initiation factor 3 subunit C-related;  GO-Annotations:GO:0003743;GO:0031369;GO:0006413;GO:0005852;
GHHK01010891_1__117_554___	PTHR14186	SF:PTHR14186:SF20;NAME:Crimpy, isoform C;
GHHK01019839_1__1_387___	PTHR23428	SF:PTHR23428:SF70;NAME:Histone H2B;  GO-Annotations:GO:0006334;GO:0003677;
GHHK01009095_1__102_1148___	PTHR11028	SF:PTHR11028:SF0;NAME:V-type proton ATPase subunit d 1;  GO-Annotations:GO:0033181;GO:0007035;GO:0005769;GO:0005765;GO:0008553;GO:0016471;GO:0046961;GO:0007034;
GHHK01021138_1__46_357___	PTHR10484	;  GO-Annotations:GO:0042393;GO:0003677;
GHHK01015640_1__51_863___	PTHR11579	SF:PTHR11579:SF0;NAME:Protein-L-isoaspartate O-methyltransferase-related;  GO-Annotations:GO:0004719;GO:0005737;
GHHK01027651_1__2_544___	PTHR11655	SF:PTHR11655:SF16;NAME:60S ribosomal protein L9;  GO-Annotations:GO:0003735;GO:0002181;GO:0022625;
GHHK01012178_1__88_678___	PTHR11655	SF:PTHR11655:SF16;NAME:60S ribosomal protein L9;  GO-Annotations:GO:0003735;GO:0002181;GO:0022625;
GHHK01017548_1__84_1229___	PTHR10539	SF:PTHR10539:SF0;NAME:26S proteasome non-ATPase regulatory subunit 13;  GO-Annotations:GO:0043248;GO:0008541;GO:0006511;GO:0005829;GO:0005634;GO:0005198;
GHHK01018291_1__2_2281___	PTHR13923	SF:PTHR13923:SF11;NAME:Protein transport protein Sec31A;
GHHK01022199_1__1_345___	PTHR43966	SF:PTHR43966:SF2;NAME:LD11117p-related;
GHHK01016206_1__3_722___	PTHR43966	SF:PTHR43966:SF2;NAME:LD11117p-related;
GHHK01029948_1__230_667___	PTHR43966	SF:PTHR43966:SF3;NAME:;
GHHK01012577_1__84_2624___	PTHR42908	SF:PTHR42908:SF10;NAME:Elongation factor 2;  GO-Annotations:GO:0003746;GO:0006414;
GHHK01008250_1__1_408___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01028794_1__2_301___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01028921_1__1_321___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01026662_1__25_309___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01019246_1__26_697___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01009004_1__2_742___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01010360_1__3_428___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01017057_1__26_697___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01022021_1__79_741___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01008247_1__52_375___	PTHR11571	SF:PTHR11571:SF3;NAME:Glutathione S-transferase 2;
GHHK01016900_1__172_1620___	PTHR12626	SF:PTHR12626:SF0;NAME:LD21074p;
GHHK01005703_1__242_1474___	PTHR11964	SF:PTHR11964:SF1;NAME:S-adenosylmethionine synthase;  GO-Annotations:GO:0005829;GO:0004478;
GHHK01028667_1__220_1410___	PTHR12800	SF:PTHR12800:SF4;NAME:Hsp90 co-chaperone Cdc37;  GO-Annotations:GO:0005737;GO:0006457;GO:0031072;GO:0051087;GO:0051082;GO:0050821;
GHHK01015028_1__1_354___	PTHR10510	SF:PTHR10510:SF11;NAME:Cytochrome c oxidase subunit 7A, mitochondrial;
GHHK01015906_1__131_1576___	PTHR10363	SF:PTHR10363:SF2;NAME:Bleomycin hydrolase;  GO-Annotations:GO:0043418;GO:0005737;GO:0009636;GO:0004177;GO:0008234;
GHHK01016518_1__134_2572___	PTHR11451	SF:PTHR11451:SF46;NAME:FI05224p;  GO-Annotations:GO:0016876;GO:0005737;GO:0006435;GO:0006418;GO:0004829;
GHHK01026729_1__319_3429___	PTHR43294	SF:PTHR43294:SF12;NAME:Sodium/potassium-transporting ATPase subunit alpha;  GO-Annotations:GO:0005391;GO:0010107;GO:0030007;GO:0006883;GO:0036376;GO:0015991;
GHHK01005690_1__91_2979___	PTHR10943	SF:PTHR10943:SF2;NAME:26S proteasome non-ATPase regulatory subunit 1;  GO-Annotations:GO:0034515;GO:0008540;GO:0004175;GO:0005634;GO:0043161;
