name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_10636_length_1537_cov_3.543011_g7966_i0.p1,ABCA,462,1,Present,Present,Present,__ABCA__NODE_10636_length_1537_cov_3.543011_g7966_i0.p1,__ABCA__NODE_10636_length_1537_cov_3.543011_g7966_i0.p1
__ABCA__NODE_1101_length_5083_cov_7.476559_g732_i0.p1,ABCA,1657,2,Present,Present,Present,__ABCA__NODE_1101_length_5083_cov_7.476559_g732_i0.p1,__ABCA__NODE_1101_length_5083_cov_7.476559_g732_i0.p1
__ABCA__NODE_11201_length_1474_cov_6.828772_g8425_i0.p1,ABCA,463,1,Present,Present,Present,__ABCA__NODE_11201_length_1474_cov_6.828772_g8425_i0.p1,__ABCA__NODE_11201_length_1474_cov_6.828772_g8425_i0.p1
__ABCA__NODE_2014_length_4019_cov_5.106549_g1371_i0.p1,ABCA,1325,2,Present,Present,Present,__ABCA__NODE_2014_length_4019_cov_5.106549_g1371_i0.p1,__ABCA__NODE_2014_length_4019_cov_5.106549_g1371_i0.p1
__ABCA__NODE_6122_length_2251_cov_4.059946_g4398_i0.p1,ABCA,750,1,Present,Present,Present,__ABCA__NODE_6122_length_2251_cov_4.059946_g4398_i0.p1,__ABCA__NODE_6122_length_2251_cov_4.059946_g4398_i0.p1
__ABCA__NODE_7929_length_1899_cov_3.461081_g5816_i0.p1,ABCA,621,1,Present,Present,Present,__ABCA__NODE_7929_length_1899_cov_3.461081_g5816_i0.p1,__ABCA__NODE_7929_length_1899_cov_3.461081_g5816_i0.p1
__ABCBF__NODE_11931_length_1402_cov_4.110865_g9033_i0.p1,ABCBF,383,2,Present,Present,Present,__ABCBF__NODE_11931_length_1402_cov_4.110865_g9033_i0.p1,__ABCBF__NODE_11931_length_1402_cov_4.110865_g9033_i0.p1
__ABCBF__NODE_12037_length_1394_cov_2.143494_g9127_i0.p1,ABCBF,464,1,Absent,Present,Absent,__ABCBF__NODE_12037_length_1394_cov_2.143494_g9127_i0.p1,__ABCBF__NODE_12037_length_1394_cov_2.143494_g9127_i0.p1
__ABCBF__NODE_14485_length_1198_cov_2.056571_g11215_i0.p1,ABCBF,386,2,Present,Present,Present,__ABCBF__NODE_14485_length_1198_cov_2.056571_g11215_i0.p1,__ABCBF__NODE_14485_length_1198_cov_2.056571_g11215_i0.p1
__ABCBF__NODE_421_length_6835_cov_9.723696_g283_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_421_length_6835_cov_9.723696_g283_i0.p1,__ABCBF__NODE_421_length_6835_cov_9.723696_g283_i0.p1
__ABCBF__NODE_6586_length_2152_cov_3.537803_g4760_i0.p1,ABCBF,717,1,Present,Present,Present,__ABCBF__NODE_6586_length_2152_cov_3.537803_g4760_i0.p1,__ABCBF__NODE_6586_length_2152_cov_3.537803_g4760_i0.p1
__ABCBF__NODE_7848_length_1913_cov_1.998391_g5753_i0.p1,ABCBF,623,1,Present,Absent,Present,__ABCBF__NODE_7848_length_1913_cov_1.998391_g5753_i0.p1,__ABCBF__NODE_7848_length_1913_cov_1.998391_g5753_i0.p1
__ABCBH__NODE_1624_length_4388_cov_9.527541_g1091_i0.p1,ABCBH,717,1,Present,Present,Present,__ABCBH__NODE_1624_length_4388_cov_9.527541_g1091_i0.p1,__ABCBH__NODE_1624_length_4388_cov_9.527541_g1091_i0.p1
__ABCBH__NODE_4962_length_2543_cov_9.052526_g3554_i0.p1,ABCBH,747,1,Present,Present,Present,__ABCBH__NODE_4962_length_2543_cov_9.052526_g3554_i0.p1,__ABCBH__NODE_4962_length_2543_cov_9.052526_g3554_i0.p1
__ABCC__NODE_1499_length_4533_cov_4.231267_g997_i0.p1,ABCC,1384,2,Present,Present,Present,__ABCC__NODE_1499_length_4533_cov_4.231267_g997_i0.p1,__ABCC__NODE_1499_length_4533_cov_4.231267_g997_i0.p1
