name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCBF__NODE_757_length_3975_cov_4.280438_g579_i0.p1,ABCBF,1256,2,Present,Present,Present,__ABCBF__NODE_757_length_3975_cov_4.280438_g579_i0.p1,__ABCBF__NODE_757_length_3975_cov_4.280438_g579_i0.p1
__ABCBH__NODE_7578_length_1074_cov_2.063415_g6222_i0.p1,ABCBH,358,1,Absent,Present,Absent,__ABCBH__NODE_7578_length_1074_cov_2.063415_g6222_i0.p1,__ABCBH__NODE_7578_length_1074_cov_2.063415_g6222_i0.p1
__ABCC__NODE_11486_length_753_cov_2.154830_g9850_i0.p1,ABCC,251,1,Present,Present,Absent,__ABCC__NODE_11486_length_753_cov_2.154830_g9850_i0.p1,__ABCC__NODE_11486_length_753_cov_2.154830_g9850_i0.p1
__ABCC__NODE_1386_length_3031_cov_5.746814_g1092_i0.p1,ABCC,998,2,Present,Present,Present,__ABCC__NODE_1386_length_3031_cov_5.746814_g1092_i0.p1,__ABCC__NODE_1386_length_3031_cov_5.746814_g1092_i0.p1
__ABCE__NODE_1759_length_2728_cov_16.925719_g1379_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_1759_length_2728_cov_16.925719_g1379_i0.p1,__ABCE__NODE_1759_length_2728_cov_16.925719_g1379_i0.p1
__ABCF__NODE_4220_length_1668_cov_3.765287_g3342_i0.p1,ABCF,446,3,Present,Present,Present,__ABCF__NODE_4220_length_1668_cov_3.765287_g3342_i0.p1,__ABCF__NODE_4220_length_1668_cov_3.765287_g3342_i0.p1
__ABCF__NODE_809_length_3862_cov_39.337005_g623_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_809_length_3862_cov_39.337005_g623_i0.p1,__ABCF__NODE_809_length_3862_cov_39.337005_g623_i0.p1
__ABCF__NODE_8891_length_937_cov_2.279279_g7410_i0.p1,ABCF,311,3,Present,Present,Absent,__ABCF__NODE_8891_length_937_cov_2.279279_g7410_i0.p1,__ABCF__NODE_8891_length_937_cov_2.279279_g7410_i0.p1
__ABCF__NODE_9239_length_908_cov_3.797439_g7736_i0.p1,ABCF,283,2,Absent,Present,Absent,__ABCF__NODE_9239_length_908_cov_3.797439_g7736_i0.p1,__ABCF__NODE_9239_length_908_cov_3.797439_g7736_i0.p1
__ABCG__NODE_1448_length_2988_cov_3.683906_g1143_i0.p1,ABCG,689,1,Present,Present,Present,__ABCG__NODE_1448_length_2988_cov_3.683906_g1143_i0.p1,__ABCG__NODE_1448_length_2988_cov_3.683906_g1143_i0.p1
__ABCG__NODE_1827_length_2677_cov_5.363394_g1426_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_1827_length_2677_cov_5.363394_g1426_i0.p1,__ABCG__NODE_1827_length_2677_cov_5.363394_g1426_i0.p1
__ABCG__NODE_2772_length_2145_cov_6.166985_g2172_i0.p1,ABCG,660,1,Present,Present,Present,__ABCG__NODE_2772_length_2145_cov_6.166985_g2172_i0.p1,__ABCG__NODE_2772_length_2145_cov_6.166985_g2172_i0.p1
__ABCG__NODE_3359_length_1914_cov_2.958177_g2650_i0.p1,ABCG,535,1,Present,Present,Present,__ABCG__NODE_3359_length_1914_cov_2.958177_g2650_i0.p1,__ABCG__NODE_3359_length_1914_cov_2.958177_g2650_i0.p1
