name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_121_length_11448_cov_14.294412_g86_i0.p1,ABCA,1879,3,Present,Present,Present,__ABCA__NODE_121_length_11448_cov_14.294412_g86_i0.p1,__ABCA__NODE_121_length_11448_cov_14.294412_g86_i0.p1
__ABCA__NODE_22919_length_936_cov_2.675310_g17143_i0.p1,ABCA,311,1,Present,Present,Present,__ABCA__NODE_22919_length_936_cov_2.675310_g17143_i0.p1,__ABCA__NODE_22919_length_936_cov_2.675310_g17143_i0.p1
__ABCA__NODE_24135_length_880_cov_2.288809_g18211_i0.p1,ABCA,293,1,Absent,Present,Present,__ABCA__NODE_24135_length_880_cov_2.288809_g18211_i0.p1,__ABCA__NODE_24135_length_880_cov_2.288809_g18211_i0.p1
__ABCBF__NODE_4751_length_3561_cov_3.928815_g3218_i0.p1,ABCBF,965,2,Present,Present,Present,__ABCBF__NODE_4751_length_3561_cov_3.928815_g3218_i0.p1,__ABCBF__NODE_4751_length_3561_cov_3.928815_g3218_i0.p1
__ABCBH__NODE_1073_length_6820_cov_44.104859_g714_i0.p1,ABCBH,702,1,Present,Present,Present,__ABCBH__NODE_1073_length_6820_cov_44.104859_g714_i0.p1,__ABCBH__NODE_1073_length_6820_cov_44.104859_g714_i0.p1
__ABCBH__NODE_22388_length_960_cov_4.553238_g16682_i0.p1,ABCBH,319,1,Present,Present,Present,__ABCBH__NODE_22388_length_960_cov_4.553238_g16682_i0.p1,__ABCBH__NODE_22388_length_960_cov_4.553238_g16682_i0.p1
__ABCBH__NODE_4820_length_3534_cov_7.918795_g3264_i0.p1,ABCBH,718,1,Present,Present,Present,__ABCBH__NODE_4820_length_3534_cov_7.918795_g3264_i0.p1,__ABCBH__NODE_4820_length_3534_cov_7.918795_g3264_i0.p1
__ABCC__NODE_291_length_9627_cov_18.086970_g164_i1.p1,ABCC,1628,2,Present,Present,Present,__ABCC__NODE_291_length_9627_cov_18.086970_g164_i1.p1,__ABCC__NODE_291_length_9627_cov_18.086970_g164_i1.p1
__ABCC__NODE_308_length_9547_cov_17.936934_g164_i2.p1,ABCC,997,1,Present,Present,Present,__ABCC__NODE_308_length_9547_cov_17.936934_g164_i2.p1,__ABCC__NODE_308_length_9547_cov_17.936934_g164_i2.p1
__ABCC__NODE_3246_length_4356_cov_3.416067_g2196_i0.p1,ABCC,1390,2,Present,Present,Present,__ABCC__NODE_3246_length_4356_cov_3.416067_g2196_i0.p1,__ABCC__NODE_3246_length_4356_cov_3.416067_g2196_i0.p1
__ABCC__NODE_9365_length_2260_cov_2.815920_g6468_i0.p1,ABCC,410,1,Present,Present,Absent,__ABCC__NODE_9365_length_2260_cov_2.815920_g6468_i0.p1,__ABCC__NODE_9365_length_2260_cov_2.815920_g6468_i0.p1
__ABCD__NODE_3634_length_4115_cov_5.260207_g2474_i0.p1,ABCD,802,1,Present,Present,Present,__ABCD__NODE_3634_length_4115_cov_5.260207_g2474_i0.p1,__ABCD__NODE_3634_length_4115_cov_5.260207_g2474_i0.p1
__ABCE__NODE_7208_length_2752_cov_71.276730_g4889_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_7208_length_2752_cov_71.276730_g4889_i0.p1,__ABCE__NODE_7208_length_2752_cov_71.276730_g4889_i0.p1
__ABCF__NODE_14654_length_1509_cov_2.260274_g10370_i0.p1,ABCF,477,2,Present,Present,Absent,__ABCF__NODE_14654_length_1509_cov_2.260274_g10370_i0.p1,__ABCF__NODE_14654_length_1509_cov_2.260274_g10370_i0.p1
