name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_17060_length_1458_cov_4.540099_g10961_i0.p1,ABCA,428,1,Present,Present,Present,__ABCA__NODE_17060_length_1458_cov_4.540099_g10961_i0.p1,__ABCA__NODE_17060_length_1458_cov_4.540099_g10961_i0.p1
__ABCBF__NODE_1340_length_6135_cov_16.958101_g692_i0.p1,ABCBF,1420,2,Present,Present,Present,__ABCBF__NODE_1340_length_6135_cov_16.958101_g692_i0.p1,__ABCBF__NODE_1340_length_6135_cov_16.958101_g692_i0.p1
__ABCBH__NODE_27881_length_838_cov_1.756654_g19307_i0.p1,ABCBH,278,1,Present,Present,Present,__ABCBH__NODE_27881_length_838_cov_1.756654_g19307_i0.p1,__ABCBH__NODE_27881_length_838_cov_1.756654_g19307_i0.p1
__ABCBH__NODE_3886_length_3922_cov_9.141234_g2283_i0.p1,ABCBH,718,1,Present,Present,Present,__ABCBH__NODE_3886_length_3922_cov_9.141234_g2283_i0.p1,__ABCBH__NODE_3886_length_3922_cov_9.141234_g2283_i0.p1
__ABCC__NODE_11724_length_2020_cov_7.232877_g7362_i0.p1,ABCC,454,1,Present,Present,Present,__ABCC__NODE_11724_length_2020_cov_7.232877_g7362_i0.p1,__ABCC__NODE_11724_length_2020_cov_7.232877_g7362_i0.p1
__ABCC__NODE_13466_length_1811_cov_5.396141_g1209_i1.p1,ABCC,603,1,Present,Present,Absent,__ABCC__NODE_13466_length_1811_cov_5.396141_g1209_i1.p1,__ABCC__NODE_13466_length_1811_cov_5.396141_g1209_i1.p1
__ABCC__NODE_14837_length_1664_cov_2.621672_g9462_i0.p1,ABCC,524,1,Present,Present,Present,__ABCC__NODE_14837_length_1664_cov_2.621672_g9462_i0.p1,__ABCC__NODE_14837_length_1664_cov_2.621672_g9462_i0.p1
__ABCC__NODE_15742_length_1575_cov_3.283093_g10079_i0.p1,ABCC,525,1,Present,Present,Present,__ABCC__NODE_15742_length_1575_cov_3.283093_g10079_i0.p1,__ABCC__NODE_15742_length_1575_cov_3.283093_g10079_i0.p1
__ABCC__NODE_18907_length_1317_cov_6.350946_g1209_i2.p1,ABCC,438,1,Present,Present,Absent,__ABCC__NODE_18907_length_1317_cov_6.350946_g1209_i2.p1,__ABCC__NODE_18907_length_1317_cov_6.350946_g1209_i2.p1
__ABCC__NODE_20592_length_1200_cov_1.483927_g13543_i0.p1,ABCC,400,1,Present,Present,Present,__ABCC__NODE_20592_length_1200_cov_1.483927_g13543_i0.p1,__ABCC__NODE_20592_length_1200_cov_1.483927_g13543_i0.p1
__ABCC__NODE_2144_length_5086_cov_15.409768_g1209_i0.p1,ABCC,622,1,Present,Present,Absent,__ABCC__NODE_2144_length_5086_cov_15.409768_g1209_i0.p1,__ABCC__NODE_2144_length_5086_cov_15.409768_g1209_i0.p1
__ABCC__NODE_3335_length_4232_cov_32.268468_g1944_i0.p1,ABCC,461,1,Present,Present,Absent,__ABCC__NODE_3335_length_4232_cov_32.268468_g1944_i0.p1,__ABCC__NODE_3335_length_4232_cov_32.268468_g1944_i0.p1
__ABCC__NODE_500_length_8901_cov_15.885224_g131_i0.p1,ABCC,1410,2,Present,Present,Present,__ABCC__NODE_500_length_8901_cov_15.885224_g131_i0.p1,__ABCC__NODE_500_length_8901_cov_15.885224_g131_i0.p1
__ABCC__NODE_7487_length_2753_cov_5.545488_g4556_i0.p1,ABCC,468,1,Present,Present,Absent,__ABCC__NODE_7487_length_2753_cov_5.545488_g4556_i0.p1,__ABCC__NODE_7487_length_2753_cov_5.545488_g4556_i0.p1
__ABCD__NODE_3484_length_4137_cov_10.975783_g2023_i0.p1,ABCD,523,1,Present,Present,Present,__ABCD__NODE_3484_length_4137_cov_10.975783_g2023_i0.p1,__ABCD__NODE_3484_length_4137_cov_10.975783_g2023_i0.p1
__ABCE__NODE_7352_length_2784_cov_32.673492_g4465_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_7352_length_2784_cov_32.673492_g4465_i0.p1,__ABCE__NODE_7352_length_2784_cov_32.673492_g4465_i0.p1
__ABCF__NODE_3579_length_4075_cov_168.233482_g2088_i0.p1,ABCF,630,2,Present,Present,Present,__ABCF__NODE_3579_length_4075_cov_168.233482_g2088_i0.p1,__ABCF__NODE_3579_length_4075_cov_168.233482_g2088_i0.p1
__ABCF__NODE_5332_length_3363_cov_11.930296_g3188_i0.p1,ABCF,986,2,Present,Present,Present,__ABCF__NODE_5332_length_3363_cov_11.930296_g3188_i0.p1,__ABCF__NODE_5332_length_3363_cov_11.930296_g3188_i0.p1
__ABCF__NODE_9454_length_2357_cov_15.249133_g5865_i0.p1,ABCF,709,2,Present,Present,Present,__ABCF__NODE_9454_length_2357_cov_15.249133_g5865_i0.p1,__ABCF__NODE_9454_length_2357_cov_15.249133_g5865_i0.p1
__ABCG__NODE_10034_length_2263_cov_3.909666_g6266_i0.p1,ABCG,542,1,Present,Absent,Present,__ABCG__NODE_10034_length_2263_cov_3.909666_g6266_i0.p1,__ABCG__NODE_10034_length_2263_cov_3.909666_g6266_i0.p1
__ABCG__NODE_2335_length_4901_cov_14.717436_g515_i3.p1,ABCG,702,1,Present,Present,Present,__ABCG__NODE_2335_length_4901_cov_14.717436_g515_i3.p1,__ABCG__NODE_2335_length_4901_cov_14.717436_g515_i3.p1
__ABCG__NODE_2913_length_4480_cov_8.437599_g1693_i0.p1,ABCG,622,1,Present,Absent,Absent,__ABCG__NODE_2913_length_4480_cov_8.437599_g1693_i0.p1,__ABCG__NODE_2913_length_4480_cov_8.437599_g1693_i0.p1
__ABCG__NODE_4259_length_3772_cov_9.257588_g2494_i0.p1,ABCG,519,1,Present,Absent,Absent,__ABCG__NODE_4259_length_3772_cov_9.257588_g2494_i0.p1,__ABCG__NODE_4259_length_3772_cov_9.257588_g2494_i0.p1
__ABCG__NODE_8387_length_2556_cov_10.986438_g5163_i0.p1,ABCG,630,1,Present,Present,Present,__ABCG__NODE_8387_length_2556_cov_10.986438_g5163_i0.p1,__ABCG__NODE_8387_length_2556_cov_10.986438_g5163_i0.p1
