name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_8997_length_1209_cov_2.475000_g7420_i0.p1,ABCA,402,1,Present,Present,Present,__ABCA__NODE_8997_length_1209_cov_2.475000_g7420_i0.p1,__ABCA__NODE_8997_length_1209_cov_2.475000_g7420_i0.p1
__ABCBF__NODE_1126_length_4193_cov_4.041023_g840_i0.p1,ABCBF,581,1,Present,Present,Present,__ABCBF__NODE_1126_length_4193_cov_4.041023_g840_i0.p1,__ABCBF__NODE_1126_length_4193_cov_4.041023_g840_i0.p1
__ABCBF__NODE_4761_length_1942_cov_2.522451_g3774_i0.p1,ABCBF,647,1,Present,Present,Present,__ABCBF__NODE_4761_length_1942_cov_2.522451_g3774_i0.p1,__ABCBF__NODE_4761_length_1942_cov_2.522451_g3774_i0.p1
__ABCBH__NODE_5057_length_1865_cov_2.594163_g4029_i0.p1,ABCBH,370,1,Present,Present,Present,__ABCBH__NODE_5057_length_1865_cov_2.594163_g4029_i0.p1,__ABCBH__NODE_5057_length_1865_cov_2.594163_g4029_i0.p1
__ABCC__NODE_11053_length_1020_cov_1.933059_g9273_i0.p1,ABCC,295,1,Present,Present,Absent,__ABCC__NODE_11053_length_1020_cov_1.933059_g9273_i0.p1,__ABCC__NODE_11053_length_1020_cov_1.933059_g9273_i0.p1
__ABCE__NODE_2741_length_2727_cov_12.368185_g2127_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_2741_length_2727_cov_12.368185_g2127_i0.p1,__ABCE__NODE_2741_length_2727_cov_12.368185_g2127_i0.p1
__ABCF__NODE_1331_length_3887_cov_43.677436_g1000_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_1331_length_3887_cov_43.677436_g1000_i0.p1,__ABCF__NODE_1331_length_3887_cov_43.677436_g1000_i0.p1
__ABCF__NODE_1893_length_3295_cov_5.277572_g1446_i0.p1,ABCF,982,3,Present,Present,Present,__ABCF__NODE_1893_length_3295_cov_5.277572_g1446_i0.p1,__ABCF__NODE_1893_length_3295_cov_5.277572_g1446_i0.p1
__ABCF__NODE_8683_length_1244_cov_4.375732_g7136_i0.p1,ABCF,414,3,Present,Present,Present,__ABCF__NODE_8683_length_1244_cov_4.375732_g7136_i0.p1,__ABCF__NODE_8683_length_1244_cov_4.375732_g7136_i0.p1
__ABCG__NODE_12285_length_927_cov_4.022779_g10406_i0.p1,ABCG,308,1,Present,Absent,Present,__ABCG__NODE_12285_length_927_cov_4.022779_g10406_i0.p1,__ABCG__NODE_12285_length_927_cov_4.022779_g10406_i0.p1
__ABCG__NODE_1339_length_3879_cov_5.684334_g1005_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_1339_length_3879_cov_5.684334_g1005_i0.p1,__ABCG__NODE_1339_length_3879_cov_5.684334_g1005_i0.p1
