name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_14833_length_1534_cov_5.810101_g10502_i0.p1,ABCA,511,1,Present,Present,Present,__ABCA__NODE_14833_length_1534_cov_5.810101_g10502_i0.p1,__ABCA__NODE_14833_length_1534_cov_5.810101_g10502_i0.p1
__ABCA__NODE_440_length_8510_cov_8.997518_g322_i0.p1,ABCA,870,1,Present,Present,Present,__ABCA__NODE_440_length_8510_cov_8.997518_g322_i0.p1,__ABCA__NODE_440_length_8510_cov_8.997518_g322_i0.p1
__ABCBF__NODE_1044_length_6799_cov_5.388000_g728_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_1044_length_6799_cov_5.388000_g728_i0.p1,__ABCBF__NODE_1044_length_6799_cov_5.388000_g728_i0.p1
__ABCBH__NODE_10585_length_2064_cov_2.561787_g7356_i0.p1,ABCBH,613,1,Present,Present,Present,__ABCBH__NODE_10585_length_2064_cov_2.561787_g7356_i0.p1,__ABCBH__NODE_10585_length_2064_cov_2.561787_g7356_i0.p1
__ABCBH__NODE_10802_length_2029_cov_3.032323_g7517_i0.p1,ABCBH,447,1,Present,Present,Present,__ABCBH__NODE_10802_length_2029_cov_3.032323_g7517_i0.p1,__ABCBH__NODE_10802_length_2029_cov_3.032323_g7517_i0.p1
__ABCBH__NODE_5098_length_3460_cov_4.265318_g3453_i0.p1,ABCBH,718,1,Present,Present,Present,__ABCBH__NODE_5098_length_3460_cov_4.265318_g3453_i0.p1,__ABCBH__NODE_5098_length_3460_cov_4.265318_g3453_i0.p1
__ABCC__NODE_11216_length_1968_cov_5.688379_g1145_i3.p1,ABCC,604,1,Present,Present,Present,__ABCC__NODE_11216_length_1968_cov_5.688379_g1145_i3.p1,__ABCC__NODE_11216_length_1968_cov_5.688379_g1145_i3.p1
__ABCC__NODE_12074_length_1857_cov_2.940819_g8455_i0.p1,ABCC,542,1,Present,Present,Absent,__ABCC__NODE_12074_length_1857_cov_2.940819_g8455_i0.p1,__ABCC__NODE_12074_length_1857_cov_2.940819_g8455_i0.p1
__ABCC__NODE_12737_length_1762_cov_2.668418_g8949_i0.p2,ABCC,284,1,Present,Present,Absent,__ABCC__NODE_12737_length_1762_cov_2.668418_g8949_i0.p2,__ABCC__NODE_12737_length_1762_cov_2.668418_g8949_i0.p2
__ABCC__NODE_1656_length_5804_cov_15.111903_g1145_i0.p1,ABCC,860,1,Present,Present,Present,__ABCC__NODE_1656_length_5804_cov_15.111903_g1145_i0.p1,__ABCC__NODE_1656_length_5804_cov_15.111903_g1145_i0.p1
__ABCC__NODE_27774_length_780_cov_2.173735_g21350_i0.p1,ABCC,259,1,Present,Present,Present,__ABCC__NODE_27774_length_780_cov_2.173735_g21350_i0.p1,__ABCC__NODE_27774_length_780_cov_2.173735_g21350_i0.p1
__ABCC__NODE_3408_length_4302_cov_15.316012_g1145_i2.p1,ABCC,647,1,Present,Present,Absent,__ABCC__NODE_3408_length_4302_cov_15.316012_g1145_i2.p1,__ABCC__NODE_3408_length_4302_cov_15.316012_g1145_i2.p1
__ABCD__NODE_10322_length_2112_cov_3.309743_g7165_i0.p1,ABCD,634,1,Absent,Present,Absent,__ABCD__NODE_10322_length_2112_cov_3.309743_g7165_i0.p1,__ABCD__NODE_10322_length_2112_cov_3.309743_g7165_i0.p1
__ABCD__NODE_6424_length_2994_cov_4.098132_g4388_i0.p1,ABCD,512,1,Present,Present,Present,__ABCD__NODE_6424_length_2994_cov_4.098132_g4388_i0.p1,__ABCD__NODE_6424_length_2994_cov_4.098132_g4388_i0.p1
__ABCE__NODE_7485_length_2695_cov_74.855631_g5125_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_7485_length_2695_cov_74.855631_g5125_i0.p1,__ABCE__NODE_7485_length_2695_cov_74.855631_g5125_i0.p1
__ABCF__NODE_4259_length_3839_cov_359.353826_g2892_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_4259_length_3839_cov_359.353826_g2892_i0.p1,__ABCF__NODE_4259_length_3839_cov_359.353826_g2892_i0.p1
__ABCF__NODE_5548_length_3284_cov_31.128284_g3772_i0.p1,ABCF,980,3,Present,Present,Present,__ABCF__NODE_5548_length_3284_cov_31.128284_g3772_i0.p1,__ABCF__NODE_5548_length_3284_cov_31.128284_g3772_i0.p1
__ABCF__NODE_9492_length_2258_cov_14.245813_g6565_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_9492_length_2258_cov_14.245813_g6565_i0.p1,__ABCF__NODE_9492_length_2258_cov_14.245813_g6565_i0.p1
__ABCG__NODE_16232_length_1404_cov_2.582288_g11597_i0.p1,ABCG,423,1,Present,Present,Present,__ABCG__NODE_16232_length_1404_cov_2.582288_g11597_i0.p1,__ABCG__NODE_16232_length_1404_cov_2.582288_g11597_i0.p1
__ABCG__NODE_5053_length_3481_cov_4.673077_g3423_i0.p1,ABCG,595,1,Present,Present,Present,__ABCG__NODE_5053_length_3481_cov_4.673077_g3423_i0.p1,__ABCG__NODE_5053_length_3481_cov_4.673077_g3423_i0.p1
__ABCG__NODE_535_length_8167_cov_9.228751_g392_i0.p1,ABCG,660,1,Present,Present,Present,__ABCG__NODE_535_length_8167_cov_9.228751_g392_i0.p1,__ABCG__NODE_535_length_8167_cov_9.228751_g392_i0.p1
__ABCG__NODE_5792_length_3198_cov_4.903144_g3942_i0.p1,ABCG,757,1,Present,Absent,Absent,__ABCG__NODE_5792_length_3198_cov_4.903144_g3942_i0.p1,__ABCG__NODE_5792_length_3198_cov_4.903144_g3942_i0.p1
__ABCG__NODE_80_length_12118_cov_10.320242_g55_i0.p1,ABCG,669,2,Present,Present,Present,__ABCG__NODE_80_length_12118_cov_10.320242_g55_i0.p1,__ABCG__NODE_80_length_12118_cov_10.320242_g55_i0.p1
__ABCG__NODE_8606_length_2427_cov_22.789319_g5911_i0.p1,ABCG,629,1,Present,Present,Present,__ABCG__NODE_8606_length_2427_cov_22.789319_g5911_i0.p1,__ABCG__NODE_8606_length_2427_cov_22.789319_g5911_i0.p1
__ABCG__NODE_8670_length_2414_cov_6.607188_g5949_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_8670_length_2414_cov_6.607188_g5949_i0.p1,__ABCG__NODE_8670_length_2414_cov_6.607188_g5949_i0.p1
