name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__GBXD01022948.1.p1,ABCA,319,1,Absent,Absent,Absent,__ABCA__GBXD01022948.1.p1,__ABCA__GBXD01022948.1.p1
__ABCA__GBXD01036226.1.p1,ABCA,1147,2,Present,Present,Absent,__ABCA__GBXD01036226.1.p1,__ABCA__GBXD01036226.1.p1
__ABCA__GBXD01036611.1.p1,ABCA,1286,2,Present,Present,Present,__ABCA__GBXD01036611.1.p1,__ABCA__GBXD01036611.1.p1
__ABCA__GBXD01036936.1.p1,ABCA,1450,2,Present,Present,Present,__ABCA__GBXD01036936.1.p1,__ABCA__GBXD01036936.1.p1
__ABCA__GBXD01037210.1.p1,ABCA,1700,2,Present,Present,Present,__ABCA__GBXD01037210.1.p1,__ABCA__GBXD01037210.1.p1
__ABCA__GBXD01037257.1.p1,ABCA,1743,2,Present,Present,Present,__ABCA__GBXD01037257.1.p1,__ABCA__GBXD01037257.1.p1
__ABCBF__GBXD01010622.1.p1,ABCBF,258,1,Present,Present,Present,__ABCBF__GBXD01010622.1.p1,__ABCBF__GBXD01010622.1.p1
__ABCBF__GBXD01030049.1.p1,ABCBF,527,1,Absent,Present,Absent,__ABCBF__GBXD01030049.1.p1,__ABCBF__GBXD01030049.1.p1
__ABCBF__GBXD01030610.1.p1,ABCBF,551,1,Absent,Present,Present,__ABCBF__GBXD01030610.1.p1,__ABCBF__GBXD01030610.1.p1
__ABCBF__GBXD01033051.1.p1,ABCBF,763,1,Present,Present,Present,__ABCBF__GBXD01033051.1.p1,__ABCBF__GBXD01033051.1.p1
__ABCBF__GBXD01036451.1.p1,ABCBF,1215,2,Present,Present,Present,__ABCBF__GBXD01036451.1.p1,__ABCBF__GBXD01036451.1.p1
__ABCBF__GBXD01036455.1.p1,ABCBF,1216,2,Present,Present,Present,__ABCBF__GBXD01036455.1.p1,__ABCBF__GBXD01036455.1.p1
__ABCBF__GBXD01036459.1.p1,ABCBF,1217,2,Present,Present,Present,__ABCBF__GBXD01036459.1.p1,__ABCBF__GBXD01036459.1.p1
__ABCBF__GBXD01036565.1.p1,ABCBF,1264,2,Present,Present,Present,__ABCBF__GBXD01036565.1.p1,__ABCBF__GBXD01036565.1.p1
__ABCBF__GBXD01036671.1.p1,ABCBF,1309,2,Present,Present,Present,__ABCBF__GBXD01036671.1.p1,__ABCBF__GBXD01036671.1.p1
__ABCBH__GBXD01032999.1.p1,ABCBH,699,1,Present,Present,Present,__ABCBH__GBXD01032999.1.p1,__ABCBH__GBXD01032999.1.p1
__ABCBH__GBXD01033025.1.p1,ABCBH,701,1,Present,Present,Present,__ABCBH__GBXD01033025.1.p1,__ABCBH__GBXD01033025.1.p1
__ABCBH__GBXD01033214.1.p1,ABCBH,714,1,Present,Present,Present,__ABCBH__GBXD01033214.1.p1,__ABCBH__GBXD01033214.1.p1
__ABCBH__GBXD01034498.1.p1,ABCBH,848,1,Present,Present,Present,__ABCBH__GBXD01034498.1.p1,__ABCBH__GBXD01034498.1.p1
__ABCC__GBXD01019579.1.p1,ABCC,280,1,Absent,Present,Absent,__ABCC__GBXD01019579.1.p1,__ABCC__GBXD01019579.1.p1
__ABCC__GBXD01021744.1.p1,ABCC,324,1,Present,Present,Absent,__ABCC__GBXD01021744.1.p1,__ABCC__GBXD01021744.1.p1
__ABCC__GBXD01023440.1.p1,ABCC,327,1,Absent,Present,Absent,__ABCC__GBXD01023440.1.p1,__ABCC__GBXD01023440.1.p1
