name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1153_length_5672_cov_6.930108_g760_i0.p1,ABCA,1441,2,Present,Present,Present,__ABCA__NODE_1153_length_5672_cov_6.930108_g760_i0.p1,__ABCA__NODE_1153_length_5672_cov_6.930108_g760_i0.p1
__ABCA__NODE_19477_length_968_cov_3.198041_g13929_i0.p1,ABCA,322,1,Absent,Present,Present,__ABCA__NODE_19477_length_968_cov_3.198041_g13929_i0.p1,__ABCA__NODE_19477_length_968_cov_3.198041_g13929_i0.p1
__ABCBF__NODE_601_length_6958_cov_6.958460_g402_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_601_length_6958_cov_6.958460_g402_i0.p1,__ABCBF__NODE_601_length_6958_cov_6.958460_g402_i0.p1
__ABCBH__NODE_15495_length_1254_cov_3.773444_g10766_i0.p1,ABCBH,417,1,Present,Present,Present,__ABCBH__NODE_15495_length_1254_cov_3.773444_g10766_i0.p1,__ABCBH__NODE_15495_length_1254_cov_3.773444_g10766_i0.p1
__ABCBH__NODE_5148_length_2964_cov_10.772899_g3359_i0.p1,ABCBH,466,1,Present,Present,Present,__ABCBH__NODE_5148_length_2964_cov_10.772899_g3359_i0.p1,__ABCBH__NODE_5148_length_2964_cov_10.772899_g3359_i0.p1
__ABCBH__NODE_5840_length_2746_cov_2.914349_g3825_i0.p1,ABCBH,614,1,Present,Present,Present,__ABCBH__NODE_5840_length_2746_cov_2.914349_g3825_i0.p1,__ABCBH__NODE_5840_length_2746_cov_2.914349_g3825_i0.p1
__ABCC__NODE_1497_length_5156_cov_10.304484_g971_i0.p1,ABCC,1521,2,Present,Present,Present,__ABCC__NODE_1497_length_5156_cov_10.304484_g971_i0.p1,__ABCC__NODE_1497_length_5156_cov_10.304484_g971_i0.p1
__ABCC__NODE_5672_length_2791_cov_11.411743_g3710_i0.p1,ABCC,573,1,Present,Present,Absent,__ABCC__NODE_5672_length_2791_cov_11.411743_g3710_i0.p1,__ABCC__NODE_5672_length_2791_cov_11.411743_g3710_i0.p1
__ABCC__NODE_8679_length_2108_cov_5.470131_g5737_i0.p1,ABCC,486,1,Present,Present,Absent,__ABCC__NODE_8679_length_2108_cov_5.470131_g5737_i0.p1,__ABCC__NODE_8679_length_2108_cov_5.470131_g5737_i0.p1
__ABCC__NODE_9087_length_2036_cov_5.309009_g6038_i0.p1,ABCC,678,1,Present,Present,Present,__ABCC__NODE_9087_length_2036_cov_5.309009_g6038_i0.p1,__ABCC__NODE_9087_length_2036_cov_5.309009_g6038_i0.p1
