name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_16801_length_1404_cov_6.946125_g11508_i0.p1,ABCA,468,1,Present,Present,Present,__ABCA__NODE_16801_length_1404_cov_6.946125_g11508_i0.p1,__ABCA__NODE_16801_length_1404_cov_6.946125_g11508_i0.p1
__ABCA__NODE_3632_length_3875_cov_4.625457_g2344_i0.p1,ABCA,1222,2,Present,Present,Present,__ABCA__NODE_3632_length_3875_cov_4.625457_g2344_i0.p1,__ABCA__NODE_3632_length_3875_cov_4.625457_g2344_i0.p1
__ABCA__NODE_5818_length_3059_cov_5.576412_g3767_i0.p1,ABCA,540,1,Present,Present,Present,__ABCA__NODE_5818_length_3059_cov_5.576412_g3767_i0.p1,__ABCA__NODE_5818_length_3059_cov_5.576412_g3767_i0.p1
__ABCA__NODE_998_length_6190_cov_11.643869_g683_i0.p1,ABCA,585,1,Present,Present,Present,__ABCA__NODE_998_length_6190_cov_11.643869_g683_i0.p1,__ABCA__NODE_998_length_6190_cov_11.643869_g683_i0.p1
__ABCBF__NODE_346_length_8103_cov_14.331016_g233_i0.p1,ABCBF,1411,2,Present,Present,Present,__ABCBF__NODE_346_length_8103_cov_14.331016_g233_i0.p1,__ABCBF__NODE_346_length_8103_cov_14.331016_g233_i0.p1
__ABCBH__NODE_10297_length_2127_cov_37.120789_g6829_i0.p1,ABCBH,447,1,Present,Present,Present,__ABCBH__NODE_10297_length_2127_cov_37.120789_g6829_i0.p1,__ABCBH__NODE_10297_length_2127_cov_37.120789_g6829_i0.p1
__ABCBH__NODE_1315_length_5675_cov_9.902595_g890_i0.p1,ABCBH,922,1,Present,Present,Present,__ABCBH__NODE_1315_length_5675_cov_9.902595_g890_i0.p1,__ABCBH__NODE_1315_length_5675_cov_9.902595_g890_i0.p1
__ABCC__NODE_1425_length_5529_cov_11.817883_g492_i1.p1,ABCC,1240,2,Present,Present,Present,__ABCC__NODE_1425_length_5529_cov_11.817883_g492_i1.p1,__ABCC__NODE_1425_length_5529_cov_11.817883_g492_i1.p1
__ABCC__NODE_16761_length_1407_cov_6.488954_g11482_i0.p1,ABCC,469,1,Present,Present,Present,__ABCC__NODE_16761_length_1407_cov_6.488954_g11482_i0.p1,__ABCC__NODE_16761_length_1407_cov_6.488954_g11482_i0.p1
__ABCC__NODE_20268_length_1153_cov_3.527174_g14247_i0.p1,ABCC,383,1,Present,Present,Present,__ABCC__NODE_20268_length_1153_cov_3.527174_g14247_i0.p1,__ABCC__NODE_20268_length_1153_cov_3.527174_g14247_i0.p1
__ABCC__NODE_2107_length_4835_cov_4.193899_g1361_i0.p1,ABCC,1106,2,Present,Present,Present,__ABCC__NODE_2107_length_4835_cov_4.193899_g1361_i0.p1,__ABCC__NODE_2107_length_4835_cov_4.193899_g1361_i0.p1
__ABCC__NODE_2260_length_4704_cov_7.897744_g492_i3.p1,ABCC,1212,2,Present,Present,Present,__ABCC__NODE_2260_length_4704_cov_7.897744_g492_i3.p1,__ABCC__NODE_2260_length_4704_cov_7.897744_g492_i3.p1
