name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_30999_length_841_cov_3.254342_g19290_i0.p1,ABCA,280,2,Present,Absent,Present,__ABCA__NODE_30999_length_841_cov_3.254342_g19290_i0.p1,__ABCA__NODE_30999_length_841_cov_3.254342_g19290_i0.p1
__ABCBF__NODE_10822_length_1855_cov_6.318132_g6116_i0.p1,ABCBF,495,1,Present,Present,Present,__ABCBF__NODE_10822_length_1855_cov_6.318132_g6116_i0.p1,__ABCBF__NODE_10822_length_1855_cov_6.318132_g6116_i0.p1
__ABCBF__NODE_28928_length_898_cov_3.294322_g17731_i0.p1,ABCBF,299,1,Present,Present,Present,__ABCBF__NODE_28928_length_898_cov_3.294322_g17731_i0.p1,__ABCBF__NODE_28928_length_898_cov_3.294322_g17731_i0.p1
__ABCBH__NODE_10867_length_1851_cov_3.583150_g6146_i0.p1,ABCBH,591,1,Present,Present,Present,__ABCBH__NODE_10867_length_1851_cov_3.583150_g6146_i0.p1,__ABCBH__NODE_10867_length_1851_cov_3.583150_g6146_i0.p1
__ABCBH__NODE_14647_length_1538_cov_5.264804_g8357_i0.p1,ABCBH,362,1,Present,Present,Present,__ABCBH__NODE_14647_length_1538_cov_5.264804_g8357_i0.p1,__ABCBH__NODE_14647_length_1538_cov_5.264804_g8357_i0.p1
__ABCBH__NODE_17386_length_1365_cov_5.040602_g8357_i1.p1,ABCBH,308,1,Present,Present,Present,__ABCBH__NODE_17386_length_1365_cov_5.040602_g8357_i1.p1,__ABCBH__NODE_17386_length_1365_cov_5.040602_g8357_i1.p1
__ABCC__NODE_15881_length_1452_cov_2.737474_g9079_i0.p1,ABCC,343,1,Present,Present,Absent,__ABCC__NODE_15881_length_1452_cov_2.737474_g9079_i0.p1,__ABCC__NODE_15881_length_1452_cov_2.737474_g9079_i0.p1
__ABCC__NODE_28996_length_896_cov_3.793264_g17781_i0.p1,ABCC,258,1,Present,Present,Absent,__ABCC__NODE_28996_length_896_cov_3.793264_g17781_i0.p1,__ABCC__NODE_28996_length_896_cov_3.793264_g17781_i0.p1
__ABCC__NODE_9923_length_1946_cov_8.861852_g5607_i0.p1,ABCC,559,1,Present,Present,Absent,__ABCC__NODE_9923_length_1946_cov_8.861852_g5607_i0.p1,__ABCC__NODE_9923_length_1946_cov_8.861852_g5607_i0.p1
__ABCE__NODE_7099_length_2319_cov_46.491681_g3996_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_7099_length_2319_cov_46.491681_g3996_i0.p1,__ABCE__NODE_7099_length_2319_cov_46.491681_g3996_i0.p1
__ABCF__NODE_3554_length_3175_cov_214.666561_g1963_i0.p1,ABCF,898,2,Present,Present,Present,__ABCF__NODE_3554_length_3175_cov_214.666561_g1963_i0.p1,__ABCF__NODE_3554_length_3175_cov_214.666561_g1963_i0.p1
__ABCF__NODE_7549_length_2249_cov_18.652665_g4248_i0.p1,ABCF,714,3,Present,Present,Present,__ABCF__NODE_7549_length_2249_cov_18.652665_g4248_i0.p1,__ABCF__NODE_7549_length_2249_cov_18.652665_g4248_i0.p1
__ABCF__NODE_757_length_5348_cov_29.009223_g418_i0.p1,ABCF,624,3,Present,Present,Present,__ABCF__NODE_757_length_5348_cov_29.009223_g418_i0.p1,__ABCF__NODE_757_length_5348_cov_29.009223_g418_i0.p1
__ABCG__NODE_14386_length_1557_cov_3.578187_g8203_i0.p1,ABCG,515,1,Present,Absent,Present,__ABCG__NODE_14386_length_1557_cov_3.578187_g8203_i0.p1,__ABCG__NODE_14386_length_1557_cov_3.578187_g8203_i0.p1
__ABCG__NODE_5358_length_2655_cov_11.664122_g2989_i0.p1,ABCG,644,1,Present,Present,Absent,__ABCG__NODE_5358_length_2655_cov_11.664122_g2989_i0.p1,__ABCG__NODE_5358_length_2655_cov_11.664122_g2989_i0.p1
