name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_17115_length_1342_cov_2.044084_g11041_i0.p1,ABCA,382,2,Present,Absent,Present,__ABCA__NODE_17115_length_1342_cov_2.044084_g11041_i0.p1,__ABCA__NODE_17115_length_1342_cov_2.044084_g11041_i0.p1
__ABCA__NODE_20238_length_1104_cov_2.534597_g13313_i0.p1,ABCA,368,1,Absent,Present,Absent,__ABCA__NODE_20238_length_1104_cov_2.534597_g13313_i0.p1,__ABCA__NODE_20238_length_1104_cov_2.534597_g13313_i0.p1
__ABCA__NODE_21757_length_1009_cov_4.154167_g14480_i0.p1,ABCA,336,2,Present,Absent,Present,__ABCA__NODE_21757_length_1009_cov_4.154167_g14480_i0.p1,__ABCA__NODE_21757_length_1009_cov_4.154167_g14480_i0.p1
__ABCA__NODE_3689_length_3923_cov_74.664430_g2316_i0.p1,ABCA,285,1,Present,Absent,Present,__ABCA__NODE_3689_length_3923_cov_74.664430_g2316_i0.p1,__ABCA__NODE_3689_length_3923_cov_74.664430_g2316_i0.p1
__ABCA__NODE_4874_length_3406_cov_14.095621_g3064_i0.p1,ABCA,747,1,Present,Present,Present,__ABCA__NODE_4874_length_3406_cov_14.095621_g3064_i0.p1,__ABCA__NODE_4874_length_3406_cov_14.095621_g3064_i0.p1
__ABCA__NODE_9121_length_2332_cov_2.672799_g5732_i0.p1,ABCA,751,1,Present,Present,Present,__ABCA__NODE_9121_length_2332_cov_2.672799_g5732_i0.p1,__ABCA__NODE_9121_length_2332_cov_2.672799_g5732_i0.p1
__ABCBF__NODE_21342_length_1036_cov_2.254306_g14164_i0.p1,ABCBF,345,2,Present,Present,Present,__ABCBF__NODE_21342_length_1036_cov_2.254306_g14164_i0.p1,__ABCBF__NODE_21342_length_1036_cov_2.254306_g14164_i0.p1
__ABCBF__NODE_713_length_6852_cov_47.776275_g449_i0.p1,ABCBF,1412,2,Present,Present,Present,__ABCBF__NODE_713_length_6852_cov_47.776275_g449_i0.p1,__ABCBF__NODE_713_length_6852_cov_47.776275_g449_i0.p1
__ABCBH__NODE_1281_length_5809_cov_8.989931_g817_i0.p1,ABCBH,724,1,Present,Present,Present,__ABCBH__NODE_1281_length_5809_cov_8.989931_g817_i0.p1,__ABCBH__NODE_1281_length_5809_cov_8.989931_g817_i0.p1
__ABCBH__NODE_2181_length_4847_cov_7.194248_g1372_i0.p1,ABCBH,333,1,Present,Present,Present,__ABCBH__NODE_2181_length_4847_cov_7.194248_g1372_i0.p1,__ABCBH__NODE_2181_length_4847_cov_7.194248_g1372_i0.p1
__ABCBH__NODE_3907_length_3809_cov_5.573936_g2454_i0.p1,ABCBH,343,1,Present,Present,Present,__ABCBH__NODE_3907_length_3809_cov_5.573936_g2454_i0.p1,__ABCBH__NODE_3907_length_3809_cov_5.573936_g2454_i0.p1
__ABCBH__NODE_7584_length_2650_cov_13.755863_g4769_i0.p1,ABCBH,733,1,Present,Present,Present,__ABCBH__NODE_7584_length_2650_cov_13.755863_g4769_i0.p1,__ABCBH__NODE_7584_length_2650_cov_13.755863_g4769_i0.p1
__ABCC__NODE_1336_length_5730_cov_9.264918_g851_i0.p1,ABCC,1384,2,Present,Present,Present,__ABCC__NODE_1336_length_5730_cov_9.264918_g851_i0.p1,__ABCC__NODE_1336_length_5730_cov_9.264918_g851_i0.p1
__ABCC__NODE_4897_length_3398_cov_2.550911_g3076_i0.p1,ABCC,337,1,Present,Absent,Present,__ABCC__NODE_4897_length_3398_cov_2.550911_g3076_i0.p1,__ABCC__NODE_4897_length_3398_cov_2.550911_g3076_i0.p1
__ABCD__NODE_6890_length_2809_cov_5.226812_g4341_i0.p1,ABCD,424,1,Present,Present,Present,__ABCD__NODE_6890_length_2809_cov_5.226812_g4341_i0.p1,__ABCD__NODE_6890_length_2809_cov_5.226812_g4341_i0.p1
__ABCD__NODE_7778_length_2604_cov_42.717025_g4891_i0.p1,ABCD,437,1,Present,Present,Present,__ABCD__NODE_7778_length_2604_cov_42.717025_g4891_i0.p1,__ABCD__NODE_7778_length_2604_cov_42.717025_g4891_i0.p1
