name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_16929_length_1438_cov_1.982721_g9308_i0.p1,ABCA,478,1,Present,Present,Present,__ABCA__NODE_16929_length_1438_cov_1.982721_g9308_i0.p1,__ABCA__NODE_16929_length_1438_cov_1.982721_g9308_i0.p1
__ABCBH__NODE_22902_length_1078_cov_2.946550_g13282_i0.p1,ABCBH,332,1,Present,Present,Present,__ABCBH__NODE_22902_length_1078_cov_2.946550_g13282_i0.p1,__ABCBH__NODE_22902_length_1078_cov_2.946550_g13282_i0.p1
__ABCBH__NODE_559_length_6464_cov_13.225877_g303_i0.p1,ABCBH,923,1,Present,Absent,Present,__ABCBH__NODE_559_length_6464_cov_13.225877_g303_i0.p1,__ABCBH__NODE_559_length_6464_cov_13.225877_g303_i0.p1
__ABCBH__NODE_6622_length_2678_cov_5.775960_g3542_i0.p1,ABCBH,732,1,Present,Present,Present,__ABCBH__NODE_6622_length_2678_cov_5.775960_g3542_i0.p1,__ABCBH__NODE_6622_length_2678_cov_5.775960_g3542_i0.p1
__ABCC__NODE_12825_length_1793_cov_2.962729_g6887_i0.p1,ABCC,476,1,Present,Absent,Present,__ABCC__NODE_12825_length_1793_cov_2.962729_g6887_i0.p1,__ABCC__NODE_12825_length_1793_cov_2.962729_g6887_i0.p1
__ABCC__NODE_27218_length_890_cov_2.357907_g16563_i0.p1,ABCC,296,1,Absent,Absent,Present,__ABCC__NODE_27218_length_890_cov_2.357907_g16563_i0.p1,__ABCC__NODE_27218_length_890_cov_2.357907_g16563_i0.p1
__ABCC__NODE_27752_length_870_cov_3.528624_g16985_i0.p1,ABCC,289,2,Present,Present,Present,__ABCC__NODE_27752_length_870_cov_3.528624_g16985_i0.p1,__ABCC__NODE_27752_length_870_cov_3.528624_g16985_i0.p1
__ABCC__NODE_6432_length_2715_cov_3.338335_g3447_i0.p1,ABCC,268,1,Present,Absent,Present,__ABCC__NODE_6432_length_2715_cov_3.338335_g3447_i0.p1,__ABCC__NODE_6432_length_2715_cov_3.338335_g3447_i0.p1
__ABCD__NODE_17895_length_1372_cov_4.838246_g9918_i0.p1,ABCD,265,1,Present,Present,Present,__ABCD__NODE_17895_length_1372_cov_4.838246_g9918_i0.p1,__ABCD__NODE_17895_length_1372_cov_4.838246_g9918_i0.p1
__ABCE__NODE_5995_length_2807_cov_42.320522_g3227_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5995_length_2807_cov_42.320522_g3227_i0.p1,__ABCE__NODE_5995_length_2807_cov_42.320522_g3227_i0.p1
__ABCF__NODE_3491_length_3559_cov_137.972365_g1925_i0.p1,ABCF,497,2,Present,Present,Present,__ABCF__NODE_3491_length_3559_cov_137.972365_g1925_i0.p1,__ABCF__NODE_3491_length_3559_cov_137.972365_g1925_i0.p1
__ABCF__NODE_4465_length_3207_cov_21.410703_g2413_i0.p1,ABCF,982,2,Present,Present,Present,__ABCF__NODE_4465_length_3207_cov_21.410703_g2413_i0.p1,__ABCF__NODE_4465_length_3207_cov_21.410703_g2413_i0.p1
__ABCF__NODE_8462_length_2331_cov_20.951358_g4520_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_8462_length_2331_cov_20.951358_g4520_i0.p1,__ABCF__NODE_8462_length_2331_cov_20.951358_g4520_i0.p1
__ABCG__NODE_5048_length_3041_cov_4.230949_g2726_i0.p1,ABCG,777,1,Present,Absent,Absent,__ABCG__NODE_5048_length_3041_cov_4.230949_g2726_i0.p1,__ABCG__NODE_5048_length_3041_cov_4.230949_g2726_i0.p1
__ABCG__NODE_5780_length_2860_cov_5.638207_g3111_i0.p1,ABCG,703,1,Present,Present,Present,__ABCG__NODE_5780_length_2860_cov_5.638207_g3111_i0.p1,__ABCG__NODE_5780_length_2860_cov_5.638207_g3111_i0.p1
__ABCG__NODE_6985_length_2602_cov_8.994125_g3719_i0.p1,ABCG,646,1,Present,Present,Absent,__ABCG__NODE_6985_length_2602_cov_8.994125_g3719_i0.p1,__ABCG__NODE_6985_length_2602_cov_8.994125_g3719_i0.p1
__ABCG__NODE_9190_length_2227_cov_6.624426_g4896_i0.p1,ABCG,659,1,Present,Present,Present,__ABCG__NODE_9190_length_2227_cov_6.624426_g4896_i0.p1,__ABCG__NODE_9190_length_2227_cov_6.624426_g4896_i0.p1
