name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_2539_length_5505_cov_16.532793_g1278_i0.p1,ABCA,1503,2,Present,Present,Present,__ABCA__NODE_2539_length_5505_cov_16.532793_g1278_i0.p1,__ABCA__NODE_2539_length_5505_cov_16.532793_g1278_i0.p1
__ABCA__NODE_36448_length_877_cov_2.583750_g20040_i0.p1,ABCA,291,1,Present,Present,Present,__ABCA__NODE_36448_length_877_cov_2.583750_g20040_i0.p1,__ABCA__NODE_36448_length_877_cov_2.583750_g20040_i0.p1
__ABCA__NODE_754_length_7553_cov_7.347111_g388_i0.p1,ABCA,410,1,Present,Present,Present,__ABCA__NODE_754_length_7553_cov_7.347111_g388_i0.p1,__ABCA__NODE_754_length_7553_cov_7.347111_g388_i0.p1
__ABCBF__NODE_1694_length_6259_cov_30.997574_g847_i0.p1,ABCBF,1409,2,Present,Present,Present,__ABCBF__NODE_1694_length_6259_cov_30.997574_g847_i0.p1,__ABCBF__NODE_1694_length_6259_cov_30.997574_g847_i0.p1
__ABCBF__NODE_17891_length_2026_cov_2.746537_g8705_i0.p1,ABCBF,675,1,Present,Present,Present,__ABCBF__NODE_17891_length_2026_cov_2.746537_g8705_i0.p1,__ABCBF__NODE_17891_length_2026_cov_2.746537_g8705_i0.p1
__ABCBF__NODE_25532_length_1410_cov_2.597899_g12650_i0.p1,ABCBF,461,1,Present,Present,Present,__ABCBF__NODE_25532_length_1410_cov_2.597899_g12650_i0.p1,__ABCBF__NODE_25532_length_1410_cov_2.597899_g12650_i0.p1
__ABCBH__NODE_22199_length_1648_cov_5.045194_g10847_i0.p1,ABCBH,522,1,Present,Present,Present,__ABCBH__NODE_22199_length_1648_cov_5.045194_g10847_i0.p1,__ABCBH__NODE_22199_length_1648_cov_5.045194_g10847_i0.p1
__ABCBH__NODE_3627_length_4882_cov_9.741311_g1826_i0.p1,ABCBH,460,1,Present,Present,Present,__ABCBH__NODE_3627_length_4882_cov_9.741311_g1826_i0.p1,__ABCBH__NODE_3627_length_4882_cov_9.741311_g1826_i0.p1
__ABCBH__NODE_3926_length_4741_cov_21.888722_g1978_i0.p1,ABCBH,709,1,Present,Present,Present,__ABCBH__NODE_3926_length_4741_cov_21.888722_g1978_i0.p1,__ABCBH__NODE_3926_length_4741_cov_21.888722_g1978_i0.p1
__ABCBH__NODE_6438_length_3822_cov_12.970895_g3251_i0.p1,ABCBH,731,1,Present,Present,Present,__ABCBH__NODE_6438_length_3822_cov_12.970895_g3251_i0.p1,__ABCBH__NODE_6438_length_3822_cov_12.970895_g3251_i0.p1
__ABCC__NODE_1325_length_6699_cov_20.593476_g664_i0.p1,ABCC,1140,2,Present,Present,Present,__ABCC__NODE_1325_length_6699_cov_20.593476_g664_i0.p1,__ABCC__NODE_1325_length_6699_cov_20.593476_g664_i0.p1
__ABCC__NODE_1757_length_6189_cov_9.618619_g878_i0.p1,ABCC,1576,2,Present,Present,Present,__ABCC__NODE_1757_length_6189_cov_9.618619_g878_i0.p1,__ABCC__NODE_1757_length_6189_cov_9.618619_g878_i0.p1
__ABCC__NODE_1769_length_6179_cov_3.777778_g883_i0.p1,ABCC,1456,2,Present,Present,Present,__ABCC__NODE_1769_length_6179_cov_3.777778_g883_i0.p1,__ABCC__NODE_1769_length_6179_cov_3.777778_g883_i0.p1
__ABCC__NODE_2150_length_5817_cov_19.593031_g1079_i0.p1,ABCC,1536,2,Present,Present,Present,__ABCC__NODE_2150_length_5817_cov_19.593031_g1079_i0.p1,__ABCC__NODE_2150_length_5817_cov_19.593031_g1079_i0.p1
__ABCC__NODE_21539_length_1701_cov_2.230911_g10492_i0.p1,ABCC,566,1,Absent,Present,Present,__ABCC__NODE_21539_length_1701_cov_2.230911_g10492_i0.p1,__ABCC__NODE_21539_length_1701_cov_2.230911_g10492_i0.p1
__ABCC__NODE_22479_length_1628_cov_3.001289_g10984_i0.p1,ABCC,508,1,Absent,Present,Absent,__ABCC__NODE_22479_length_1628_cov_3.001289_g10984_i0.p1,__ABCC__NODE_22479_length_1628_cov_3.001289_g10984_i0.p1
__ABCC__NODE_5697_length_4040_cov_15.201110_g2885_i0.p1,ABCC,987,2,Present,Present,Present,__ABCC__NODE_5697_length_4040_cov_15.201110_g2885_i0.p1,__ABCC__NODE_5697_length_4040_cov_15.201110_g2885_i0.p1
__ABCD__NODE_3657_length_4870_cov_14.518047_g1845_i0.p1,ABCD,663,1,Present,Present,Present,__ABCD__NODE_3657_length_4870_cov_14.518047_g1845_i0.p1,__ABCD__NODE_3657_length_4870_cov_14.518047_g1845_i0.p1
__ABCD__NODE_713_length_7641_cov_7.959810_g369_i0.p1,ABCD,498,1,Present,Present,Present,__ABCD__NODE_713_length_7641_cov_7.959810_g369_i0.p1,__ABCD__NODE_713_length_7641_cov_7.959810_g369_i0.p1
__ABCD__NODE_9603_length_3113_cov_7.874835_g4748_i0.p1,ABCD,514,1,Present,Present,Present,__ABCD__NODE_9603_length_3113_cov_7.874835_g4748_i0.p1,__ABCD__NODE_9603_length_3113_cov_7.874835_g4748_i0.p1
