name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_262_length_5446_cov_35.602186_g170_i0.p1,ABCA,1234,2,Present,Present,Present,__ABCA__NODE_262_length_5446_cov_35.602186_g170_i0.p1,__ABCA__NODE_262_length_5446_cov_35.602186_g170_i0.p1
__ABCC__NODE_1032_length_4026_cov_29.402062_g699_i0.p1,ABCC,445,1,Present,Present,Absent,__ABCC__NODE_1032_length_4026_cov_29.402062_g699_i0.p1,__ABCC__NODE_1032_length_4026_cov_29.402062_g699_i0.p1
__ABCC__NODE_928_length_4124_cov_12.729571_g624_i0.p1,ABCC,1149,2,Present,Present,Present,__ABCC__NODE_928_length_4124_cov_12.729571_g624_i0.p1,__ABCC__NODE_928_length_4124_cov_12.729571_g624_i0.p1
__ABCE__NODE_3292_length_2704_cov_22.176271_g2322_i0.p1,ABCE,630,2,Present,Present,Present,__ABCE__NODE_3292_length_2704_cov_22.176271_g2322_i0.p1,__ABCE__NODE_3292_length_2704_cov_22.176271_g2322_i0.p1
__ABCF__NODE_1366_length_3712_cov_75.330057_g945_i0.p1,ABCF,624,3,Present,Present,Present,__ABCF__NODE_1366_length_3712_cov_75.330057_g945_i0.p1,__ABCF__NODE_1366_length_3712_cov_75.330057_g945_i0.p1
__ABCF__NODE_1922_length_3347_cov_14.676167_g1343_i0.p1,ABCF,949,4,Present,Present,Present,__ABCF__NODE_1922_length_3347_cov_14.676167_g1343_i0.p1,__ABCF__NODE_1922_length_3347_cov_14.676167_g1343_i0.p1
__ABCF__NODE_4470_length_2350_cov_9.522816_g3179_i0.p1,ABCF,709,3,Present,Present,Present,__ABCF__NODE_4470_length_2350_cov_9.522816_g3179_i0.p1,__ABCF__NODE_4470_length_2350_cov_9.522816_g3179_i0.p1
__ABCG__NODE_3709_length_2568_cov_33.716951_g2191_i2.p1,ABCG,642,1,Present,Present,Present,__ABCG__NODE_3709_length_2568_cov_33.716951_g2191_i2.p1,__ABCG__NODE_3709_length_2568_cov_33.716951_g2191_i2.p1
__ABCG__NODE_5042_length_2215_cov_21.825946_g3607_i0.p1,ABCG,631,1,Present,Present,Present,__ABCG__NODE_5042_length_2215_cov_21.825946_g3607_i0.p1,__ABCG__NODE_5042_length_2215_cov_21.825946_g3607_i0.p1
__ABCG__NODE_85_length_6559_cov_25.853763_g48_i0.p1,ABCG,663,2,Present,Present,Present,__ABCG__NODE_85_length_6559_cov_25.853763_g48_i0.p1,__ABCG__NODE_85_length_6559_cov_25.853763_g48_i0.p1
