name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_14941_length_1141_cov_2.680403_g10869_i0.p1,ABCA,379,2,Present,Absent,Present,__ABCA__NODE_14941_length_1141_cov_2.680403_g10869_i0.p1,__ABCA__NODE_14941_length_1141_cov_2.680403_g10869_i0.p1
__ABCBF__NODE_2082_length_4291_cov_11.950731_g1424_i0.p1,ABCBF,653,1,Present,Present,Present,__ABCBF__NODE_2082_length_4291_cov_11.950731_g1424_i0.p1,__ABCBF__NODE_2082_length_4291_cov_11.950731_g1424_i0.p1
__ABCBH__NODE_783_length_6105_cov_12.940720_g514_i0.p1,ABCBH,722,2,Present,Present,Present,__ABCBH__NODE_783_length_6105_cov_12.940720_g514_i0.p1,__ABCBH__NODE_783_length_6105_cov_12.940720_g514_i0.p1
__ABCC__NODE_3464_length_3405_cov_6.475566_g2392_i0.p1,ABCC,648,1,Present,Present,Absent,__ABCC__NODE_3464_length_3405_cov_6.475566_g2392_i0.p1,__ABCC__NODE_3464_length_3405_cov_6.475566_g2392_i0.p1
__ABCD__NODE_14339_length_1195_cov_2.626527_g10371_i0.p1,ABCD,294,1,Present,Present,Present,__ABCD__NODE_14339_length_1195_cov_2.626527_g10371_i0.p1,__ABCD__NODE_14339_length_1195_cov_2.626527_g10371_i0.p1
__ABCE__NODE_5187_length_2749_cov_56.601111_g3534_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_5187_length_2749_cov_56.601111_g3534_i0.p1,__ABCE__NODE_5187_length_2749_cov_56.601111_g3534_i0.p1
__ABCF__NODE_2620_length_3898_cov_299.514160_g1798_i0.p1,ABCF,629,2,Present,Present,Present,__ABCF__NODE_2620_length_3898_cov_299.514160_g1798_i0.p1,__ABCF__NODE_2620_length_3898_cov_299.514160_g1798_i0.p1
__ABCF__NODE_3603_length_3340_cov_21.020662_g2478_i0.p1,ABCF,982,3,Present,Present,Present,__ABCF__NODE_3603_length_3340_cov_21.020662_g2478_i0.p1,__ABCF__NODE_3603_length_3340_cov_21.020662_g2478_i0.p1
__ABCF__NODE_6638_length_2343_cov_18.314734_g4557_i0.p1,ABCF,708,3,Present,Present,Present,__ABCF__NODE_6638_length_2343_cov_18.314734_g4557_i0.p1,__ABCF__NODE_6638_length_2343_cov_18.314734_g4557_i0.p1
__ABCG__NODE_6397_length_2404_cov_6.070064_g4387_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_6397_length_2404_cov_6.070064_g4387_i0.p1,__ABCG__NODE_6397_length_2404_cov_6.070064_g4387_i0.p1
