name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1042_length_4071_cov_17.670005_g556_i0.p1,ABCA,1325,1,Present,Present,Present,__ABCA__NODE_1042_length_4071_cov_17.670005_g556_i0.p1,__ABCA__NODE_1042_length_4071_cov_17.670005_g556_i0.p1
__ABCA__NODE_3373_length_2845_cov_21.644147_g1204_i1.p1,ABCA,271,1,Present,Absent,Present,__ABCA__NODE_3373_length_2845_cov_21.644147_g1204_i1.p1,__ABCA__NODE_3373_length_2845_cov_21.644147_g1204_i1.p1
__ABCA__NODE_5105_length_2451_cov_370.294440_g2764_i0.p1,ABCA,367,1,Present,Present,Present,__ABCA__NODE_5105_length_2451_cov_370.294440_g2764_i0.p1,__ABCA__NODE_5105_length_2451_cov_370.294440_g2764_i0.p1
__ABCA__NODE_5822_length_2328_cov_12.780098_g3145_i0.p1,ABCA,747,1,Present,Absent,Present,__ABCA__NODE_5822_length_2328_cov_12.780098_g3145_i0.p1,__ABCA__NODE_5822_length_2328_cov_12.780098_g3145_i0.p1
__ABCBH__NODE_10271_length_1799_cov_14.911731_g5714_i0.p1,ABCBH,535,1,Present,Present,Present,__ABCBH__NODE_10271_length_1799_cov_14.911731_g5714_i0.p1,__ABCBH__NODE_10271_length_1799_cov_14.911731_g5714_i0.p1
__ABCBH__NODE_12518_length_1621_cov_37.539508_g7095_i0.p1,ABCBH,428,1,Present,Present,Present,__ABCBH__NODE_12518_length_1621_cov_37.539508_g7095_i0.p1,__ABCBH__NODE_12518_length_1621_cov_37.539508_g7095_i0.p1
__ABCBH__NODE_7136_length_2135_cov_413.624393_g3879_i0.p1,ABCBH,402,1,Present,Present,Present,__ABCBH__NODE_7136_length_2135_cov_413.624393_g3879_i0.p1,__ABCBH__NODE_7136_length_2135_cov_413.624393_g3879_i0.p1
__ABCC__NODE_12112_length_1651_cov_11.683609_g6852_i0.p1,ABCC,375,1,Present,Present,Absent,__ABCC__NODE_12112_length_1651_cov_11.683609_g6852_i0.p1,__ABCC__NODE_12112_length_1651_cov_11.683609_g6852_i0.p1
__ABCC__NODE_12658_length_1612_cov_19.672313_g7179_i0.p1,ABCC,504,2,Present,Present,Present,__ABCC__NODE_12658_length_1612_cov_19.672313_g7179_i0.p1,__ABCC__NODE_12658_length_1612_cov_19.672313_g7179_i0.p1
__ABCC__NODE_1342_length_3800_cov_2599.442117_g714_i0.p1,ABCC,543,1,Present,Present,Absent,__ABCC__NODE_1342_length_3800_cov_2599.442117_g714_i0.p1,__ABCC__NODE_1342_length_3800_cov_2599.442117_g714_i0.p1
__ABCC__NODE_14125_length_1512_cov_5414.078049_g8074_i0.p1,ABCC,441,1,Absent,Present,Absent,__ABCC__NODE_14125_length_1512_cov_5414.078049_g8074_i0.p1,__ABCC__NODE_14125_length_1512_cov_5414.078049_g8074_i0.p1
__ABCC__NODE_16638_length_1363_cov_12.555988_g1156_i1.p1,ABCC,302,1,Present,Present,Present,__ABCC__NODE_16638_length_1363_cov_12.555988_g1156_i1.p1,__ABCC__NODE_16638_length_1363_cov_12.555988_g1156_i1.p1
__ABCC__NODE_18038_length_1293_cov_15.270559_g1156_i2.p1,ABCC,430,1,Present,Present,Present,__ABCC__NODE_18038_length_1293_cov_15.270559_g1156_i2.p1,__ABCC__NODE_18038_length_1293_cov_15.270559_g1156_i2.p1
